,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
218239,2022-10-01,S300Z6SV,ST4000DM000,4000787030016,0,113.0,52657848.0,92.0,100.0,13.0,100.0,0.0,88.0,696035661.0,28.0,63174.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,77.0,47730.0,21.0,21.0,100.0,32.0,100.0,32.0,0.0,62826.0,72546341096.0,453253854230.0
218240,2022-10-02,S300Z6SV,ST4000DM000,4000787030016,0,117.0,124588880.0,92.0,100.0,13.0,100.0,0.0,88.0,698066684.0,28.0,63198.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,77.0,47730.0,21.0,21.0,100.0,32.0,100.0,32.0,0.0,62850.0,72559100744.0,453479711904.0
218241,2022-10-03,S300Z6SV,ST4000DM000,4000787030016,0,117.0,129409392.0,92.0,100.0,13.0,100.0,0.0,88.0,700031216.0,28.0,63222.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,77.0,47730.0,22.0,22.0,100.0,32.0,100.0,32.0,0.0,62874.0,72574932752.0,453851217955.0
218242,2022-10-04,S300Z6SV,ST4000DM000,4000787030016,0,117.0,155135744.0,92.0,100.0,13.0,100.0,0.0,88.0,702524182.0,28.0,63246.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,77.0,47730.0,22.0,22.0,100.0,32.0,100.0,32.0,0.0,62897.0,72589862416.0,454165544115.0
218243,2022-10-05,S300Z6SV,ST4000DM000,4000787030016,0,120.0,239961488.0,92.0,100.0,13.0,100.0,0.0,88.0,704919729.0,28.0,63269.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,77.0,47730.0,22.0,22.0,100.0,32.0,100.0,32.0,0.0,62921.0,72608219992.0,454363678075.0
218244,2022-10-06,S300Z6SV,ST4000DM000,4000787030016,0,114.0,74285968.0,92.0,100.0,13.0,100.0,0.0,88.0,705932151.0,28.0,63281.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,77.0,47730.0,23.0,23.0,100.0,32.0,100.0,32.0,0.0,62933.0,72614606272.0,454532367524.0
218245,2022-10-07,S300Z6SV,ST4000DM000,4000787030016,0,116.0,102421496.0,92.0,100.0,13.0,100.0,0.0,88.0,707534907.0,28.0,63305.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,77.0,47730.0,24.0,24.0,100.0,32.0,100.0,32.0,0.0,62957.0,72625355976.0,454776994657.0
218246,2022-10-08,S300Z6SV,ST4000DM000,4000787030016,0,109.0,23867520.0,92.0,100.0,13.0,100.0,0.0,88.0,709339292.0,28.0,63329.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,77.0,47730.0,23.0,23.0,100.0,32.0,100.0,32.0,0.0,62981.0,72633081848.0,455067521812.0
218247,2022-10-09,S300Z6SV,ST4000DM000,4000787030016,0,111.0,34074560.0,92.0,100.0,13.0,100.0,0.0,88.0,711684015.0,28.0,63353.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,77.0,47730.0,23.0,23.0,100.0,32.0,100.0,32.0,0.0,63005.0,72642995752.0,455353740064.0
218248,2022-10-10,S300Z6SV,ST4000DM000,4000787030016,0,118.0,189488288.0,92.0,100.0,13.0,100.0,0.0,88.0,714583435.0,28.0,63377.0,100.0,13.0,99.0,1.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,77.0,47730.0,22.0,22.0,100.0,32.0,100.0,32.0,0.0,63028.0,72655132080.0,455698629168.0
