,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
221275,2022-10-01,S300Z6WB,ST4000DM000,4000787030016,0,118.0,172916328.0,92.0,100.0,9.0,100.0,0.0,89.0,876179617.0,29.0,62294.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62171.0,72993941312.0,385611663781.0
221276,2022-10-02,S300Z6WB,ST4000DM000,4000787030016,0,118.0,200639352.0,92.0,100.0,9.0,100.0,0.0,89.0,878384299.0,29.0,62318.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62195.0,72995477168.0,385685297320.0
221277,2022-10-03,S300Z6WB,ST4000DM000,4000787030016,0,115.0,84139368.0,92.0,100.0,9.0,100.0,0.0,89.0,879763781.0,29.0,62342.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62219.0,72996862208.0,385867553940.0
221278,2022-10-04,S300Z6WB,ST4000DM000,4000787030016,0,120.0,239046032.0,92.0,100.0,9.0,100.0,0.0,89.0,881421944.0,29.0,62365.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62242.0,72998266800.0,386079051097.0
221279,2022-10-05,S300Z6WB,ST4000DM000,4000787030016,0,108.0,15360840.0,92.0,100.0,9.0,100.0,0.0,89.0,882255226.0,29.0,62389.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62266.0,72999802280.0,386185128110.0
221280,2022-10-06,S300Z6WB,ST4000DM000,4000787030016,0,114.0,69798568.0,92.0,100.0,9.0,100.0,0.0,89.0,883443782.0,29.0,62413.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62290.0,73001122824.0,386313922677.0
221281,2022-10-07,S300Z6WB,ST4000DM000,4000787030016,0,118.0,196565112.0,92.0,100.0,9.0,100.0,0.0,89.0,884829968.0,29.0,62436.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62313.0,73002429760.0,386501762857.0
221282,2022-10-08,S300Z6WB,ST4000DM000,4000787030016,0,116.0,112341392.0,92.0,100.0,9.0,100.0,0.0,89.0,886018411.0,29.0,62460.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62337.0,73003664904.0,386701439070.0
221283,2022-10-09,S300Z6WB,ST4000DM000,4000787030016,0,100.0,2852432.0,92.0,100.0,9.0,100.0,0.0,89.0,888006774.0,29.0,62484.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62361.0,73006168592.0,386759970249.0
221284,2022-10-10,S300Z6WB,ST4000DM000,4000787030016,0,116.0,106064792.0,92.0,100.0,9.0,100.0,0.0,89.0,889642531.0,29.0,62507.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62384.0,73007382648.0,386964206193.0
221285,2022-10-11,S300Z6WB,ST4000DM000,4000787030016,0,117.0,149889544.0,92.0,100.0,9.0,100.0,0.0,89.0,890986430.0,29.0,62531.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62408.0,73008732752.0,387174030466.0
221286,2022-10-12,S300Z6WB,ST4000DM000,4000787030016,0,119.0,233945912.0,92.0,100.0,9.0,100.0,0.0,89.0,892248893.0,29.0,62555.0,100.0,9.0,98.0,2.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,1.0,89.0,22206.0,35.0,35.0,100.0,8.0,100.0,8.0,0.0,62432.0,73010477800.0,387384975240.0
