,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
225231,2022-10-01,S300Z70N,ST4000DM000,4000787030016,0,100.0,2644128.0,93.0,100.0,7.0,99.0,976.0,86.0,455491049.0,27.0,64211.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,3.0,21.0,158785.0,20.0,20.0,100.0,24.0,100.0,24.0,0.0,63479.0,69997509016.0,757567921797.0
225232,2022-10-02,S300Z70N,ST4000DM000,4000787030016,0,119.0,227567144.0,93.0,100.0,7.0,99.0,976.0,86.0,460001069.0,27.0,64235.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,3.0,21.0,158785.0,20.0,20.0,100.0,24.0,100.0,24.0,0.0,63503.0,69999158424.0,757941245430.0
225233,2022-10-03,S300Z70N,ST4000DM000,4000787030016,0,111.0,34093216.0,93.0,100.0,7.0,99.0,976.0,86.0,461953910.0,27.0,64259.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,21.0,158785.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,63527.0,70000603936.0,758140814817.0
225234,2022-10-04,S300Z70N,ST4000DM000,4000787030016,0,117.0,124456720.0,93.0,100.0,7.0,99.0,976.0,86.0,464339158.0,27.0,64283.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,21.0,158785.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,63551.0,70002691640.0,758287153175.0
225235,2022-10-05,S300Z70N,ST4000DM000,4000787030016,0,117.0,130901488.0,93.0,100.0,7.0,99.0,976.0,86.0,465100269.0,27.0,64307.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,21.0,158785.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,63575.0,70004247256.0,758434613333.0
225236,2022-10-06,S300Z70N,ST4000DM000,4000787030016,0,116.0,113644960.0,93.0,100.0,7.0,99.0,976.0,86.0,465514566.0,27.0,64319.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,21.0,158785.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,63587.0,70005101496.0,758515034917.0
225237,2022-10-07,S300Z70N,ST4000DM000,4000787030016,0,108.0,15191616.0,93.0,100.0,7.0,99.0,976.0,86.0,466530318.0,27.0,64343.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,21.0,158785.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,63610.0,70006346736.0,758713859045.0
225238,2022-10-08,S300Z70N,ST4000DM000,4000787030016,0,119.0,233741992.0,93.0,100.0,7.0,99.0,976.0,86.0,467994962.0,27.0,64367.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,21.0,158785.0,22.0,22.0,100.0,24.0,100.0,24.0,0.0,63634.0,70007804792.0,758896238096.0
225239,2022-10-09,S300Z70N,ST4000DM000,4000787030016,0,120.0,243290984.0,93.0,100.0,7.0,99.0,976.0,87.0,471130354.0,27.0,64390.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,21.0,158785.0,22.0,22.0,100.0,24.0,100.0,24.0,0.0,63658.0,70009597960.0,759167137239.0
225240,2022-10-10,S300Z70N,ST4000DM000,4000787030016,0,118.0,196317080.0,93.0,100.0,7.0,99.0,976.0,87.0,472023019.0,27.0,64414.0,100.0,7.0,90.0,10.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,3.0,21.0,158785.0,20.0,20.0,100.0,24.0,100.0,24.0,0.0,63682.0,70011369024.0,759345457665.0
