,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
229463,2022-10-01,S300Z75T,ST4000DM000,4000787030016,0,118.0,177009096.0,92.0,100.0,12.0,100.0,24.0,87.0,538357925.0,27.0,64371.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,20.0,161839.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,63580.0,70299479784.0,409370400514.0
229464,2022-10-02,S300Z75T,ST4000DM000,4000787030016,0,111.0,41652936.0,92.0,100.0,12.0,100.0,24.0,87.0,539471097.0,27.0,64394.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,20.0,161839.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,63604.0,70301397696.0,409600964932.0
229465,2022-10-03,S300Z75T,ST4000DM000,4000787030016,0,116.0,106369992.0,92.0,100.0,12.0,100.0,24.0,87.0,541838239.0,27.0,64418.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,20.0,161839.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,63628.0,70303279840.0,409837717631.0
229466,2022-10-04,S300Z75T,ST4000DM000,4000787030016,0,119.0,205940176.0,92.0,100.0,12.0,100.0,24.0,87.0,543669400.0,27.0,64441.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,20.0,161839.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,63651.0,70304941280.0,410143013808.0
229467,2022-10-05,S300Z75T,ST4000DM000,4000787030016,0,119.0,208231952.0,92.0,100.0,12.0,100.0,24.0,87.0,545155989.0,27.0,64465.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,20.0,161839.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,63675.0,70306487504.0,410356412805.0
229468,2022-10-06,S300Z75T,ST4000DM000,4000787030016,0,118.0,172453944.0,92.0,100.0,12.0,100.0,24.0,87.0,547056284.0,27.0,64489.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,20.0,161839.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,63699.0,70308071552.0,410488309267.0
229469,2022-10-07,S300Z75T,ST4000DM000,4000787030016,0,114.0,62205488.0,92.0,100.0,12.0,100.0,24.0,87.0,549603702.0,27.0,64525.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,20.0,161839.0,21.0,21.0,100.0,48.0,100.0,48.0,0.0,63734.0,70314610200.0,410870171204.0
229470,2022-10-08,S300Z75T,ST4000DM000,4000787030016,0,109.0,21750808.0,92.0,100.0,12.0,100.0,24.0,87.0,550995103.0,27.0,64548.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,20.0,161839.0,21.0,21.0,100.0,48.0,100.0,48.0,0.0,63758.0,70315903936.0,411130643161.0
229471,2022-10-09,S300Z75T,ST4000DM000,4000787030016,0,111.0,33520568.0,92.0,100.0,12.0,100.0,24.0,87.0,552260558.0,27.0,64572.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,20.0,161839.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,63782.0,70317712440.0,411372001107.0
229472,2022-10-10,S300Z75T,ST4000DM000,4000787030016,0,103.0,5596760.0,92.0,100.0,12.0,100.0,24.0,87.0,554764142.0,27.0,64596.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,20.0,161839.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,63806.0,70319529376.0,411624361775.0
229473,2022-10-11,S300Z75T,ST4000DM000,4000787030016,0,111.0,31561648.0,92.0,100.0,12.0,100.0,24.0,87.0,555778487.0,27.0,64620.0,100.0,12.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,20.0,161839.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,63829.0,70320863584.0,411892508948.0
