,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
236179,2022-10-01,S300Z7F6,ST4000DM000,4000787030016,0,114.0,75510648.0,92.0,100.0,17.0,100.0,0.0,89.0,905443729.0,28.0,63174.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52714.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62807.0,73938406808.0,804240176924.0
236180,2022-10-02,S300Z7F6,ST4000DM000,4000787030016,0,114.0,72747648.0,92.0,100.0,17.0,100.0,0.0,89.0,906468460.0,28.0,63198.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52714.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62831.0,73958659256.0,804436640465.0
236181,2022-10-03,S300Z7F6,ST4000DM000,4000787030016,0,116.0,101498232.0,92.0,100.0,17.0,100.0,0.0,89.0,907407778.0,28.0,63222.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52714.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62855.0,73973903944.0,830326738967.0
236182,2022-10-04,S300Z7F6,ST4000DM000,4000787030016,0,102.0,3989120.0,92.0,100.0,17.0,100.0,0.0,89.0,909377432.0,28.0,63246.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52714.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62879.0,73986807496.0,830440558294.0
236183,2022-10-05,S300Z7F6,ST4000DM000,4000787030016,0,117.0,154161792.0,92.0,100.0,17.0,100.0,0.0,89.0,910340869.0,28.0,63270.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52714.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62903.0,74002730528.0,830579127239.0
236184,2022-10-06,S300Z7F6,ST4000DM000,4000787030016,0,118.0,172916400.0,92.0,100.0,17.0,100.0,0.0,89.0,910843192.0,28.0,63282.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52714.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62915.0,74009309568.0,830675900785.0
236185,2022-10-07,S300Z7F6,ST4000DM000,4000787030016,0,114.0,73249000.0,92.0,100.0,17.0,100.0,0.0,89.0,911728489.0,28.0,63305.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52715.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62938.0,74018451600.0,830859391622.0
236186,2022-10-08,S300Z7F6,ST4000DM000,4000787030016,0,119.0,206909840.0,92.0,100.0,17.0,100.0,0.0,89.0,912666329.0,28.0,63329.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52715.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62962.0,74027629056.0,831050100843.0
236187,2022-10-09,S300Z7F6,ST4000DM000,4000787030016,0,105.0,7916768.0,92.0,100.0,17.0,100.0,0.0,89.0,914968585.0,28.0,63352.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52715.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62985.0,74037830880.0,831296147191.0
236188,2022-10-10,S300Z7F6,ST4000DM000,4000787030016,0,117.0,122881600.0,92.0,100.0,17.0,100.0,0.0,89.0,915859887.0,28.0,63376.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52715.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63009.0,74050746256.0,831475382292.0
236189,2022-10-11,S300Z7F6,ST4000DM000,4000787030016,0,119.0,219418832.0,92.0,100.0,17.0,100.0,0.0,89.0,917407554.0,28.0,63399.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52715.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63032.0,74060747104.0,831616307110.0
236190,2022-10-12,S300Z7F6,ST4000DM000,4000787030016,0,118.0,172794752.0,92.0,100.0,17.0,100.0,0.0,89.0,919154475.0,28.0,63435.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52716.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63068.0,74078718704.0,831900687948.0
236191,2022-10-13,S300Z7F6,ST4000DM000,4000787030016,0,118.0,200648936.0,92.0,100.0,17.0,100.0,0.0,89.0,920921092.0,28.0,63458.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52716.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63091.0,74088703424.0,832136481554.0
236192,2022-10-14,S300Z7F6,ST4000DM000,4000787030016,0,115.0,97653440.0,92.0,100.0,17.0,100.0,0.0,89.0,921956795.0,28.0,63482.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52716.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63115.0,74100280168.0,832353023443.0
236193,2022-10-15,S300Z7F6,ST4000DM000,4000787030016,0,118.0,191500312.0,92.0,100.0,17.0,100.0,0.0,89.0,923725812.0,28.0,63505.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52716.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63138.0,74110316232.0,832583441243.0
236194,2022-10-16,S300Z7F6,ST4000DM000,4000787030016,0,104.0,6638272.0,92.0,100.0,17.0,100.0,0.0,89.0,925454726.0,28.0,63529.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52716.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63162.0,74125048832.0,832828188295.0
236195,2022-10-17,S300Z7F6,ST4000DM000,4000787030016,0,115.0,100231528.0,92.0,100.0,17.0,100.0,0.0,89.0,926480166.0,28.0,63553.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52716.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63186.0,74136874672.0,833020877736.0
236196,2022-10-18,S300Z7F6,ST4000DM000,4000787030016,0,111.0,33176568.0,92.0,100.0,17.0,100.0,0.0,89.0,928623322.0,28.0,63576.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52716.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63209.0,74148719952.0,833137961236.0
236197,2022-10-19,S300Z7F6,ST4000DM000,4000787030016,0,117.0,144972512.0,92.0,100.0,17.0,100.0,0.0,89.0,929573327.0,28.0,63600.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52717.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63233.0,74172526904.0,833296153970.0
236198,2022-10-20,S300Z7F6,ST4000DM000,4000787030016,0,113.0,57540600.0,92.0,100.0,17.0,100.0,0.0,89.0,930412188.0,28.0,63624.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52717.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63256.0,74182064080.0,833447630322.0
236199,2022-10-21,S300Z7F6,ST4000DM000,4000787030016,0,110.0,26064840.0,92.0,100.0,17.0,100.0,0.0,89.0,931695880.0,28.0,63647.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52717.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63280.0,74192523384.0,838035857207.0
236200,2022-10-22,S300Z7F6,ST4000DM000,4000787030016,0,116.0,100725440.0,92.0,100.0,17.0,100.0,0.0,89.0,934413822.0,28.0,63671.0,100.0,17.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52717.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63303.0,74203622368.0,842679323668.0
236201,2022-10-23,S300Z7F6,ST4000DM000,4000787030016,0,114.0,62825432.0,92.0,100.0,17.0,100.0,0.0,89.0,938507587.0,28.0,63694.0,100.0,17.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,74.0,52722.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63327.0,74213798528.0,843059971815.0
236202,2022-10-24,S300Z7F6,ST4000DM000,4000787030016,0,120.0,241277144.0,92.0,100.0,17.0,100.0,0.0,90.0,942356025.0,28.0,63718.0,100.0,17.0,99.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52724.0,22.0,22.0,100.0,16.0,100.0,16.0,0.0,63351.0,74224795120.0,843430289820.0
236203,2022-10-25,S300Z7F6,ST4000DM000,4000787030016,0,118.0,186785384.0,92.0,100.0,17.0,100.0,0.0,90.0,945508561.0,28.0,63741.0,100.0,17.0,99.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52724.0,22.0,22.0,100.0,16.0,100.0,16.0,0.0,63374.0,74234842312.0,843603006767.0
236204,2022-10-26,S300Z7F6,ST4000DM000,4000787030016,0,116.0,103501448.0,92.0,100.0,17.0,100.0,0.0,90.0,947571078.0,28.0,63765.0,100.0,17.0,99.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52724.0,22.0,22.0,100.0,16.0,100.0,16.0,0.0,63398.0,74245289480.0,843909593595.0
236205,2022-10-27,S300Z7F6,ST4000DM000,4000787030016,0,103.0,5885928.0,92.0,100.0,17.0,100.0,0.0,90.0,949501633.0,28.0,63789.0,100.0,17.0,99.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52724.0,22.0,22.0,100.0,16.0,100.0,16.0,0.0,63421.0,74256998456.0,844170013045.0
236206,2022-10-28,S300Z7F6,ST4000DM000,4000787030016,0,117.0,154566064.0,92.0,100.0,17.0,100.0,0.0,90.0,950841086.0,28.0,63812.0,100.0,17.0,99.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52724.0,22.0,22.0,100.0,16.0,100.0,16.0,0.0,63445.0,74274090136.0,844443394805.0
236207,2022-10-29,S300Z7F6,ST4000DM000,4000787030016,0,116.0,110099096.0,92.0,100.0,17.0,100.0,0.0,90.0,952418029.0,28.0,63836.0,100.0,17.0,99.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,74.0,52724.0,22.0,22.0,100.0,16.0,100.0,16.0,0.0,63469.0,74286056120.0,844772004225.0
