,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
237780,2022-10-01,S300Z7GW,ST4000DM000,4000787030016,0,118.0,189110864.0,92.0,100.0,10.0,100.0,8.0,49.0,50462431853017.0,29.0,62313.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,91.0,19555.0,30.0,30.0,100.0,48.0,100.0,48.0,0.0,62197.0,74416507472.0,361963570121.0
237781,2022-10-02,S300Z7GW,ST4000DM000,4000787030016,0,117.0,121458536.0,92.0,100.0,10.0,100.0,8.0,49.0,50462433235786.0,29.0,62336.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,69.0,31.0,100.0,0.0,91.0,19555.0,31.0,31.0,100.0,48.0,100.0,48.0,0.0,62221.0,74418523512.0,362165398609.0
237782,2022-10-03,S300Z7GW,ST4000DM000,4000787030016,0,117.0,124642472.0,92.0,100.0,10.0,100.0,8.0,49.0,50462435433298.0,29.0,62360.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,69.0,31.0,100.0,0.0,91.0,19555.0,31.0,31.0,100.0,48.0,100.0,48.0,0.0,62244.0,74420175840.0,362376133896.0
237783,2022-10-04,S300Z7GW,ST4000DM000,4000787030016,0,117.0,127986888.0,92.0,100.0,10.0,100.0,8.0,49.0,50462437921399.0,29.0,62384.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,68.0,32.0,100.0,0.0,91.0,19555.0,32.0,32.0,100.0,48.0,100.0,48.0,0.0,62268.0,74421838328.0,362625329454.0
237784,2022-10-05,S300Z7GW,ST4000DM000,4000787030016,0,118.0,173453136.0,92.0,100.0,10.0,100.0,8.0,49.0,50462439602786.0,29.0,62408.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,69.0,31.0,100.0,0.0,91.0,19555.0,31.0,31.0,100.0,48.0,100.0,48.0,0.0,62292.0,74423690120.0,362896166879.0
237785,2022-10-06,S300Z7GW,ST4000DM000,4000787030016,0,111.0,32845176.0,92.0,100.0,10.0,100.0,8.0,49.0,50462440751640.0,29.0,62420.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,91.0,19555.0,30.0,30.0,100.0,48.0,100.0,48.0,0.0,62304.0,74424411864.0,362937838561.0
237786,2022-10-07,S300Z7GW,ST4000DM000,4000787030016,0,117.0,126031264.0,92.0,100.0,10.0,100.0,8.0,49.0,50462442042633.0,29.0,62443.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,91.0,19555.0,30.0,30.0,100.0,48.0,100.0,48.0,0.0,62327.0,74425771392.0,363188706155.0
237787,2022-10-08,S300Z7GW,ST4000DM000,4000787030016,0,101.0,3619384.0,92.0,100.0,10.0,100.0,8.0,49.0,50462444331050.0,29.0,62467.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,91.0,19555.0,30.0,30.0,100.0,48.0,100.0,48.0,0.0,62351.0,74427014952.0,363465913279.0
237788,2022-10-09,S300Z7GW,ST4000DM000,4000787030016,0,111.0,39273592.0,92.0,100.0,10.0,100.0,8.0,49.0,50462446902150.0,29.0,62490.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,91.0,19555.0,30.0,30.0,100.0,48.0,100.0,48.0,0.0,62375.0,74428746176.0,363738518223.0
237789,2022-10-10,S300Z7GW,ST4000DM000,4000787030016,0,107.0,14583168.0,92.0,100.0,10.0,100.0,8.0,49.0,50462448201650.0,29.0,62514.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,70.0,30.0,100.0,0.0,91.0,19555.0,30.0,30.0,100.0,48.0,100.0,48.0,0.0,62398.0,74430400040.0,363971958167.0
237790,2022-10-11,S300Z7GW,ST4000DM000,4000787030016,0,118.0,172107888.0,92.0,100.0,10.0,100.0,8.0,49.0,50462450943198.0,29.0,62538.0,100.0,10.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,100.0,0.0,69.0,31.0,100.0,0.0,91.0,19555.0,31.0,31.0,100.0,48.0,100.0,48.0,0.0,62422.0,74432463992.0,364237814996.0
