,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
256348,2022-10-01,S300Z9XP,ST4000DM000,4000787030016,0,119.0,226622432.0,92.0,100.0,18.0,100.0,0.0,89.0,913424713.0,28.0,63534.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,84.0,33776.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63261.0,77340582072.0,358518173753.0
256349,2022-10-02,S300Z9XP,ST4000DM000,4000787030016,0,117.0,155487776.0,92.0,100.0,18.0,100.0,0.0,89.0,914835358.0,28.0,63558.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,84.0,33776.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63285.0,77342154120.0,358703435631.0
256350,2022-10-03,S300Z9XP,ST4000DM000,4000787030016,0,119.0,203828296.0,92.0,100.0,18.0,100.0,0.0,89.0,916171706.0,28.0,63582.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33776.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63309.0,77343422552.0,358737160595.0
256351,2022-10-04,S300Z9XP,ST4000DM000,4000787030016,0,106.0,11807216.0,92.0,100.0,18.0,100.0,0.0,89.0,917731009.0,28.0,63606.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33776.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63333.0,77345198976.0,358956246786.0
256352,2022-10-05,S300Z9XP,ST4000DM000,4000787030016,0,117.0,142294760.0,92.0,100.0,18.0,100.0,0.0,89.0,918874058.0,28.0,63630.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33776.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63356.0,77346838376.0,359163678185.0
256353,2022-10-06,S300Z9XP,ST4000DM000,4000787030016,0,119.0,220011328.0,92.0,100.0,18.0,100.0,0.0,89.0,919742278.0,28.0,63642.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33776.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63368.0,77347593984.0,359312020657.0
256354,2022-10-07,S300Z9XP,ST4000DM000,4000787030016,0,118.0,192497680.0,92.0,100.0,18.0,100.0,0.0,89.0,921543835.0,28.0,63665.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33776.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63392.0,77349037232.0,359571102809.0
256355,2022-10-08,S300Z9XP,ST4000DM000,4000787030016,0,114.0,78678848.0,92.0,100.0,18.0,100.0,0.0,89.0,924414613.0,28.0,63689.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,84.0,33776.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63415.0,77350668688.0,359953249553.0
256356,2022-10-09,S300Z9XP,ST4000DM000,4000787030016,0,118.0,199004464.0,92.0,100.0,18.0,100.0,0.0,89.0,926406155.0,28.0,63713.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,84.0,33776.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63439.0,77352405736.0,360246408923.0
256357,2022-10-10,S300Z9XP,ST4000DM000,4000787030016,0,112.0,45109176.0,92.0,100.0,18.0,100.0,0.0,89.0,928245804.0,28.0,63737.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,84.0,33776.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63463.0,77354113944.0,360370837101.0
256358,2022-10-11,S300Z9XP,ST4000DM000,4000787030016,0,119.0,211640144.0,92.0,100.0,18.0,100.0,0.0,89.0,930624877.0,28.0,63773.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33776.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63499.0,77356400944.0,360716752369.0
256359,2022-10-12,S300Z9XP,ST4000DM000,4000787030016,0,114.0,78348960.0,92.0,100.0,18.0,100.0,0.0,89.0,931864512.0,28.0,63797.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,84.0,33776.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63523.0,77357901424.0,360957578559.0
256360,2022-10-13,S300Z9XP,ST4000DM000,4000787030016,0,111.0,40973672.0,92.0,100.0,18.0,100.0,0.0,89.0,933422989.0,28.0,63821.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,84.0,33776.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63547.0,77359724936.0,361145663005.0
256361,2022-10-14,S300Z9XP,ST4000DM000,4000787030016,0,117.0,144090280.0,92.0,100.0,18.0,100.0,0.0,89.0,935498280.0,28.0,63844.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33776.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63571.0,77361563960.0,361445279641.0
256362,2022-10-15,S300Z9XP,ST4000DM000,4000787030016,0,117.0,132679368.0,92.0,100.0,18.0,100.0,0.0,89.0,937940114.0,28.0,63868.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33776.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63595.0,77363258744.0,361744222688.0
