,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
261776,2022-10-01,S300ZBAG,ST4000DM000,4000787030016,0,117.0,145216080.0,91.0,100.0,17.0,100.0,40.0,76.0,48741701.0,28.0,63561.0,100.0,17.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,82.0,36344.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,63269.0,75912171688.0,387742214869.0
261777,2022-10-02,S300ZBAG,ST4000DM000,4000787030016,0,118.0,182426176.0,91.0,100.0,17.0,100.0,40.0,76.0,50201220.0,28.0,63585.0,100.0,17.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,82.0,36344.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,63292.0,75913614992.0,387929694363.0
261778,2022-10-03,S300ZBAG,ST4000DM000,4000787030016,0,112.0,49056128.0,91.0,100.0,17.0,100.0,40.0,77.0,51907956.0,28.0,63608.0,100.0,17.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,36344.0,26.0,26.0,100.0,8.0,100.0,8.0,0.0,63316.0,75914926600.0,388102570204.0
261779,2022-10-04,S300ZBAG,ST4000DM000,4000787030016,0,118.0,193626136.0,91.0,100.0,18.0,100.0,40.0,77.0,52595306.0,28.0,63621.0,100.0,18.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,36352.0,25.0,25.0,100.0,8.0,100.0,8.0,0.0,63328.0,75915722208.0,388215369086.0
261780,2022-10-05,S300ZBAG,ST4000DM000,4000787030016,0,118.0,191829232.0,91.0,100.0,19.0,100.0,40.0,77.0,55968599.0,28.0,63656.0,100.0,19.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,36358.0,26.0,26.0,100.0,8.0,100.0,8.0,0.0,63363.0,75917977440.0,388643420573.0
261781,2022-10-06,S300ZBAG,ST4000DM000,4000787030016,0,108.0,16224528.0,91.0,100.0,19.0,100.0,40.0,77.0,56746209.0,28.0,63668.0,100.0,19.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,36358.0,25.0,25.0,100.0,8.0,100.0,8.0,0.0,63375.0,75918628704.0,388776650221.0
261782,2022-10-07,S300ZBAG,ST4000DM000,4000787030016,0,119.0,233859152.0,91.0,100.0,19.0,100.0,40.0,77.0,58458828.0,28.0,63692.0,100.0,19.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,36359.0,26.0,26.0,100.0,8.0,100.0,8.0,0.0,63399.0,75920004352.0,389160002145.0
261783,2022-10-08,S300ZBAG,ST4000DM000,4000787030016,0,117.0,144116496.0,91.0,100.0,19.0,100.0,40.0,78.0,60541265.0,28.0,63716.0,100.0,19.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,36360.0,25.0,25.0,100.0,8.0,100.0,8.0,0.0,63424.0,75921234120.0,389299628083.0
261784,2022-10-09,S300ZBAG,ST4000DM000,4000787030016,0,113.0,54456304.0,91.0,100.0,19.0,100.0,40.0,78.0,62131947.0,28.0,63740.0,100.0,19.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,36361.0,25.0,25.0,100.0,8.0,100.0,8.0,0.0,63448.0,75922971440.0,389511768753.0
261785,2022-10-10,S300ZBAG,ST4000DM000,4000787030016,0,114.0,69899512.0,91.0,100.0,19.0,100.0,40.0,78.0,63973271.0,28.0,63764.0,100.0,19.0,96.0,4.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,82.0,36361.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,63471.0,75924900752.0,389854641092.0
