,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
263000,2022-10-01,S300ZNFK,ST4000DM000,4000787030016,0,118.0,177279568.0,92.0,100.0,13.0,100.0,0.0,80.0,103940208.0,28.0,63531.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,0.0,83.0,34971.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,63252.0,75761758704.0,398666220893.0
263001,2022-10-02,S300ZNFK,ST4000DM000,4000787030016,0,108.0,15980008.0,92.0,100.0,13.0,100.0,0.0,80.0,105526031.0,28.0,63554.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,0.0,83.0,34971.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,63276.0,75763132992.0,399031758079.0
263002,2022-10-03,S300ZNFK,ST4000DM000,4000787030016,0,116.0,104177176.0,92.0,100.0,13.0,100.0,0.0,80.0,107874165.0,28.0,63578.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34974.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63299.0,75764330240.0,399163776306.0
263003,2022-10-04,S300ZNFK,ST4000DM000,4000787030016,0,112.0,43668256.0,92.0,100.0,13.0,100.0,0.0,80.0,109940805.0,28.0,63602.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,83.0,34974.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,63323.0,75765754160.0,399414849355.0
263004,2022-10-05,S300ZNFK,ST4000DM000,4000787030016,0,116.0,112907728.0,92.0,100.0,13.0,100.0,0.0,80.0,111596485.0,28.0,63625.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34974.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63347.0,75767133672.0,399742194254.0
263005,2022-10-06,S300ZNFK,ST4000DM000,4000787030016,0,118.0,195292736.0,92.0,100.0,13.0,100.0,0.0,80.0,111936058.0,28.0,63637.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34974.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63359.0,75767958640.0,399801149282.0
263006,2022-10-07,S300ZNFK,ST4000DM000,4000787030016,0,120.0,241879704.0,92.0,100.0,13.0,100.0,0.0,80.0,113428840.0,28.0,63661.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34976.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63382.0,75769312384.0,400088684386.0
263007,2022-10-08,S300ZNFK,ST4000DM000,4000787030016,0,117.0,127244784.0,92.0,100.0,13.0,100.0,0.0,80.0,116510139.0,28.0,63684.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,0.0,83.0,34976.0,36.0,36.0,100.0,0.0,100.0,0.0,0.0,63406.0,75770732184.0,400383955761.0
263008,2022-10-09,S300ZNFK,ST4000DM000,4000787030016,0,117.0,155103728.0,92.0,100.0,13.0,100.0,0.0,81.0,117699500.0,28.0,63708.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,0.0,83.0,34976.0,36.0,36.0,100.0,0.0,100.0,0.0,0.0,63429.0,75772119728.0,400629986914.0
263009,2022-10-10,S300ZNFK,ST4000DM000,4000787030016,0,117.0,164045584.0,92.0,100.0,13.0,100.0,0.0,81.0,120635721.0,28.0,63743.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34978.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63465.0,75774704192.0,400909235849.0
263010,2022-10-11,S300ZNFK,ST4000DM000,4000787030016,0,118.0,194594696.0,92.0,100.0,13.0,100.0,0.0,81.0,121851650.0,28.0,63767.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34978.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63488.0,75776085272.0,401160542207.0
263011,2022-10-12,S300ZNFK,ST4000DM000,4000787030016,0,115.0,88246200.0,92.0,100.0,13.0,100.0,0.0,81.0,123056152.0,28.0,63790.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34979.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63512.0,75777369784.0,401389299576.0
263012,2022-10-13,S300ZNFK,ST4000DM000,4000787030016,0,115.0,85464160.0,92.0,100.0,13.0,100.0,0.0,81.0,124480028.0,28.0,63814.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34979.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63535.0,75778903632.0,401639085735.0
263013,2022-10-14,S300ZNFK,ST4000DM000,4000787030016,0,116.0,104180704.0,92.0,100.0,13.0,100.0,0.0,81.0,126776284.0,28.0,63838.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34980.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63559.0,75780778592.0,401876972070.0
263014,2022-10-15,S300ZNFK,ST4000DM000,4000787030016,0,117.0,145709016.0,92.0,100.0,13.0,100.0,0.0,81.0,128974060.0,28.0,63861.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,83.0,34980.0,35.0,35.0,100.0,0.0,100.0,0.0,0.0,63583.0,75782863360.0,402118301973.0
263015,2022-10-16,S300ZNFK,ST4000DM000,4000787030016,0,117.0,119783928.0,92.0,100.0,13.0,100.0,0.0,81.0,130383081.0,28.0,63885.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,83.0,34980.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,63606.0,75784138680.0,402354817202.0
263016,2022-10-17,S300ZNFK,ST4000DM000,4000787030016,0,110.0,25481216.0,92.0,100.0,13.0,100.0,0.0,81.0,132487144.0,28.0,63908.0,100.0,13.0,99.0,1.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,83.0,34985.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,63630.0,75785775072.0,402454807305.0
