,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
275017,2022-10-01,S300ZS6E,ST4000DM000,4000787030016,0,117.0,152223960.0,92.0,100.0,18.0,100.0,0.0,87.0,569719166.0,31.0,61048.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9224.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60965.0,70351278629.0,719769040464.0
275018,2022-10-02,S300ZS6E,ST4000DM000,4000787030016,0,119.0,205401392.0,92.0,100.0,18.0,100.0,0.0,87.0,571908179.0,31.0,61072.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9231.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60989.0,70353315989.0,719884942604.0
275019,2022-10-03,S300ZS6E,ST4000DM000,4000787030016,0,117.0,124350640.0,92.0,100.0,18.0,100.0,0.0,87.0,572878620.0,31.0,61095.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9231.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,61012.0,70355198389.0,720118916418.0
275020,2022-10-04,S300ZS6E,ST4000DM000,4000787030016,0,114.0,81397104.0,92.0,100.0,18.0,100.0,0.0,87.0,573961546.0,31.0,61119.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9231.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,61036.0,70356732725.0,720388606960.0
275021,2022-10-05,S300ZS6E,ST4000DM000,4000787030016,0,103.0,5369184.0,92.0,100.0,18.0,100.0,0.0,87.0,574926683.0,31.0,61142.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9239.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,61060.0,70358160893.0,720660258032.0
275022,2022-10-06,S300ZS6E,ST4000DM000,4000787030016,0,115.0,88995984.0,92.0,100.0,18.0,100.0,0.0,87.0,576723832.0,31.0,61166.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9240.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,61083.0,70359925197.0,721013234077.0
275023,2022-10-07,S300ZS6E,ST4000DM000,4000787030016,0,119.0,217237280.0,92.0,100.0,18.0,100.0,0.0,87.0,578799032.0,31.0,61190.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9240.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,61107.0,70361335605.0,721324525350.0
275024,2022-10-08,S300ZS6E,ST4000DM000,4000787030016,0,119.0,208462384.0,92.0,100.0,18.0,100.0,0.0,87.0,579894861.0,31.0,61213.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9240.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,61130.0,70362782445.0,721488497139.0
275025,2022-10-09,S300ZS6E,ST4000DM000,4000787030016,0,117.0,119258840.0,92.0,100.0,18.0,100.0,0.0,87.0,582563829.0,31.0,61237.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9243.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,61154.0,70364491341.0,721577702826.0
275026,2022-10-10,S300ZS6E,ST4000DM000,4000787030016,0,112.0,46568416.0,92.0,100.0,18.0,100.0,0.0,87.0,583686222.0,31.0,61260.0,100.0,18.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,9243.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,61178.0,70366544549.0,721736336919.0
