,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
368901,2022-10-01,S301ECK4,ST4000DM000,4000787030016,0,118.0,201093448.0,91.0,100.0,22.0,100.0,0.0,89.0,925183462.0,30.0,61612.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,95.0,11659.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61487.0,70547430320.0,399056332140.0
368902,2022-10-02,S301ECK4,ST4000DM000,4000787030016,0,117.0,166542928.0,91.0,100.0,22.0,100.0,0.0,89.0,926614102.0,30.0,61636.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,95.0,11659.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,61511.0,70549277672.0,399224020444.0
368903,2022-10-03,S301ECK4,ST4000DM000,4000787030016,0,111.0,33808704.0,91.0,100.0,22.0,100.0,0.0,89.0,928611071.0,30.0,61659.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,95.0,11659.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,61535.0,70550993656.0,399345067381.0
368904,2022-10-04,S301ECK4,ST4000DM000,4000787030016,0,117.0,126890392.0,91.0,100.0,22.0,100.0,0.0,89.0,930039513.0,30.0,61683.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,95.0,11659.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,61558.0,70552625248.0,399550798309.0
368905,2022-10-05,S301ECK4,ST4000DM000,4000787030016,0,108.0,18503664.0,91.0,100.0,22.0,100.0,0.0,89.0,931532375.0,30.0,61707.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,95.0,11659.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,61582.0,70554121320.0,399768128866.0
368906,2022-10-06,S301ECK4,ST4000DM000,4000787030016,0,120.0,238823936.0,91.0,100.0,22.0,100.0,0.0,89.0,931807429.0,30.0,61719.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,95.0,11659.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,61594.0,70554780848.0,399803919464.0
368907,2022-10-07,S301ECK4,ST4000DM000,4000787030016,0,120.0,240410672.0,91.0,100.0,22.0,100.0,0.0,89.0,932789625.0,30.0,61743.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,95.0,11659.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61618.0,70556232920.0,399901004483.0
368908,2022-10-08,S301ECK4,ST4000DM000,4000787030016,0,113.0,52014736.0,91.0,100.0,22.0,100.0,0.0,89.0,935635416.0,30.0,61766.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,95.0,11659.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61641.0,70557878208.0,400125031008.0
368909,2022-10-09,S301ECK4,ST4000DM000,4000787030016,0,114.0,72621736.0,91.0,100.0,22.0,100.0,0.0,89.0,936725600.0,30.0,61790.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,95.0,11659.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61665.0,70559510912.0,400231998906.0
368910,2022-10-10,S301ECK4,ST4000DM000,4000787030016,0,118.0,194058416.0,91.0,100.0,22.0,100.0,0.0,89.0,938844929.0,30.0,61814.0,100.0,22.0,99.0,1.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,95.0,11659.0,20.0,20.0,100.0,8.0,100.0,8.0,0.0,61689.0,70561136072.0,400351087067.0
