,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
370557,2022-10-01,S301FGVJ,ST4000DM000,4000787030016,0,115.0,91721064.0,91.0,100.0,11.0,100.0,0.0,89.0,824637570.0,31.0,60687.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,48.0,100.0,48.0,0.0,60593.0,68121417856.0,400487896709.0
370558,2022-10-02,S301FGVJ,ST4000DM000,4000787030016,0,116.0,111177624.0,91.0,100.0,11.0,100.0,0.0,89.0,825454810.0,31.0,60711.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,48.0,100.0,48.0,0.0,60617.0,68126694672.0,400589620936.0
370559,2022-10-03,S301FGVJ,ST4000DM000,4000787030016,0,119.0,216483200.0,91.0,100.0,11.0,100.0,0.0,89.0,827501857.0,31.0,60735.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,81.0,19.0,100.0,1.0,94.0,12600.0,19.0,19.0,100.0,48.0,100.0,48.0,0.0,60640.0,68128429832.0,400841924165.0
370560,2022-10-04,S301FGVJ,ST4000DM000,4000787030016,0,117.0,118623272.0,91.0,100.0,11.0,100.0,0.0,89.0,830479960.0,31.0,60759.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,81.0,19.0,100.0,1.0,94.0,12600.0,19.0,19.0,100.0,48.0,100.0,48.0,0.0,60664.0,68130683944.0,401083389078.0
370561,2022-10-05,S301FGVJ,ST4000DM000,4000787030016,0,108.0,15729248.0,91.0,100.0,11.0,100.0,0.0,89.0,831871840.0,31.0,60782.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,81.0,19.0,100.0,1.0,94.0,12600.0,19.0,19.0,100.0,48.0,100.0,48.0,0.0,60688.0,68132130024.0,401289138029.0
370562,2022-10-06,S301FGVJ,ST4000DM000,4000787030016,0,116.0,101644424.0,91.0,100.0,11.0,100.0,0.0,89.0,833917481.0,31.0,60806.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,48.0,100.0,48.0,0.0,60712.0,68135440640.0,401471361262.0
370563,2022-10-07,S301FGVJ,ST4000DM000,4000787030016,0,113.0,55192480.0,91.0,100.0,11.0,100.0,0.0,89.0,835088874.0,31.0,60830.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,81.0,19.0,100.0,1.0,94.0,12600.0,19.0,19.0,100.0,48.0,100.0,48.0,0.0,60735.0,68136991376.0,401639731744.0
370564,2022-10-08,S301FGVJ,ST4000DM000,4000787030016,0,118.0,201254616.0,91.0,100.0,11.0,100.0,0.0,89.0,837301118.0,31.0,60853.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,81.0,19.0,100.0,1.0,94.0,12600.0,19.0,19.0,100.0,48.0,100.0,48.0,0.0,60759.0,68138509952.0,401895740097.0
370565,2022-10-09,S301FGVJ,ST4000DM000,4000787030016,0,119.0,226521848.0,91.0,100.0,11.0,100.0,0.0,89.0,838645664.0,31.0,60877.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,48.0,100.0,48.0,0.0,60783.0,68140043088.0,402097378511.0
370566,2022-10-10,S301FGVJ,ST4000DM000,4000787030016,0,118.0,182751168.0,91.0,100.0,11.0,100.0,0.0,89.0,839742945.0,31.0,60901.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,81.0,19.0,100.0,1.0,94.0,12600.0,19.0,19.0,100.0,48.0,100.0,48.0,0.0,60806.0,68142588360.0,402322664606.0
370567,2022-10-11,S301FGVJ,ST4000DM000,4000787030016,0,119.0,223924992.0,91.0,100.0,11.0,100.0,0.0,89.0,843036014.0,31.0,60924.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,48.0,100.0,48.0,0.0,60830.0,68144341600.0,402663821933.0
370568,2022-10-12,S301FGVJ,ST4000DM000,4000787030016,0,116.0,115984088.0,91.0,100.0,11.0,100.0,0.0,89.0,844499304.0,31.0,60948.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,81.0,19.0,100.0,1.0,94.0,12600.0,19.0,19.0,100.0,48.0,100.0,48.0,0.0,60853.0,68146093912.0,402929590471.0
370569,2022-10-13,S301FGVJ,ST4000DM000,4000787030016,0,120.0,238968088.0,91.0,100.0,11.0,100.0,0.0,89.0,845805686.0,31.0,60971.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,81.0,19.0,100.0,1.0,94.0,12600.0,19.0,19.0,100.0,48.0,100.0,48.0,0.0,60877.0,68147768712.0,403058113391.0
370570,2022-10-14,S301FGVJ,ST4000DM000,4000787030016,0,118.0,194102760.0,91.0,100.0,11.0,100.0,0.0,89.0,847658487.0,31.0,60995.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,48.0,100.0,48.0,0.0,60901.0,68149143240.0,403208035683.0
370571,2022-10-15,S301FGVJ,ST4000DM000,4000787030016,0,113.0,51787328.0,91.0,100.0,11.0,100.0,0.0,89.0,848575368.0,31.0,61019.0,100.0,11.0,95.0,5.0,100.0,0.0,1.0,121.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,48.0,100.0,48.0,0.0,60924.0,68150330784.0,403362662825.0
370572,2022-10-16,S301FGVJ,ST4000DM000,4000787030016,0,108.0,240585937.0,91.0,100.0,11.0,100.0,0.0,89.0,850384091.0,31.0,61042.0,100.0,11.0,94.0,6.0,100.0,0.0,1.0,167.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,112.0,100.0,112.0,0.0,60948.0,68155404936.0,403626104982.0
370573,2022-10-17,S301FGVJ,ST4000DM000,4000787030016,0,111.0,37916880.0,91.0,100.0,11.0,100.0,0.0,89.0,852017189.0,31.0,61066.0,100.0,11.0,94.0,6.0,100.0,0.0,1.0,167.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,112.0,100.0,112.0,0.0,60971.0,68157831840.0,403793993005.0
370574,2022-10-18,S301FGVJ,ST4000DM000,4000787030016,0,108.0,18084256.0,91.0,100.0,11.0,100.0,0.0,89.0,855048236.0,31.0,61090.0,100.0,11.0,94.0,6.0,100.0,0.0,1.0,167.0,100.0,1.0,100.0,0.0,80.0,20.0,100.0,1.0,94.0,12600.0,20.0,20.0,100.0,112.0,100.0,112.0,0.0,60995.0,68159889008.0,404129555670.0
