,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
370597,2022-10-01,S301FLB0,ST4000DM000,4000787030016,0,117.0,165193368.0,92.0,100.0,17.0,100.0,0.0,88.0,769044708.0,31.0,60695.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,95.0,11427.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60612.0,69468411184.0,409649719633.0
370598,2022-10-02,S301FLB0,ST4000DM000,4000787030016,0,119.0,211969288.0,92.0,100.0,17.0,100.0,0.0,88.0,772569615.0,31.0,60718.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,95.0,11427.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60636.0,69470471168.0,410036031792.0
370599,2022-10-03,S301FLB0,ST4000DM000,4000787030016,0,117.0,164530968.0,92.0,100.0,17.0,100.0,0.0,88.0,775641743.0,31.0,60742.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,95.0,11427.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60660.0,69472407432.0,410321386877.0
370600,2022-10-04,S301FLB0,ST4000DM000,4000787030016,0,119.0,208082672.0,92.0,100.0,17.0,100.0,0.0,88.0,779215530.0,31.0,60766.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,95.0,11427.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60684.0,69474145112.0,410573407250.0
370601,2022-10-05,S301FLB0,ST4000DM000,4000787030016,0,117.0,145202376.0,92.0,100.0,17.0,100.0,0.0,88.0,783201832.0,31.0,60790.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,95.0,11427.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60708.0,69476326456.0,410815140751.0
370602,2022-10-06,S301FLB0,ST4000DM000,4000787030016,0,118.0,198488896.0,92.0,100.0,17.0,100.0,0.0,88.0,785125246.0,31.0,60802.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,95.0,11427.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60719.0,69477426464.0,410951477360.0
370603,2022-10-07,S301FLB0,ST4000DM000,4000787030016,0,114.0,59369280.0,92.0,100.0,17.0,100.0,0.0,88.0,788327826.0,31.0,60826.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,95.0,11429.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60743.0,69480328632.0,411098209507.0
370604,2022-10-08,S301FLB0,ST4000DM000,4000787030016,0,119.0,221990904.0,92.0,100.0,17.0,100.0,0.0,88.0,791372364.0,31.0,60850.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,95.0,11430.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60767.0,69493797472.0,411203528791.0
370605,2022-10-09,S301FLB0,ST4000DM000,4000787030016,0,118.0,173572920.0,92.0,100.0,17.0,100.0,0.0,88.0,795244237.0,31.0,60874.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,95.0,11430.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60791.0,69495502792.0,411422617311.0
370606,2022-10-10,S301FLB0,ST4000DM000,4000787030016,0,109.0,21861432.0,92.0,100.0,17.0,100.0,0.0,88.0,799305862.0,31.0,60909.0,100.0,17.0,99.0,1.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,95.0,11430.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60827.0,69498009936.0,411713172868.0
