,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
373793,2022-10-01,S301GM55,ST4000DM000,4000787030016,0,114.0,80925920.0,92.0,100.0,21.0,100.0,0.0,89.0,845057608.0,31.0,60682.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9401.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60602.0,67482187584.0,423679128174.0
373794,2022-10-02,S301GM55,ST4000DM000,4000787030016,0,115.0,87643832.0,92.0,100.0,21.0,100.0,0.0,89.0,848031090.0,31.0,60706.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9401.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60626.0,67484339496.0,423975732576.0
373795,2022-10-03,S301GM55,ST4000DM000,4000787030016,0,117.0,165886080.0,92.0,100.0,21.0,100.0,0.0,89.0,850847236.0,31.0,60730.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9401.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60650.0,67486222352.0,424287538762.0
373796,2022-10-04,S301GM55,ST4000DM000,4000787030016,0,114.0,81532712.0,92.0,100.0,21.0,100.0,0.0,89.0,853893237.0,31.0,60754.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9401.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60674.0,67488143136.0,424627741744.0
373797,2022-10-05,S301GM55,ST4000DM000,4000787030016,0,118.0,183546144.0,92.0,100.0,21.0,100.0,0.0,89.0,857519758.0,31.0,60778.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9401.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60698.0,67489802232.0,424924332861.0
373798,2022-10-06,S301GM55,ST4000DM000,4000787030016,0,120.0,1593296.0,92.0,100.0,21.0,100.0,0.0,89.0,862262991.0,31.0,60814.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9402.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60733.0,67492614832.0,425342704436.0
373799,2022-10-07,S301GM55,ST4000DM000,4000787030016,0,117.0,158282376.0,92.0,100.0,21.0,100.0,0.0,89.0,865901431.0,31.0,60838.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9402.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60757.0,67495345352.0,425510841210.0
373800,2022-10-08,S301GM55,ST4000DM000,4000787030016,0,108.0,15859832.0,92.0,100.0,21.0,100.0,0.0,89.0,869579147.0,31.0,60862.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9402.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60781.0,67496907664.0,425759330449.0
373801,2022-10-09,S301GM55,ST4000DM000,4000787030016,0,112.0,50170312.0,92.0,100.0,21.0,100.0,0.0,89.0,872403949.0,31.0,60885.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9402.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60805.0,67498770144.0,426035504862.0
373802,2022-10-10,S301GM55,ST4000DM000,4000787030016,0,113.0,55528616.0,92.0,100.0,21.0,100.0,0.0,89.0,875051012.0,31.0,60909.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9402.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60829.0,67500527040.0,426305164020.0
373803,2022-10-11,S301GM55,ST4000DM000,4000787030016,0,115.0,90639072.0,92.0,100.0,21.0,100.0,0.0,89.0,877850540.0,31.0,60933.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9402.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60853.0,67502193200.0,426591375457.0
373804,2022-10-12,S301GM55,ST4000DM000,4000787030016,0,114.0,76877736.0,92.0,100.0,21.0,100.0,0.0,89.0,880209061.0,31.0,60945.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9403.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60865.0,67503249888.0,426743924951.0
373805,2022-10-13,S301GM55,ST4000DM000,4000787030016,0,118.0,172010008.0,92.0,100.0,21.0,100.0,0.0,89.0,883771981.0,31.0,60969.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9405.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60889.0,67504931552.0,427077068765.0
373806,2022-10-14,S301GM55,ST4000DM000,4000787030016,0,119.0,202219368.0,92.0,100.0,21.0,100.0,0.0,89.0,886611818.0,31.0,60993.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9405.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60913.0,67506825824.0,427505665143.0
373807,2022-10-15,S301GM55,ST4000DM000,4000787030016,0,102.0,4610792.0,92.0,100.0,21.0,100.0,0.0,89.0,889664132.0,31.0,61017.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9407.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60937.0,67508108888.0,427662979907.0
373808,2022-10-16,S301GM55,ST4000DM000,4000787030016,0,117.0,162453936.0,92.0,100.0,21.0,100.0,0.0,89.0,894322692.0,31.0,61041.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9407.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60961.0,67509850288.0,427974856935.0
373809,2022-10-17,S301GM55,ST4000DM000,4000787030016,0,109.0,21639040.0,92.0,100.0,21.0,100.0,0.0,89.0,898369308.0,31.0,61077.0,100.0,21.0,1.0,123.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9407.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60996.0,67511895104.0,428313030220.0
