,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
374989,2022-10-01,S301GMAB,ST4000DM000,4000787030016,0,117.0,166390272.0,92.0,100.0,17.0,100.0,0.0,89.0,903228978.0,31.0,60683.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11261.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60523.0,67162536224.0,970698049202.0
374990,2022-10-02,S301GMAB,ST4000DM000,4000787030016,0,113.0,51415560.0,92.0,100.0,17.0,100.0,0.0,89.0,905605172.0,31.0,60718.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11261.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60559.0,67165105616.0,971172267737.0
374991,2022-10-03,S301GMAB,ST4000DM000,4000787030016,0,117.0,150319624.0,92.0,100.0,17.0,100.0,0.0,89.0,907649138.0,31.0,60742.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11263.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60582.0,67166816240.0,971326297361.0
374992,2022-10-04,S301GMAB,ST4000DM000,4000787030016,0,116.0,103249576.0,92.0,100.0,17.0,100.0,0.0,89.0,909630480.0,31.0,60765.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11263.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60606.0,67168441120.0,971565104575.0
374993,2022-10-05,S301GMAB,ST4000DM000,4000787030016,0,111.0,32749936.0,92.0,100.0,17.0,100.0,0.0,89.0,911024501.0,31.0,60789.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11263.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60630.0,67169716816.0,971811100020.0
374994,2022-10-06,S301GMAB,ST4000DM000,4000787030016,0,119.0,220265224.0,92.0,100.0,17.0,100.0,0.0,89.0,912978061.0,31.0,60812.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11264.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60653.0,67171402984.0,972067286586.0
374995,2022-10-07,S301GMAB,ST4000DM000,4000787030016,0,119.0,232791064.0,92.0,100.0,17.0,100.0,0.0,89.0,914212970.0,31.0,60836.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11264.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60677.0,67174009784.0,972310940194.0
374996,2022-10-08,S301GMAB,ST4000DM000,4000787030016,0,120.0,235033664.0,92.0,100.0,17.0,100.0,0.0,89.0,917006393.0,31.0,60860.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11264.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60700.0,67175629640.0,972595240412.0
374997,2022-10-09,S301GMAB,ST4000DM000,4000787030016,0,115.0,89809672.0,92.0,100.0,17.0,100.0,0.0,89.0,918042563.0,31.0,60883.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11264.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60724.0,67177119544.0,972847305559.0
374998,2022-10-10,S301GMAB,ST4000DM000,4000787030016,0,117.0,165837800.0,92.0,100.0,17.0,100.0,0.0,89.0,919618226.0,31.0,60907.0,100.0,17.0,1.0,126.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11266.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60747.0,67178861432.0,973009490462.0
