,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
376093,2022-10-01,S301GMDY,ST4000DM000,4000787030016,0,118.0,200999512.0,92.0,100.0,22.0,100.0,0.0,88.0,699524830.0,31.0,60683.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,94.0,12406.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,60594.0,69599963360.0,513448232956.0
376094,2022-10-02,S301GMDY,ST4000DM000,4000787030016,0,120.0,243344816.0,92.0,100.0,22.0,100.0,0.0,88.0,700411933.0,31.0,60707.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,94.0,12406.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,60618.0,69601907016.0,513552366830.0
376095,2022-10-03,S301GMDY,ST4000DM000,4000787030016,0,111.0,39173328.0,92.0,100.0,22.0,100.0,0.0,88.0,701952324.0,31.0,60731.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,94.0,12406.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,60642.0,69603873368.0,513714755170.0
376096,2022-10-04,S301GMDY,ST4000DM000,4000787030016,0,117.0,125848256.0,92.0,100.0,22.0,100.0,0.0,88.0,703289516.0,31.0,60754.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,94.0,12406.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,60665.0,69605360040.0,513920061909.0
376097,2022-10-05,S301GMDY,ST4000DM000,4000787030016,0,113.0,51262272.0,92.0,100.0,22.0,100.0,0.0,88.0,704243693.0,31.0,60778.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,94.0,12406.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,60689.0,69606805208.0,514078673574.0
376098,2022-10-06,S301GMDY,ST4000DM000,4000787030016,0,119.0,223303688.0,92.0,100.0,22.0,100.0,0.0,88.0,707774318.0,31.0,60802.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,94.0,12407.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,60713.0,69608496568.0,514331820242.0
376099,2022-10-07,S301GMDY,ST4000DM000,4000787030016,0,119.0,219036248.0,92.0,100.0,22.0,100.0,0.0,88.0,709133862.0,31.0,60826.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,94.0,12407.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,60736.0,69610614408.0,514553366804.0
376100,2022-10-08,S301GMDY,ST4000DM000,4000787030016,0,119.0,201967232.0,92.0,100.0,22.0,100.0,0.0,88.0,711592042.0,31.0,60849.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,94.0,12407.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,60760.0,69611912016.0,514708525801.0
376101,2022-10-09,S301GMDY,ST4000DM000,4000787030016,0,118.0,170309584.0,92.0,100.0,22.0,100.0,0.0,88.0,713012241.0,31.0,60873.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,94.0,12407.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,60784.0,69613150240.0,514924616488.0
376102,2022-10-10,S301GMDY,ST4000DM000,4000787030016,0,116.0,108776632.0,92.0,100.0,22.0,100.0,0.0,88.0,714296129.0,31.0,60896.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,94.0,12407.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60807.0,69614709712.0,515129178663.0
376103,2022-10-11,S301GMDY,ST4000DM000,4000787030016,0,117.0,148995592.0,92.0,100.0,22.0,100.0,0.0,88.0,715824902.0,31.0,60920.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,94.0,12407.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60831.0,69616090256.0,515418532999.0
376104,2022-10-12,S301GMDY,ST4000DM000,4000787030016,0,111.0,36845936.0,92.0,100.0,22.0,100.0,0.0,88.0,717353223.0,31.0,60944.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,94.0,12407.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60855.0,69618025200.0,515751101980.0
376105,2022-10-13,S301GMDY,ST4000DM000,4000787030016,0,114.0,60654920.0,92.0,100.0,22.0,100.0,0.0,88.0,721107905.0,31.0,60967.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,94.0,12407.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60878.0,69620771048.0,524646205461.0
376106,2022-10-14,S301GMDY,ST4000DM000,4000787030016,0,115.0,86448776.0,92.0,100.0,22.0,100.0,0.0,88.0,722476524.0,31.0,60991.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,94.0,12407.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60902.0,69622217712.0,524913664801.0
376107,2022-10-15,S301GMDY,ST4000DM000,4000787030016,0,119.0,224751688.0,92.0,100.0,22.0,100.0,0.0,88.0,724638992.0,31.0,61014.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,94.0,12407.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60925.0,69623610400.0,525115397795.0
376108,2022-10-16,S301GMDY,ST4000DM000,4000787030016,0,120.0,235487704.0,92.0,100.0,22.0,100.0,0.0,88.0,725960982.0,31.0,61038.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,94.0,12407.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60949.0,69624807840.0,525293552789.0
376109,2022-10-17,S301GMDY,ST4000DM000,4000787030016,0,118.0,183475640.0,92.0,100.0,22.0,100.0,0.0,88.0,727269116.0,31.0,61062.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,94.0,12408.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60973.0,69626054864.0,525553535698.0
376110,2022-10-18,S301GMDY,ST4000DM000,4000787030016,0,108.0,18929944.0,92.0,100.0,22.0,100.0,0.0,88.0,728719924.0,31.0,61097.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,94.0,12408.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,61008.0,69628164800.0,525881896441.0
376111,2022-10-19,S301GMDY,ST4000DM000,4000787030016,0,119.0,219570608.0,92.0,100.0,22.0,100.0,0.0,88.0,730275515.0,31.0,61121.0,100.0,22.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,94.0,12409.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,61031.0,69629410120.0,526160242879.0
