,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
377933,2022-10-01,S301GML1,ST4000DM000,4000787030016,0,114.0,68881360.0,91.0,100.0,21.0,100.0,0.0,89.0,938337205.0,31.0,60681.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9513.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60564.0,68925449976.0,406430551027.0
377934,2022-10-02,S301GML1,ST4000DM000,4000787030016,0,119.0,225748872.0,91.0,100.0,21.0,100.0,0.0,90.0,939703245.0,31.0,60705.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9513.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60588.0,68927598728.0,406685005134.0
377935,2022-10-03,S301GML1,ST4000DM000,4000787030016,0,116.0,108824280.0,91.0,100.0,21.0,100.0,0.0,90.0,942892263.0,31.0,60729.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9513.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60612.0,68929261800.0,406970660391.0
377936,2022-10-04,S301GML1,ST4000DM000,4000787030016,0,117.0,144862888.0,91.0,100.0,21.0,100.0,0.0,90.0,945271049.0,31.0,60753.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9513.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60636.0,68931110776.0,407244692903.0
377937,2022-10-05,S301GML1,ST4000DM000,4000787030016,0,118.0,179162992.0,91.0,100.0,21.0,100.0,0.0,90.0,947176106.0,31.0,60777.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9514.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60660.0,68933126936.0,407462188877.0
377938,2022-10-06,S301GML1,ST4000DM000,4000787030016,0,111.0,41394656.0,91.0,100.0,21.0,100.0,0.0,90.0,949508017.0,31.0,60812.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9515.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60695.0,68935058936.0,407753025685.0
377939,2022-10-07,S301GML1,ST4000DM000,4000787030016,0,118.0,194833480.0,91.0,100.0,21.0,100.0,0.0,90.0,950509933.0,31.0,60836.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9515.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60719.0,68936175664.0,407989724286.0
377940,2022-10-08,S301GML1,ST4000DM000,4000787030016,0,112.0,49007920.0,91.0,100.0,21.0,100.0,0.0,90.0,951620277.0,31.0,60860.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9515.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60743.0,68937211176.0,408253052024.0
377941,2022-10-09,S301GML1,ST4000DM000,4000787030016,0,109.0,24428144.0,91.0,100.0,21.0,100.0,0.0,90.0,953262661.0,31.0,60884.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9515.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60767.0,68938837720.0,408532307508.0
377942,2022-10-10,S301GML1,ST4000DM000,4000787030016,0,116.0,101646312.0,91.0,100.0,21.0,100.0,0.0,90.0,955611952.0,31.0,60908.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9515.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60791.0,68940306800.0,408860749335.0
377943,2022-10-11,S301GML1,ST4000DM000,4000787030016,0,111.0,34569368.0,91.0,100.0,21.0,100.0,0.0,90.0,957736499.0,31.0,60932.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9515.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60815.0,68941614064.0,409183077809.0
377944,2022-10-12,S301GML1,ST4000DM000,4000787030016,0,117.0,143107760.0,91.0,100.0,21.0,100.0,0.0,90.0,958648167.0,31.0,60944.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9518.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60827.0,68942111520.0,409278935724.0
377945,2022-10-13,S301GML1,ST4000DM000,4000787030016,0,110.0,26912056.0,91.0,100.0,21.0,100.0,0.0,90.0,960175762.0,31.0,60968.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9518.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60851.0,68943317976.0,409520666197.0
377946,2022-10-14,S301GML1,ST4000DM000,4000787030016,0,117.0,156331880.0,91.0,100.0,21.0,100.0,0.0,90.0,961523007.0,31.0,60992.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9518.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60875.0,68944846712.0,409716267987.0
377947,2022-10-15,S301GML1,ST4000DM000,4000787030016,0,118.0,191175368.0,91.0,100.0,21.0,100.0,0.0,90.0,962800854.0,31.0,61016.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9518.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60899.0,68945899568.0,409900558678.0
377948,2022-10-16,S301GML1,ST4000DM000,4000787030016,0,116.0,103184608.0,91.0,100.0,21.0,100.0,0.0,90.0,963934778.0,31.0,61040.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9518.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60923.0,68946983376.0,410058157806.0
377949,2022-10-17,S301GML1,ST4000DM000,4000787030016,0,117.0,119653864.0,91.0,100.0,21.0,100.0,0.0,90.0,967743609.0,31.0,61075.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9518.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60958.0,68949056376.0,410304014628.0
377950,2022-10-18,S301GML1,ST4000DM000,4000787030016,0,119.0,216720616.0,91.0,100.0,21.0,100.0,0.0,90.0,968393435.0,31.0,61099.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9518.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60982.0,68950550672.0,410378677705.0
377951,2022-10-19,S301GML1,ST4000DM000,4000787030016,0,110.0,26675016.0,91.0,100.0,21.0,100.0,0.0,90.0,970364033.0,31.0,61123.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9519.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61006.0,68952373880.0,410555662172.0
377952,2022-10-20,S301GML1,ST4000DM000,4000787030016,0,117.0,133324024.0,91.0,100.0,21.0,100.0,0.0,90.0,971614647.0,31.0,61147.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61030.0,68953590200.0,410769885140.0
377953,2022-10-21,S301GML1,ST4000DM000,4000787030016,0,107.0,13065952.0,91.0,100.0,21.0,100.0,0.0,90.0,972816353.0,31.0,61171.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61054.0,68954705240.0,410975387913.0
377954,2022-10-22,S301GML1,ST4000DM000,4000787030016,0,119.0,229124768.0,91.0,100.0,21.0,100.0,0.0,90.0,974133630.0,31.0,61195.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61077.0,68955928040.0,411175823748.0
377955,2022-10-23,S301GML1,ST4000DM000,4000787030016,0,118.0,192363552.0,91.0,100.0,21.0,100.0,0.0,90.0,975854353.0,31.0,61218.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,9519.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61101.0,68957089040.0,411417171640.0
377956,2022-10-24,S301GML1,ST4000DM000,4000787030016,0,117.0,148215296.0,91.0,100.0,21.0,100.0,0.0,90.0,978645222.0,31.0,61242.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61125.0,68958426568.0,411642277074.0
377957,2022-10-25,S301GML1,ST4000DM000,4000787030016,0,119.0,204789600.0,91.0,100.0,21.0,100.0,0.0,90.0,980074669.0,31.0,61266.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61149.0,68959519552.0,411892047259.0
377958,2022-10-26,S301GML1,ST4000DM000,4000787030016,0,118.0,182379936.0,91.0,100.0,21.0,100.0,0.0,90.0,982447805.0,31.0,61290.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61173.0,68960722128.0,412037527877.0
377959,2022-10-27,S301GML1,ST4000DM000,4000787030016,0,107.0,13357096.0,91.0,100.0,21.0,100.0,0.0,90.0,983395993.0,31.0,61314.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61197.0,68962825400.0,412200484939.0
377960,2022-10-28,S301GML1,ST4000DM000,4000787030016,0,119.0,227630848.0,91.0,100.0,21.0,100.0,0.0,90.0,985187038.0,30.0,61338.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61221.0,68964078632.0,412543310880.0
377961,2022-10-29,S301GML1,ST4000DM000,4000787030016,0,119.0,210479288.0,91.0,100.0,21.0,100.0,0.0,90.0,986684421.0,30.0,61361.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61244.0,68965040520.0,412826689484.0
377962,2022-10-30,S301GML1,ST4000DM000,4000787030016,0,115.0,93392976.0,91.0,100.0,21.0,100.0,0.0,90.0,988172708.0,30.0,61385.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61268.0,68966127184.0,413075782467.0
377963,2022-10-31,S301GML1,ST4000DM000,4000787030016,0,117.0,153884288.0,91.0,100.0,21.0,100.0,0.0,90.0,991014008.0,30.0,61409.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61292.0,68967148792.0,413331603713.0
377964,2022-11-01,S301GML1,ST4000DM000,4000787030016,0,108.0,19358992.0,91.0,100.0,21.0,100.0,0.0,90.0,992295732.0,30.0,61433.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9519.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61316.0,68968023496.0,413592735377.0
377965,2022-11-02,S301GML1,ST4000DM000,4000787030016,0,108.0,15271512.0,91.0,100.0,21.0,100.0,0.0,90.0,993682846.0,30.0,61457.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9520.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61339.0,68970479664.0,413767205891.0
377966,2022-11-03,S301GML1,ST4000DM000,4000787030016,0,117.0,156083032.0,91.0,100.0,21.0,100.0,0.0,90.0,994886817.0,30.0,61480.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9521.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61363.0,68972232680.0,414034274483.0
377967,2022-11-04,S301GML1,ST4000DM000,4000787030016,0,118.0,200451200.0,91.0,100.0,21.0,100.0,0.0,90.0,996044869.0,30.0,61504.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9521.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61387.0,68973370960.0,414266302679.0
377968,2022-11-05,S301GML1,ST4000DM000,4000787030016,0,114.0,73779168.0,91.0,100.0,21.0,100.0,0.0,90.0,997543737.0,30.0,61528.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9521.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61411.0,68974315760.0,414507384498.0
377969,2022-11-06,S301GML1,ST4000DM000,4000787030016,0,111.0,38712320.0,91.0,100.0,21.0,100.0,0.0,90.0,998876584.0,30.0,61552.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9521.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61434.0,68975210968.0,414756043987.0
377970,2022-11-07,S301GML1,ST4000DM000,4000787030016,0,111.0,62626832.0,91.0,100.0,21.0,100.0,0.0,63.0,1914323.0,30.0,61575.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9521.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61458.0,68976513200.0,415033421376.0
377971,2022-11-08,S301GML1,ST4000DM000,4000787030016,0,108.0,15601072.0,91.0,100.0,21.0,100.0,0.0,66.0,3696436.0,30.0,61599.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9521.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61482.0,68977374656.0,415294223845.0
377972,2022-11-09,S301GML1,ST4000DM000,4000787030016,0,119.0,1694864.0,91.0,100.0,21.0,100.0,0.0,67.0,5366420.0,30.0,61623.0,100.0,21.0,96.0,4.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,9522.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61506.0,68978709744.0,415506197281.0
