,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
378186,2022-10-01,S301GMMY,ST4000DM000,4000787030016,0,119.0,228632320.0,91.0,100.0,20.0,100.0,0.0,86.0,439014808.0,32.0,60214.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60156.0,66939589368.0,443527347880.0
378187,2022-10-02,S301GMMY,ST4000DM000,4000787030016,0,109.0,21062376.0,91.0,100.0,20.0,100.0,0.0,86.0,441153830.0,32.0,60238.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60180.0,66954925312.0,443821563883.0
378188,2022-10-03,S301GMMY,ST4000DM000,4000787030016,0,114.0,59488728.0,91.0,100.0,20.0,100.0,0.0,86.0,443342033.0,32.0,60262.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60204.0,66970830328.0,444166393445.0
378189,2022-10-04,S301GMMY,ST4000DM000,4000787030016,0,115.0,95675416.0,91.0,100.0,20.0,100.0,0.0,86.0,446575607.0,32.0,60286.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60228.0,66988429032.0,444491347430.0
378190,2022-10-05,S301GMMY,ST4000DM000,4000787030016,0,113.0,53907136.0,91.0,100.0,20.0,100.0,0.0,86.0,447896425.0,32.0,60310.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60251.0,67003381984.0,444751306267.0
378191,2022-10-06,S301GMMY,ST4000DM000,4000787030016,0,117.0,155942424.0,91.0,100.0,20.0,100.0,0.0,86.0,449710024.0,32.0,60334.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60275.0,67015152248.0,444896823969.0
378192,2022-10-07,S301GMMY,ST4000DM000,4000787030016,0,118.0,171442256.0,91.0,100.0,20.0,100.0,0.0,86.0,450677197.0,32.0,60357.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60299.0,67027588232.0,445132641044.0
378193,2022-10-08,S301GMMY,ST4000DM000,4000787030016,0,117.0,129241336.0,91.0,100.0,20.0,100.0,0.0,86.0,451281288.0,32.0,60369.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60311.0,67038032056.0,445301148529.0
378194,2022-10-09,S301GMMY,ST4000DM000,4000787030016,0,119.0,234494112.0,91.0,100.0,20.0,100.0,0.0,86.0,452656257.0,32.0,60405.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,7142.0,20.0,20.0,100.0,24.0,100.0,24.0,0.0,60347.0,67056526416.0,445640164845.0
378195,2022-10-10,S301GMMY,ST4000DM000,4000787030016,0,116.0,105127896.0,91.0,100.0,20.0,100.0,0.0,86.0,454441219.0,32.0,60429.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60371.0,67065599544.0,445788122539.0
378196,2022-10-11,S301GMMY,ST4000DM000,4000787030016,0,118.0,186331216.0,91.0,100.0,20.0,100.0,0.0,86.0,455614751.0,31.0,60453.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60394.0,67075588568.0,445989470223.0
378197,2022-10-12,S301GMMY,ST4000DM000,4000787030016,0,111.0,33193792.0,91.0,100.0,20.0,100.0,0.0,86.0,456523820.0,31.0,60477.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60418.0,67085557760.0,446143389618.0
378198,2022-10-13,S301GMMY,ST4000DM000,4000787030016,0,119.0,216417752.0,91.0,100.0,20.0,100.0,0.0,86.0,458195128.0,31.0,60500.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60442.0,67097884504.0,446228808265.0
378199,2022-10-14,S301GMMY,ST4000DM000,4000787030016,0,118.0,184852848.0,91.0,100.0,20.0,100.0,0.0,86.0,459023069.0,31.0,60524.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60466.0,67110139216.0,446408969316.0
378200,2022-10-15,S301GMMY,ST4000DM000,4000787030016,0,119.0,206464520.0,91.0,100.0,20.0,100.0,0.0,86.0,459830051.0,31.0,60548.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60490.0,67120618808.0,446594639308.0
378201,2022-10-16,S301GMMY,ST4000DM000,4000787030016,0,114.0,78048432.0,91.0,100.0,20.0,100.0,0.0,86.0,460868413.0,31.0,60572.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60514.0,67131452424.0,446846282918.0
378202,2022-10-17,S301GMMY,ST4000DM000,4000787030016,0,109.0,21977544.0,91.0,100.0,20.0,100.0,0.0,86.0,462267023.0,31.0,60596.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60538.0,67143829664.0,446997435787.0
378203,2022-10-18,S301GMMY,ST4000DM000,4000787030016,0,103.0,6069728.0,91.0,100.0,20.0,100.0,0.0,86.0,464822454.0,31.0,60620.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60561.0,67152462680.0,447200072429.0
378204,2022-10-19,S301GMMY,ST4000DM000,4000787030016,0,119.0,203498576.0,91.0,100.0,20.0,100.0,0.0,86.0,465573431.0,31.0,60644.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60585.0,67160142936.0,447322833010.0
378205,2022-10-20,S301GMMY,ST4000DM000,4000787030016,0,117.0,118942232.0,91.0,100.0,20.0,100.0,0.0,86.0,467466039.0,31.0,60668.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60609.0,67168702728.0,447475344021.0
378206,2022-10-21,S301GMMY,ST4000DM000,4000787030016,0,117.0,151477928.0,91.0,100.0,20.0,100.0,0.0,86.0,468529451.0,31.0,60691.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,7142.0,19.0,19.0,100.0,24.0,100.0,24.0,0.0,60633.0,67180746568.0,447706832275.0
378207,2022-10-22,S301GMMY,ST4000DM000,4000787030016,0,107.0,12876160.0,91.0,100.0,20.0,100.0,0.0,86.0,469413924.0,31.0,60715.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60657.0,67190143992.0,447831723104.0
378208,2022-10-23,S301GMMY,ST4000DM000,4000787030016,0,119.0,223451360.0,91.0,100.0,20.0,100.0,0.0,87.0,470391372.0,31.0,60739.0,100.0,20.0,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,7142.0,18.0,18.0,100.0,24.0,100.0,24.0,0.0,60681.0,67199739792.0,448010258203.0
