,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
378458,2022-10-01,S301GMNG,ST4000DM000,4000787030016,0,113.0,170629328.0,92.0,100.0,21.0,99.0,1752.0,88.0,779953913.0,31.0,60691.0,100.0,21.0,97.0,3.0,100.0,0.0,17.0,83.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,96.0,9443.0,24.0,24.0,100.0,16.0,100.0,16.0,0.0,60619.0,69689922176.0,369050579743.0
378459,2022-10-02,S301GMNG,ST4000DM000,4000787030016,0,102.0,94763352.0,92.0,100.0,21.0,99.0,1768.0,88.0,782247328.0,31.0,60715.0,100.0,21.0,97.0,3.0,100.0,0.0,17.0,83.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,96.0,9443.0,24.0,24.0,100.0,16.0,100.0,16.0,0.0,60643.0,69692420984.0,369295352235.0
378460,2022-10-03,S301GMNG,ST4000DM000,4000787030016,0,115.0,87215304.0,92.0,100.0,21.0,99.0,1792.0,88.0,783358325.0,31.0,60739.0,100.0,21.0,97.0,3.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,96.0,9443.0,24.0,24.0,100.0,16.0,100.0,16.0,0.0,60667.0,69694356192.0,369545918023.0
378461,2022-10-04,S301GMNG,ST4000DM000,4000787030016,0,116.0,106173360.0,92.0,100.0,21.0,99.0,1792.0,88.0,785654853.0,31.0,60762.0,100.0,21.0,97.0,3.0,100.0,0.0,15.0,85.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,96.0,9443.0,24.0,24.0,100.0,16.0,100.0,16.0,0.0,60691.0,69695930296.0,369692966142.0
378462,2022-10-05,S301GMNG,ST4000DM000,4000787030016,0,119.0,233125472.0,92.0,100.0,21.0,99.0,1792.0,88.0,786777133.0,31.0,60786.0,100.0,21.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,96.0,9443.0,24.0,24.0,100.0,16.0,100.0,16.0,0.0,60715.0,69699723776.0,369950064263.0
378463,2022-10-06,S301GMNG,ST4000DM000,4000787030016,0,115.0,239965528.0,92.0,100.0,21.0,99.0,1808.0,88.0,787861282.0,31.0,60810.0,100.0,21.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,96.0,9443.0,24.0,24.0,100.0,16.0,100.0,16.0,0.0,60739.0,69701408760.0,370283743985.0
378464,2022-10-07,S301GMNG,ST4000DM000,4000787030016,0,113.0,55071128.0,92.0,100.0,21.0,99.0,1808.0,88.0,789728443.0,31.0,60834.0,100.0,21.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,96.0,9443.0,24.0,24.0,100.0,16.0,100.0,16.0,0.0,60763.0,69702988992.0,370583160502.0
378465,2022-10-08,S301GMNG,ST4000DM000,4000787030016,0,108.0,123142491.0,92.0,100.0,21.0,98.0,1880.0,88.0,792430400.0,31.0,60858.0,100.0,21.0,97.0,3.0,100.0,0.0,10.0,90.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,3.0,96.0,9443.0,25.0,25.0,100.0,16.0,100.0,16.0,0.0,60787.0,69704842592.0,370897334329.0
378466,2022-10-09,S301GMNG,ST4000DM000,4000787030016,0,115.0,98632368.0,92.0,100.0,21.0,98.0,1880.0,88.0,794224095.0,31.0,60882.0,100.0,21.0,97.0,3.0,100.0,0.0,10.0,90.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,96.0,9443.0,24.0,24.0,100.0,16.0,100.0,16.0,0.0,60811.0,69706758440.0,370980972954.0
378467,2022-10-10,S301GMNG,ST4000DM000,4000787030016,0,119.0,207101904.0,92.0,100.0,21.0,98.0,1880.0,88.0,795831866.0,31.0,60906.0,100.0,21.0,97.0,3.0,100.0,0.0,10.0,90.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,96.0,9443.0,24.0,24.0,100.0,16.0,100.0,16.0,0.0,60834.0,69708325960.0,371215570367.0
