,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
383214,2022-10-01,S301GNN0,ST4000DM000,4000787030016,0,114.0,80239496.0,91.0,100.0,29.0,100.0,0.0,89.0,880626749.0,30.0,62011.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,93.0,14437.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61709.0,73658994592.0,369373307783.0
383215,2022-10-02,S301GNN0,ST4000DM000,4000787030016,0,119.0,217539392.0,91.0,100.0,29.0,100.0,0.0,89.0,882300619.0,30.0,62035.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,93.0,14442.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61733.0,73661054912.0,369443250665.0
383216,2022-10-03,S301GNN0,ST4000DM000,4000787030016,0,117.0,142867512.0,91.0,100.0,29.0,100.0,0.0,89.0,883547666.0,30.0,62059.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,93.0,14442.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61756.0,73662540776.0,369614332735.0
383217,2022-10-04,S301GNN0,ST4000DM000,4000787030016,0,117.0,140812856.0,91.0,100.0,29.0,100.0,0.0,89.0,885509143.0,30.0,62082.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,93.0,14442.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61780.0,73664155696.0,369925507413.0
383218,2022-10-05,S301GNN0,ST4000DM000,4000787030016,0,112.0,45938248.0,91.0,100.0,29.0,100.0,0.0,89.0,886838524.0,30.0,62106.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,93.0,14442.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61804.0,73665421280.0,370176102325.0
383219,2022-10-06,S301GNN0,ST4000DM000,4000787030016,0,114.0,79420456.0,91.0,100.0,29.0,100.0,0.0,89.0,889342537.0,30.0,62141.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,93.0,14444.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61839.0,73667455984.0,370583261583.0
383220,2022-10-07,S301GNN0,ST4000DM000,4000787030016,0,117.0,142463528.0,91.0,100.0,29.0,100.0,0.0,89.0,890940498.0,30.0,62165.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,93.0,14444.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61863.0,73668794648.0,370844248434.0
383221,2022-10-08,S301GNN0,ST4000DM000,4000787030016,0,117.0,131203632.0,91.0,100.0,29.0,100.0,0.0,89.0,892314431.0,30.0,62189.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,93.0,14447.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61887.0,73670116416.0,371073728867.0
383222,2022-10-09,S301GNN0,ST4000DM000,4000787030016,0,114.0,66404104.0,91.0,100.0,29.0,100.0,0.0,89.0,894304479.0,29.0,62213.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,93.0,14447.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61910.0,73672253800.0,371175720076.0
383223,2022-10-10,S301GNN0,ST4000DM000,4000787030016,0,117.0,143585144.0,91.0,100.0,29.0,100.0,0.0,89.0,895259947.0,29.0,62236.0,100.0,29.0,1.0,354.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,93.0,14447.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,61934.0,73673706784.0,371408751039.0
