,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
385146,2022-10-01,S301GP0K,ST4000DM000,4000787030016,0,117.0,129066000.0,92.0,100.0,21.0,100.0,0.0,89.0,882496330.0,31.0,60690.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,3.0,97.0,6988.0,28.0,28.0,100.0,16.0,100.0,16.0,0.0,60631.0,70562969976.0,375771241701.0
385147,2022-10-02,S301GP0K,ST4000DM000,4000787030016,0,105.0,7720688.0,92.0,100.0,21.0,100.0,0.0,89.0,885629821.0,31.0,60714.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,3.0,97.0,6988.0,28.0,28.0,100.0,16.0,100.0,16.0,0.0,60655.0,70565028904.0,376048732591.0
385148,2022-10-03,S301GP0K,ST4000DM000,4000787030016,0,114.0,73932288.0,92.0,100.0,21.0,100.0,0.0,89.0,887327966.0,31.0,60738.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,3.0,97.0,6988.0,28.0,28.0,100.0,16.0,100.0,16.0,0.0,60679.0,70567015056.0,376288293716.0
385149,2022-10-04,S301GP0K,ST4000DM000,4000787030016,0,111.0,40272480.0,92.0,100.0,21.0,100.0,0.0,89.0,888493891.0,31.0,60761.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,3.0,97.0,6988.0,28.0,28.0,100.0,16.0,100.0,16.0,0.0,60703.0,70568486720.0,376511994169.0
385150,2022-10-05,S301GP0K,ST4000DM000,4000787030016,0,111.0,38831056.0,92.0,100.0,21.0,100.0,0.0,89.0,890369179.0,31.0,60785.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,3.0,97.0,6988.0,28.0,28.0,100.0,16.0,100.0,16.0,0.0,60727.0,70569835920.0,376610110453.0
385151,2022-10-06,S301GP0K,ST4000DM000,4000787030016,0,116.0,112270088.0,92.0,100.0,21.0,100.0,0.0,89.0,891348560.0,31.0,60809.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,3.0,97.0,6988.0,28.0,28.0,100.0,16.0,100.0,16.0,0.0,60751.0,70571316560.0,376865417365.0
385152,2022-10-07,S301GP0K,ST4000DM000,4000787030016,0,117.0,158312440.0,92.0,100.0,21.0,100.0,0.0,89.0,892536402.0,31.0,60833.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,3.0,97.0,6988.0,28.0,28.0,100.0,16.0,100.0,16.0,0.0,60775.0,70572668368.0,377200097737.0
385153,2022-10-08,S301GP0K,ST4000DM000,4000787030016,0,117.0,141229688.0,92.0,100.0,21.0,100.0,0.0,89.0,894986634.0,31.0,60857.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,3.0,97.0,6988.0,28.0,28.0,100.0,16.0,100.0,16.0,0.0,60798.0,70574003352.0,377526693668.0
385154,2022-10-09,S301GP0K,ST4000DM000,4000787030016,0,118.0,171272536.0,92.0,100.0,21.0,100.0,0.0,89.0,897370535.0,31.0,60881.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,3.0,97.0,6988.0,30.0,30.0,100.0,16.0,100.0,16.0,0.0,60822.0,70575667320.0,377742304249.0
385155,2022-10-10,S301GP0K,ST4000DM000,4000787030016,0,113.0,54408744.0,92.0,100.0,21.0,100.0,0.0,89.0,899531803.0,31.0,60905.0,100.0,21.0,98.0,2.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,3.0,97.0,6988.0,27.0,27.0,100.0,16.0,100.0,16.0,0.0,60846.0,70577923256.0,377963419157.0
