,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
388277,2022-10-01,S301GPTQ,ST4000DM000,4000787030016,0,119.0,2300872.0,91.0,100.0,27.0,100.0,0.0,79.0,90335479.0,30.0,62022.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,14.0,93.0,14323.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61739.0,74910955096.0,398781823400.0
388278,2022-10-02,S301GPTQ,ST4000DM000,4000787030016,0,118.0,172766240.0,91.0,100.0,27.0,100.0,0.0,79.0,92013042.0,30.0,62046.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,14.0,93.0,14323.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61763.0,74912837184.0,399042763094.0
388279,2022-10-03,S301GPTQ,ST4000DM000,4000787030016,0,114.0,65386888.0,91.0,100.0,27.0,100.0,0.0,79.0,93417002.0,30.0,62069.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,14.0,93.0,14323.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61787.0,74914290224.0,399287010684.0
388280,2022-10-04,S301GPTQ,ST4000DM000,4000787030016,0,118.0,193326144.0,91.0,100.0,27.0,100.0,0.0,79.0,96367283.0,30.0,62093.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,14.0,93.0,14323.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,61810.0,74915801952.0,399602931317.0
388281,2022-10-05,S301GPTQ,ST4000DM000,4000787030016,0,118.0,170783040.0,91.0,100.0,27.0,100.0,0.0,79.0,98244073.0,30.0,62117.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,14.0,93.0,14323.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61834.0,74917475088.0,399859529152.0
388282,2022-10-06,S301GPTQ,ST4000DM000,4000787030016,0,117.0,141594008.0,91.0,100.0,27.0,100.0,0.0,79.0,100646166.0,30.0,62140.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,14.0,93.0,14323.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61858.0,74919421552.0,400030280741.0
388283,2022-10-07,S301GPTQ,ST4000DM000,4000787030016,0,117.0,137705536.0,91.0,100.0,27.0,100.0,0.0,80.0,102182062.0,30.0,62164.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,14.0,93.0,14323.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61881.0,74920706944.0,400151157933.0
388284,2022-10-08,S301GPTQ,ST4000DM000,4000787030016,0,112.0,46106544.0,91.0,100.0,27.0,100.0,0.0,80.0,103773641.0,30.0,62188.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,14.0,93.0,14323.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61905.0,74922030504.0,400423536108.0
388285,2022-10-09,S301GPTQ,ST4000DM000,4000787030016,0,103.0,5732240.0,91.0,100.0,27.0,100.0,0.0,80.0,104792099.0,29.0,62212.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,14.0,93.0,14323.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61929.0,74923792952.0,400626816719.0
388286,2022-10-10,S301GPTQ,ST4000DM000,4000787030016,0,114.0,61171920.0,91.0,100.0,27.0,100.0,0.0,80.0,106076049.0,29.0,62235.0,100.0,27.0,95.0,5.0,100.0,0.0,52.0,48.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,14.0,93.0,14323.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61953.0,74925494936.0,400881996610.0
