,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
388369,2022-10-01,S301GPVX,ST4000DM000,4000787030016,0,117.0,145677272.0,92.0,100.0,21.0,100.0,0.0,88.0,774706353.0,31.0,60692.0,100.0,21.0,41.0,59.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,3.0,95.0,10017.0,23.0,23.0,100.0,112.0,100.0,112.0,0.0,60618.0,71051957504.0,369741064637.0
388370,2022-10-02,S301GPVX,ST4000DM000,4000787030016,0,115.0,87731664.0,92.0,100.0,21.0,100.0,0.0,88.0,776257664.0,31.0,60716.0,100.0,21.0,41.0,59.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,95.0,10017.0,24.0,24.0,100.0,112.0,100.0,112.0,0.0,60642.0,71054279096.0,369936625244.0
388371,2022-10-03,S301GPVX,ST4000DM000,4000787030016,0,116.0,109414256.0,92.0,100.0,21.0,100.0,0.0,88.0,777862924.0,31.0,60740.0,100.0,21.0,41.0,59.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,95.0,10017.0,24.0,24.0,100.0,112.0,100.0,112.0,0.0,60665.0,71056397064.0,370098033262.0
388372,2022-10-04,S301GPVX,ST4000DM000,4000787030016,0,108.0,20015112.0,92.0,100.0,21.0,100.0,0.0,88.0,779812326.0,31.0,60764.0,100.0,21.0,41.0,59.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,3.0,95.0,10017.0,23.0,23.0,100.0,112.0,100.0,112.0,0.0,60689.0,71058018280.0,370231132347.0
388373,2022-10-05,S301GPVX,ST4000DM000,4000787030016,0,111.0,30353952.0,92.0,100.0,21.0,100.0,0.0,88.0,780901770.0,31.0,60788.0,100.0,21.0,41.0,59.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,95.0,10017.0,24.0,24.0,100.0,112.0,100.0,112.0,0.0,60713.0,71059667512.0,370404651270.0
388374,2022-10-06,S301GPVX,ST4000DM000,4000787030016,0,118.0,193576536.0,92.0,100.0,21.0,100.0,0.0,88.0,782164969.0,31.0,60812.0,100.0,21.0,41.0,59.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,95.0,10017.0,24.0,24.0,100.0,112.0,100.0,112.0,0.0,60737.0,71061216824.0,370591068627.0
388375,2022-10-07,S301GPVX,ST4000DM000,4000787030016,0,114.0,67828208.0,92.0,100.0,21.0,100.0,0.0,88.0,784169700.0,31.0,60836.0,100.0,21.0,41.0,59.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,3.0,95.0,10017.0,23.0,23.0,100.0,112.0,100.0,112.0,0.0,60761.0,71062573048.0,370831945789.0
388376,2022-10-08,S301GPVX,ST4000DM000,4000787030016,0,119.0,205378168.0,92.0,100.0,21.0,100.0,0.0,88.0,787427164.0,31.0,60859.0,100.0,21.0,41.0,59.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,3.0,95.0,10017.0,24.0,24.0,100.0,112.0,100.0,112.0,0.0,60785.0,71064112288.0,371124062399.0
388377,2022-10-09,S301GPVX,ST4000DM000,4000787030016,0,117.0,146866904.0,92.0,100.0,21.0,100.0,0.0,88.0,789200747.0,31.0,60883.0,100.0,21.0,41.0,59.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,3.0,95.0,10017.0,23.0,23.0,100.0,112.0,100.0,112.0,0.0,60809.0,71065647176.0,371400172871.0
388378,2022-10-10,S301GPVX,ST4000DM000,4000787030016,0,111.0,31815496.0,92.0,100.0,21.0,100.0,0.0,88.0,790408720.0,31.0,60907.0,100.0,21.0,41.0,59.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,3.0,95.0,10017.0,23.0,23.0,100.0,112.0,100.0,112.0,0.0,60833.0,71067274736.0,371553221348.0
