,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
389145,2022-10-01,S301GQ9B,ST4000DM000,4000787030016,0,119.0,205507400.0,91.0,100.0,19.0,100.0,0.0,88.0,779112751.0,31.0,60690.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8092.0,23.0,23.0,100.0,48.0,100.0,48.0,0.0,60622.0,68779002608.0,372008890629.0
389146,2022-10-02,S301GQ9B,ST4000DM000,4000787030016,0,115.0,90129288.0,91.0,100.0,19.0,100.0,0.0,88.0,782157773.0,31.0,60714.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,96.0,8092.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,60646.0,68781346528.0,372256742700.0
389147,2022-10-03,S301GQ9B,ST4000DM000,4000787030016,0,116.0,107108368.0,91.0,100.0,19.0,100.0,0.0,88.0,783556541.0,31.0,60738.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8092.0,23.0,23.0,100.0,48.0,100.0,48.0,0.0,60669.0,68783255272.0,372461608494.0
389148,2022-10-04,S301GQ9B,ST4000DM000,4000787030016,0,108.0,18004320.0,91.0,100.0,19.0,100.0,0.0,88.0,785478349.0,31.0,60762.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8092.0,23.0,23.0,100.0,48.0,100.0,48.0,0.0,60693.0,68784715960.0,372602603104.0
389149,2022-10-05,S301GQ9B,ST4000DM000,4000787030016,0,119.0,232697344.0,91.0,100.0,19.0,100.0,0.0,88.0,786849438.0,31.0,60785.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,96.0,8092.0,22.0,22.0,100.0,48.0,100.0,48.0,0.0,60717.0,68786063664.0,372765146429.0
389150,2022-10-06,S301GQ9B,ST4000DM000,4000787030016,0,116.0,110967776.0,91.0,100.0,19.0,100.0,0.0,88.0,788334028.0,31.0,60809.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8092.0,23.0,23.0,100.0,48.0,100.0,48.0,0.0,60741.0,68787543912.0,373021472402.0
389151,2022-10-07,S301GQ9B,ST4000DM000,4000787030016,0,108.0,16384520.0,91.0,100.0,19.0,100.0,0.0,88.0,790222577.0,31.0,60833.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8092.0,23.0,23.0,100.0,48.0,100.0,48.0,0.0,60765.0,68788951616.0,373321191939.0
389152,2022-10-08,S301GQ9B,ST4000DM000,4000787030016,0,118.0,182043872.0,91.0,100.0,19.0,100.0,0.0,88.0,791910316.0,31.0,60857.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8092.0,23.0,23.0,100.0,48.0,100.0,48.0,0.0,60789.0,68790377024.0,373626721301.0
389153,2022-10-09,S301GQ9B,ST4000DM000,4000787030016,0,117.0,144850760.0,91.0,100.0,19.0,100.0,0.0,88.0,795183586.0,31.0,60881.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,8092.0,28.0,28.0,100.0,48.0,100.0,48.0,0.0,60813.0,68792246160.0,373939978873.0
389154,2022-10-10,S301GQ9B,ST4000DM000,4000787030016,0,119.0,220662848.0,91.0,100.0,19.0,100.0,0.0,88.0,796601170.0,31.0,60905.0,100.0,19.0,97.0,3.0,100.0,0.0,14.0,86.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8092.0,23.0,23.0,100.0,48.0,100.0,48.0,0.0,60837.0,68793901984.0,374192059393.0
