,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
391297,2022-10-01,S301GQQS,ST4000DM000,4000787030016,0,115.0,86499152.0,92.0,100.0,16.0,100.0,0.0,87.0,656355040.0,31.0,60663.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,11734.0,29.0,29.0,100.0,40.0,100.0,40.0,0.0,60507.0,68424386904.0,865926939634.0
391298,2022-10-02,S301GQQS,ST4000DM000,4000787030016,0,115.0,88703056.0,92.0,100.0,16.0,100.0,0.0,87.0,658668587.0,31.0,60699.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,11735.0,29.0,29.0,100.0,40.0,100.0,40.0,0.0,60542.0,68427245328.0,866127903242.0
391299,2022-10-03,S301GQQS,ST4000DM000,4000787030016,0,111.0,30285864.0,92.0,100.0,16.0,100.0,0.0,87.0,660683695.0,31.0,60722.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,11735.0,29.0,29.0,100.0,40.0,100.0,40.0,0.0,60566.0,68428884728.0,866276446332.0
391300,2022-10-04,S301GQQS,ST4000DM000,4000787030016,0,102.0,3946784.0,92.0,100.0,16.0,100.0,0.0,87.0,661675403.0,31.0,60746.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,95.0,11735.0,28.0,28.0,100.0,40.0,100.0,40.0,0.0,60589.0,68430596312.0,866440048369.0
391301,2022-10-05,S301GQQS,ST4000DM000,4000787030016,0,108.0,16493216.0,92.0,100.0,16.0,100.0,0.0,87.0,662975840.0,31.0,60770.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,11736.0,29.0,29.0,100.0,40.0,100.0,40.0,0.0,60613.0,68432172120.0,870940262037.0
391302,2022-10-06,S301GQQS,ST4000DM000,4000787030016,0,116.0,107253472.0,92.0,100.0,16.0,100.0,0.0,87.0,664064476.0,31.0,60793.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,11737.0,29.0,29.0,100.0,40.0,100.0,40.0,0.0,60636.0,68433672352.0,871104148666.0
391303,2022-10-07,S301GQQS,ST4000DM000,4000787030016,0,118.0,187397400.0,92.0,100.0,16.0,100.0,0.0,87.0,667192142.0,31.0,60817.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,11737.0,29.0,29.0,100.0,40.0,100.0,40.0,0.0,60660.0,68435290456.0,871367824459.0
391304,2022-10-08,S301GQQS,ST4000DM000,4000787030016,0,117.0,135632184.0,92.0,100.0,16.0,100.0,0.0,87.0,668657840.0,31.0,60840.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,95.0,11737.0,30.0,30.0,100.0,40.0,100.0,40.0,0.0,60683.0,68436607712.0,871549183628.0
391305,2022-10-09,S301GQQS,ST4000DM000,4000787030016,0,117.0,157900368.0,92.0,100.0,16.0,100.0,0.0,87.0,670722749.0,31.0,60864.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,11737.0,29.0,29.0,100.0,40.0,100.0,40.0,0.0,60707.0,68438177200.0,871774533983.0
391306,2022-10-10,S301GQQS,ST4000DM000,4000787030016,0,116.0,109966432.0,92.0,100.0,16.0,100.0,0.0,88.0,672591510.0,31.0,60887.0,100.0,16.0,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,11738.0,29.0,29.0,100.0,40.0,100.0,40.0,0.0,60731.0,68441490832.0,871895956594.0
