,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
396176,2022-10-01,S301GTLV,ST4000DM000,4000787030016,0,115.0,85575760.0,91.0,100.0,20.0,100.0,0.0,85.0,399374611.0,32.0,60216.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,60163.0,66781982640.0,456408599961.0
396177,2022-10-02,S301GTLV,ST4000DM000,4000787030016,0,115.0,88152368.0,91.0,100.0,20.0,100.0,0.0,85.0,400326209.0,32.0,60240.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,60186.0,66791824760.0,456616634303.0
396178,2022-10-03,S301GTLV,ST4000DM000,4000787030016,0,119.0,207405288.0,91.0,100.0,20.0,100.0,0.0,85.0,401261138.0,32.0,60264.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60210.0,66806144064.0,456811021935.0
396179,2022-10-04,S301GTLV,ST4000DM000,4000787030016,0,118.0,193300832.0,91.0,100.0,20.0,100.0,0.0,85.0,402206182.0,32.0,60288.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60234.0,66820084832.0,456981143004.0
396180,2022-10-05,S301GTLV,ST4000DM000,4000787030016,0,117.0,139630728.0,91.0,100.0,20.0,100.0,0.0,86.0,404300784.0,32.0,60312.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60258.0,66832075992.0,457201720674.0
396181,2022-10-06,S301GTLV,ST4000DM000,4000787030016,0,114.0,77270400.0,91.0,100.0,20.0,100.0,0.0,86.0,406383784.0,32.0,60336.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60282.0,66843923448.0,457455016575.0
396182,2022-10-07,S301GTLV,ST4000DM000,4000787030016,0,116.0,114933856.0,91.0,100.0,20.0,100.0,0.0,86.0,407948593.0,32.0,60360.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60306.0,66850726984.0,457781440877.0
396183,2022-10-08,S301GTLV,ST4000DM000,4000787030016,0,110.0,25865896.0,91.0,100.0,20.0,100.0,0.0,86.0,408865450.0,32.0,60371.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60318.0,66854598840.0,457812797321.0
396184,2022-10-09,S301GTLV,ST4000DM000,4000787030016,0,114.0,75153408.0,91.0,100.0,20.0,100.0,0.0,86.0,412032501.0,32.0,60407.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,60353.0,66870688672.0,458204484667.0
396185,2022-10-10,S301GTLV,ST4000DM000,4000787030016,0,119.0,211266360.0,91.0,100.0,20.0,100.0,0.0,86.0,413895389.0,32.0,60431.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60377.0,66879115088.0,458497403396.0
396186,2022-10-11,S301GTLV,ST4000DM000,4000787030016,0,109.0,25043536.0,91.0,100.0,20.0,100.0,0.0,86.0,415856569.0,31.0,60455.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,60401.0,66888001256.0,458829300838.0
396187,2022-10-12,S301GTLV,ST4000DM000,4000787030016,0,114.0,67645288.0,91.0,100.0,20.0,100.0,0.0,86.0,417873791.0,31.0,60479.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60425.0,66897709720.0,459083894475.0
396188,2022-10-13,S301GTLV,ST4000DM000,4000787030016,0,100.0,3049656.0,91.0,100.0,20.0,100.0,0.0,86.0,419355152.0,31.0,60503.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60449.0,66909456104.0,459342653466.0
396189,2022-10-14,S301GTLV,ST4000DM000,4000787030016,0,119.0,220085744.0,91.0,100.0,20.0,100.0,0.0,86.0,420576079.0,31.0,60527.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60473.0,66919070456.0,459705378415.0
396190,2022-10-15,S301GTLV,ST4000DM000,4000787030016,0,118.0,177079200.0,91.0,100.0,20.0,100.0,0.0,86.0,422569675.0,31.0,60550.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60496.0,66928790352.0,459895438130.0
396191,2022-10-16,S301GTLV,ST4000DM000,4000787030016,0,117.0,146581176.0,91.0,100.0,20.0,100.0,0.0,86.0,423781387.0,31.0,60574.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60520.0,66938156584.0,460176855190.0
396192,2022-10-17,S301GTLV,ST4000DM000,4000787030016,0,118.0,193903416.0,91.0,100.0,20.0,100.0,0.0,86.0,424768827.0,31.0,60598.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60544.0,66947762504.0,460458127298.0
396193,2022-10-18,S301GTLV,ST4000DM000,4000787030016,0,118.0,198838400.0,91.0,100.0,20.0,100.0,0.0,86.0,425694297.0,31.0,60622.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60568.0,66956826640.0,460703969851.0
396194,2022-10-19,S301GTLV,ST4000DM000,4000787030016,0,112.0,45733632.0,91.0,100.0,20.0,100.0,0.0,86.0,427083029.0,31.0,60646.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60592.0,66966402776.0,460971091735.0
396195,2022-10-20,S301GTLV,ST4000DM000,4000787030016,0,113.0,51300400.0,91.0,100.0,20.0,100.0,0.0,86.0,428538635.0,31.0,60670.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,60616.0,66975841768.0,461198291724.0
396196,2022-10-21,S301GTLV,ST4000DM000,4000787030016,0,119.0,210801936.0,91.0,100.0,20.0,100.0,0.0,86.0,429218799.0,31.0,60694.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60640.0,66987868280.0,461342747045.0
396197,2022-10-22,S301GTLV,ST4000DM000,4000787030016,0,118.0,179632984.0,91.0,100.0,20.0,100.0,0.0,86.0,430974296.0,31.0,60717.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60663.0,66997989216.0,461460852249.0
396198,2022-10-23,S301GTLV,ST4000DM000,4000787030016,0,114.0,71140832.0,91.0,100.0,20.0,100.0,0.0,86.0,431738367.0,31.0,60741.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60687.0,67008197168.0,461660937348.0
396199,2022-10-24,S301GTLV,ST4000DM000,4000787030016,0,117.0,143233232.0,91.0,100.0,20.0,100.0,0.0,86.0,432549402.0,31.0,60765.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60711.0,67017882144.0,461868982681.0
396200,2022-10-25,S301GTLV,ST4000DM000,4000787030016,0,119.0,227893328.0,91.0,100.0,20.0,100.0,0.0,86.0,433412472.0,31.0,60789.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60735.0,67031692488.0,462080110141.0
396201,2022-10-26,S301GTLV,ST4000DM000,4000787030016,0,117.0,124702624.0,91.0,100.0,20.0,100.0,0.0,86.0,435062424.0,31.0,60813.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60759.0,67043651976.0,462314688577.0
396202,2022-10-27,S301GTLV,ST4000DM000,4000787030016,0,116.0,103401584.0,91.0,100.0,20.0,100.0,0.0,86.0,436519024.0,31.0,60837.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,60783.0,67058246384.0,462519096974.0
396203,2022-10-28,S301GTLV,ST4000DM000,4000787030016,0,112.0,49083152.0,91.0,100.0,20.0,100.0,0.0,86.0,437117250.0,31.0,60861.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60807.0,67069093800.0,462619153963.0
396204,2022-10-29,S301GTLV,ST4000DM000,4000787030016,0,106.0,12306168.0,91.0,100.0,20.0,100.0,0.0,86.0,438921909.0,31.0,60885.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60831.0,67080312120.0,462729627620.0
396205,2022-10-30,S301GTLV,ST4000DM000,4000787030016,0,109.0,24428904.0,91.0,100.0,20.0,100.0,0.0,86.0,439954034.0,31.0,60909.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60855.0,67091944168.0,462966400994.0
396206,2022-10-31,S301GTLV,ST4000DM000,4000787030016,0,120.0,1806072.0,91.0,100.0,20.0,100.0,0.0,86.0,440794954.0,31.0,60932.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60879.0,67101846024.0,463129656503.0
396207,2022-11-01,S301GTLV,ST4000DM000,4000787030016,0,119.0,207928872.0,91.0,100.0,20.0,100.0,0.0,86.0,441573001.0,31.0,60956.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,60902.0,67112035976.0,463275727137.0
396208,2022-11-02,S301GTLV,ST4000DM000,4000787030016,0,116.0,108356480.0,91.0,100.0,20.0,100.0,0.0,86.0,442571513.0,31.0,60980.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60926.0,67129849488.0,463391186403.0
396209,2022-11-03,S301GTLV,ST4000DM000,4000787030016,0,119.0,219234944.0,91.0,100.0,20.0,100.0,0.0,86.0,443965450.0,31.0,61004.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60950.0,67140275792.0,463476987944.0
396210,2022-11-04,S301GTLV,ST4000DM000,4000787030016,0,117.0,138123528.0,91.0,100.0,20.0,100.0,0.0,86.0,444571882.0,31.0,61028.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60974.0,67152746928.0,463573929138.0
396211,2022-11-05,S301GTLV,ST4000DM000,4000787030016,0,108.0,20811096.0,91.0,100.0,20.0,100.0,0.0,86.0,446296887.0,31.0,61052.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60998.0,67165677064.0,463649405236.0
396212,2022-11-06,S301GTLV,ST4000DM000,4000787030016,0,118.0,187841784.0,91.0,100.0,20.0,100.0,0.0,86.0,447153970.0,31.0,61075.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61021.0,67186528432.0,463776257069.0
396213,2022-11-07,S301GTLV,ST4000DM000,4000787030016,0,119.0,201574328.0,91.0,100.0,20.0,100.0,0.0,86.0,448239012.0,31.0,61099.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61045.0,67205029128.0,463987437971.0
396214,2022-11-08,S301GTLV,ST4000DM000,4000787030016,0,108.0,17800792.0,91.0,100.0,20.0,100.0,0.0,86.0,449123285.0,31.0,61123.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,61069.0,67221499880.0,464168925839.0
396215,2022-11-09,S301GTLV,ST4000DM000,4000787030016,0,118.0,172997520.0,91.0,100.0,20.0,100.0,0.0,86.0,450451257.0,31.0,61147.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61093.0,67234868184.0,464356383419.0
396216,2022-11-10,S301GTLV,ST4000DM000,4000787030016,0,119.0,214591232.0,91.0,100.0,20.0,100.0,0.0,86.0,451183851.0,31.0,61171.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61117.0,67247736864.0,464517038794.0
396217,2022-11-11,S301GTLV,ST4000DM000,4000787030016,0,117.0,126262792.0,91.0,100.0,20.0,100.0,0.0,86.0,451924024.0,31.0,61195.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,61141.0,67258750120.0,464686412953.0
396218,2022-11-12,S301GTLV,ST4000DM000,4000787030016,0,117.0,129367208.0,91.0,100.0,20.0,100.0,0.0,86.0,453730600.0,31.0,61219.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61165.0,67270056984.0,464815470791.0
396219,2022-11-13,S301GTLV,ST4000DM000,4000787030016,0,117.0,125038448.0,91.0,100.0,20.0,100.0,0.0,86.0,454621996.0,31.0,61243.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,61189.0,67284498488.0,465023311144.0
396220,2022-11-14,S301GTLV,ST4000DM000,4000787030016,0,119.0,217015024.0,91.0,100.0,20.0,100.0,0.0,86.0,455537705.0,31.0,61267.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,61213.0,67296677952.0,465249630315.0
396221,2022-11-15,S301GTLV,ST4000DM000,4000787030016,0,118.0,192783008.0,91.0,100.0,20.0,100.0,0.0,86.0,456368587.0,31.0,61291.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,61237.0,67306972008.0,465424032455.0
396222,2022-11-16,S301GTLV,ST4000DM000,4000787030016,0,118.0,169571976.0,91.0,100.0,20.0,100.0,0.0,86.0,458560744.0,31.0,61314.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61261.0,67317919824.0,465622994763.0
396223,2022-11-17,S301GTLV,ST4000DM000,4000787030016,0,112.0,46559296.0,91.0,100.0,20.0,100.0,0.0,86.0,461044923.0,30.0,61338.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6195.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61284.0,67330224184.0,465711644650.0
396224,2022-11-18,S301GTLV,ST4000DM000,4000787030016,0,118.0,187302488.0,91.0,100.0,20.0,100.0,0.0,86.0,463650270.0,30.0,61362.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61308.0,67345383536.0,465805116439.0
396225,2022-11-19,S301GTLV,ST4000DM000,4000787030016,0,117.0,136662504.0,91.0,100.0,20.0,100.0,0.0,86.0,466063319.0,30.0,61386.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61332.0,67358869272.0,465886659871.0
396226,2022-11-20,S301GTLV,ST4000DM000,4000787030016,0,117.0,123425288.0,91.0,100.0,20.0,100.0,0.0,86.0,466819233.0,30.0,61410.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61356.0,67370971224.0,466032625581.0
396227,2022-11-21,S301GTLV,ST4000DM000,4000787030016,0,117.0,149786456.0,91.0,100.0,20.0,100.0,0.0,86.0,467539722.0,30.0,61434.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61380.0,67385736416.0,466184197085.0
396228,2022-11-22,S301GTLV,ST4000DM000,4000787030016,0,117.0,166836352.0,91.0,100.0,20.0,100.0,0.0,86.0,468368750.0,30.0,61458.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61404.0,67397036664.0,466377894513.0
396229,2022-11-23,S301GTLV,ST4000DM000,4000787030016,0,108.0,20840736.0,91.0,100.0,20.0,100.0,0.0,87.0,470391706.0,30.0,61482.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61428.0,67415297416.0,466730120374.0
396230,2022-11-24,S301GTLV,ST4000DM000,4000787030016,0,119.0,201896240.0,91.0,100.0,20.0,100.0,0.0,87.0,473277356.0,30.0,61506.0,100.0,20.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61452.0,67426242952.0,467062746492.0
396231,2022-11-25,S301GTLV,ST4000DM000,4000787030016,0,118.0,176282440.0,91.0,100.0,20.0,100.0,0.0,87.0,475105128.0,30.0,61530.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61476.0,67438507776.0,467333625853.0
396232,2022-11-26,S301GTLV,ST4000DM000,4000787030016,0,116.0,101407616.0,91.0,100.0,20.0,100.0,0.0,87.0,477210294.0,30.0,61554.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61500.0,67450675784.0,467492179834.0
396233,2022-11-27,S301GTLV,ST4000DM000,4000787030016,0,115.0,89653840.0,91.0,100.0,20.0,100.0,0.0,87.0,479060616.0,30.0,61578.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61524.0,67460241872.0,467812391634.0
396234,2022-11-28,S301GTLV,ST4000DM000,4000787030016,0,117.0,130098872.0,91.0,100.0,20.0,100.0,0.0,87.0,481210273.0,30.0,61602.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61548.0,67473135744.0,468112702861.0
396235,2022-11-29,S301GTLV,ST4000DM000,4000787030016,0,117.0,166598648.0,91.0,100.0,20.0,100.0,0.0,87.0,482528400.0,30.0,61626.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61572.0,67483365072.0,468382748330.0
396236,2022-11-30,S301GTLV,ST4000DM000,4000787030016,0,112.0,48127288.0,91.0,100.0,20.0,100.0,0.0,87.0,484030986.0,30.0,61650.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61596.0,67491432584.0,468735051702.0
396237,2022-12-01,S301GTLV,ST4000DM000,4000787030016,0,117.0,157043648.0,91.0,100.0,20.0,100.0,0.0,87.0,485038532.0,30.0,61674.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6195.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61620.0,67505557024.0,468986037490.0
396238,2022-12-02,S301GTLV,ST4000DM000,4000787030016,0,117.0,156038840.0,91.0,100.0,20.0,100.0,0.0,87.0,486163224.0,30.0,61698.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61644.0,67521404608.0,469262107517.0
396239,2022-12-03,S301GTLV,ST4000DM000,4000787030016,0,116.0,101388160.0,91.0,100.0,20.0,100.0,0.0,87.0,488011314.0,30.0,61721.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,97.0,6195.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,61668.0,67534258176.0,469421999761.0
396240,2022-12-04,S301GTLV,ST4000DM000,4000787030016,0,119.0,228277192.0,91.0,100.0,20.0,100.0,0.0,87.0,489069135.0,30.0,61745.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,61691.0,67549729984.0,469732069848.0
396241,2022-12-05,S301GTLV,ST4000DM000,4000787030016,0,115.0,95464072.0,91.0,100.0,20.0,100.0,0.0,87.0,489885685.0,30.0,61769.0,100.0,20.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,97.0,6195.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,61715.0,67563200576.0,469957924925.0
