,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
400116,2022-10-05,S301JQ43,ST4000DM000,4000787030016,0,102.0,3824240.0,92.0,100.0,390.0,100.0,0.0,84.0,324099248.0,84.0,14154.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,1.0,243442.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,12751.0,53501052128.0,119272213053.0
400117,2022-10-06,S301JQ43,ST4000DM000,4000787030016,0,120.0,1456904.0,92.0,100.0,390.0,100.0,0.0,84.0,325908199.0,84.0,14177.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,2.0,1.0,243442.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,12774.0,53503384632.0,119538766204.0
400118,2022-10-07,S301JQ43,ST4000DM000,4000787030016,0,118.0,197915216.0,92.0,100.0,390.0,100.0,0.0,84.0,327398866.0,84.0,14201.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,1.0,243442.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,12798.0,53504687568.0,119747503517.0
400119,2022-10-08,S301JQ43,ST4000DM000,4000787030016,0,112.0,42550736.0,92.0,100.0,390.0,100.0,0.0,84.0,328981735.0,84.0,14225.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,1.0,243442.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,12821.0,53506287536.0,119808048960.0
400120,2022-10-09,S301JQ43,ST4000DM000,4000787030016,0,115.0,99064272.0,92.0,100.0,390.0,100.0,0.0,84.0,329973492.0,84.0,14248.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,1.0,243442.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,12845.0,53508006680.0,120030076683.0
400121,2022-10-10,S301JQ43,ST4000DM000,4000787030016,0,118.0,171760008.0,92.0,100.0,390.0,100.0,0.0,84.0,330966178.0,84.0,14272.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,2.0,1.0,243442.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,12869.0,53509856488.0,120272575365.0
400122,2022-10-11,S301JQ43,ST4000DM000,4000787030016,0,119.0,220617448.0,92.0,100.0,390.0,100.0,0.0,84.0,332016457.0,84.0,14296.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,2.0,1.0,243442.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,12893.0,53511697784.0,120523314215.0
400123,2022-10-12,S301JQ43,ST4000DM000,4000787030016,0,109.0,21912368.0,92.0,100.0,390.0,100.0,0.0,84.0,335461045.0,84.0,14332.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,2.0,1.0,243442.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,12928.0,53514326088.0,120975347032.0
400124,2022-10-13,S301JQ43,ST4000DM000,4000787030016,0,117.0,126939080.0,92.0,100.0,390.0,100.0,0.0,85.0,336901771.0,84.0,14355.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,2.0,1.0,243442.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,12952.0,53516060264.0,121286022695.0
400125,2022-10-14,S301JQ43,ST4000DM000,4000787030016,0,117.0,148577192.0,92.0,100.0,390.0,100.0,0.0,85.0,339259910.0,84.0,14379.0,100.0,348.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,2.0,1.0,243442.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,12975.0,53517481592.0,121440302713.0
