,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
400480,2022-10-01,S301K16Z,ST4000DM000,4000787030016,0,119.0,205248904.0,92.0,100.0,27.0,100.0,0.0,88.0,798033475.0,31.0,60686.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,63.0,37.0,100.0,0.0,94.0,12298.0,37.0,37.0,100.0,0.0,100.0,0.0,0.0,60598.0,69752548448.0,1274180319685.0
400481,2022-10-02,S301K16Z,ST4000DM000,4000787030016,0,117.0,134520472.0,92.0,100.0,27.0,100.0,0.0,88.0,798999518.0,31.0,60710.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,63.0,37.0,100.0,0.0,94.0,12298.0,37.0,37.0,100.0,0.0,100.0,0.0,0.0,60622.0,69754678928.0,1274313554140.0
400482,2022-10-03,S301K16Z,ST4000DM000,4000787030016,0,117.0,142755840.0,92.0,100.0,27.0,100.0,0.0,88.0,800615632.0,31.0,60734.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,63.0,37.0,100.0,0.0,94.0,12298.0,37.0,37.0,100.0,0.0,100.0,0.0,0.0,60646.0,69756357784.0,1274536637764.0
400483,2022-10-04,S301K16Z,ST4000DM000,4000787030016,0,117.0,154009120.0,92.0,100.0,27.0,100.0,0.0,88.0,802986054.0,31.0,60757.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,63.0,37.0,100.0,0.0,94.0,12298.0,37.0,37.0,100.0,0.0,100.0,0.0,0.0,60669.0,69757985032.0,1274860365226.0
400484,2022-10-05,S301K16Z,ST4000DM000,4000787030016,0,117.0,152533592.0,92.0,100.0,27.0,100.0,0.0,89.0,805558156.0,31.0,60781.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,63.0,37.0,100.0,0.0,94.0,12298.0,37.0,37.0,100.0,0.0,100.0,0.0,0.0,60693.0,69759677256.0,1275094733753.0
400485,2022-10-06,S301K16Z,ST4000DM000,4000787030016,0,117.0,123138768.0,92.0,100.0,27.0,100.0,0.0,89.0,807044850.0,31.0,60805.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,63.0,37.0,100.0,0.0,94.0,12299.0,37.0,37.0,100.0,0.0,100.0,0.0,0.0,60717.0,69761397528.0,1275421033041.0
400486,2022-10-07,S301K16Z,ST4000DM000,4000787030016,0,117.0,161638640.0,92.0,100.0,27.0,100.0,0.0,89.0,809445593.0,31.0,60829.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,63.0,37.0,100.0,0.0,94.0,12299.0,37.0,37.0,100.0,0.0,100.0,0.0,0.0,60741.0,69762874608.0,1279848904482.0
400487,2022-10-08,S301K16Z,ST4000DM000,4000787030016,0,115.0,94184920.0,92.0,100.0,27.0,100.0,0.0,89.0,810328474.0,31.0,60841.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,0.0,94.0,12299.0,36.0,36.0,100.0,0.0,100.0,0.0,0.0,60753.0,69763717144.0,1279965859550.0
400488,2022-10-09,S301K16Z,ST4000DM000,4000787030016,0,118.0,193862288.0,92.0,100.0,27.0,100.0,0.0,89.0,812894273.0,31.0,60877.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,60.0,40.0,100.0,0.0,94.0,12299.0,40.0,40.0,100.0,0.0,100.0,0.0,0.0,60789.0,69765642440.0,1280437584533.0
400489,2022-10-10,S301K16Z,ST4000DM000,4000787030016,0,114.0,81683592.0,92.0,100.0,27.0,100.0,0.0,89.0,814180963.0,31.0,60900.0,100.0,27.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,63.0,37.0,100.0,0.0,94.0,12299.0,37.0,37.0,100.0,0.0,100.0,0.0,0.0,60812.0,69773762384.0,1280663698507.0
