,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
400572,2022-10-01,S301K17N,ST4000DM000,4000787030016,0,117.0,131535280.0,92.0,100.0,21.0,100.0,0.0,90.0,943193043.0,31.0,61191.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8479.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61083.0,71797182432.0,691239843129.0
400573,2022-10-02,S301K17N,ST4000DM000,4000787030016,0,108.0,17347368.0,92.0,100.0,21.0,100.0,0.0,90.0,946925459.0,31.0,61226.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8479.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61118.0,71799812168.0,691570108306.0
400574,2022-10-03,S301K17N,ST4000DM000,4000787030016,0,117.0,131736288.0,92.0,100.0,21.0,100.0,0.0,90.0,948111696.0,31.0,61250.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8479.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61142.0,71801036760.0,691696962358.0
400575,2022-10-04,S301K17N,ST4000DM000,4000787030016,0,117.0,142503264.0,92.0,100.0,21.0,100.0,0.0,90.0,949663076.0,31.0,61273.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,8479.0,24.0,24.0,100.0,24.0,100.0,24.0,0.0,61166.0,71802052288.0,691787892072.0
400576,2022-10-05,S301K17N,ST4000DM000,4000787030016,0,119.0,215463200.0,92.0,100.0,21.0,100.0,0.0,90.0,951938987.0,31.0,61297.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8480.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61189.0,71803173824.0,691940850559.0
400577,2022-10-06,S301K17N,ST4000DM000,4000787030016,0,115.0,85891072.0,92.0,100.0,21.0,100.0,0.0,90.0,952812693.0,31.0,61309.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8480.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61201.0,71803722288.0,692028120497.0
400578,2022-10-07,S301K17N,ST4000DM000,4000787030016,0,114.0,74541288.0,92.0,100.0,21.0,100.0,0.0,90.0,953806009.0,30.0,61332.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8481.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61225.0,71804800056.0,692201910716.0
400579,2022-10-08,S301K17N,ST4000DM000,4000787030016,0,119.0,226867904.0,92.0,100.0,21.0,100.0,0.0,90.0,955148202.0,30.0,61356.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8481.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61248.0,71805921352.0,692408587308.0
400580,2022-10-09,S301K17N,ST4000DM000,4000787030016,0,117.0,147740960.0,92.0,100.0,21.0,100.0,0.0,90.0,956569842.0,30.0,61380.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8481.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61272.0,71807553464.0,692587964396.0
400581,2022-10-10,S301K17N,ST4000DM000,4000787030016,0,120.0,238820864.0,92.0,100.0,21.0,100.0,0.0,90.0,959486230.0,30.0,61403.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8481.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61295.0,71809164816.0,692809665217.0
400582,2022-10-11,S301K17N,ST4000DM000,4000787030016,0,110.0,27703960.0,92.0,100.0,21.0,100.0,0.0,90.0,960738866.0,30.0,61427.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,8481.0,24.0,24.0,100.0,24.0,100.0,24.0,0.0,61319.0,71810231272.0,693005210518.0
400583,2022-10-12,S301K17N,ST4000DM000,4000787030016,0,119.0,219854168.0,92.0,100.0,21.0,100.0,0.0,90.0,963209652.0,30.0,61462.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8492.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61354.0,71812079344.0,693176194672.0
400584,2022-10-13,S301K17N,ST4000DM000,4000787030016,0,113.0,56750992.0,92.0,100.0,21.0,100.0,0.0,90.0,965177250.0,30.0,61486.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,8492.0,24.0,24.0,100.0,24.0,100.0,24.0,0.0,61378.0,71813697296.0,693439018542.0
400585,2022-10-14,S301K17N,ST4000DM000,4000787030016,0,116.0,115680312.0,92.0,100.0,21.0,100.0,0.0,90.0,966557459.0,30.0,61510.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8492.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61402.0,71814771248.0,693746816547.0
400586,2022-10-15,S301K17N,ST4000DM000,4000787030016,0,116.0,113713904.0,92.0,100.0,21.0,100.0,0.0,90.0,968077544.0,30.0,61533.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8492.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61425.0,71816041280.0,694030884847.0
400587,2022-10-16,S301K17N,ST4000DM000,4000787030016,0,117.0,124164696.0,92.0,100.0,21.0,100.0,0.0,90.0,970910730.0,30.0,61557.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8492.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61449.0,71818866264.0,694380928381.0
400588,2022-10-17,S301K17N,ST4000DM000,4000787030016,0,114.0,73121152.0,92.0,100.0,21.0,100.0,0.0,90.0,973030328.0,30.0,61580.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8492.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61473.0,71820686960.0,694616586692.0
400589,2022-10-18,S301K17N,ST4000DM000,4000787030016,0,119.0,217084616.0,92.0,100.0,21.0,100.0,0.0,90.0,974168346.0,30.0,61604.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8492.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61496.0,71821962872.0,694833166123.0
400590,2022-10-19,S301K17N,ST4000DM000,4000787030016,0,119.0,224613248.0,92.0,100.0,21.0,100.0,0.0,90.0,976188631.0,30.0,61628.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8503.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61520.0,71822765048.0,694973298068.0
400591,2022-10-20,S301K17N,ST4000DM000,4000787030016,0,116.0,109810120.0,92.0,100.0,21.0,100.0,0.0,90.0,977584836.0,30.0,61651.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8503.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61543.0,71823974280.0,695243851579.0
400592,2022-10-21,S301K17N,ST4000DM000,4000787030016,0,113.0,51837184.0,92.0,100.0,21.0,100.0,0.0,90.0,979555312.0,30.0,61675.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8503.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61567.0,71824942760.0,695594596431.0
400593,2022-10-22,S301K17N,ST4000DM000,4000787030016,0,114.0,79761192.0,92.0,100.0,21.0,100.0,0.0,90.0,981079048.0,30.0,61698.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8503.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61591.0,71826181864.0,695920759535.0
400594,2022-10-23,S301K17N,ST4000DM000,4000787030016,0,118.0,176413136.0,92.0,100.0,21.0,100.0,0.0,90.0,981800865.0,30.0,61710.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8503.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61602.0,71827238688.0,696054530641.0
400595,2022-10-24,S301K17N,ST4000DM000,4000787030016,0,115.0,98010864.0,92.0,100.0,21.0,100.0,0.0,90.0,986511474.0,30.0,61746.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8503.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61638.0,71829000144.0,700821686469.0
400596,2022-10-25,S301K17N,ST4000DM000,4000787030016,0,117.0,152298360.0,92.0,100.0,21.0,100.0,0.0,90.0,987772960.0,30.0,61769.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8503.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61661.0,71830298504.0,701083432564.0
400597,2022-10-26,S301K17N,ST4000DM000,4000787030016,0,114.0,64467560.0,92.0,100.0,21.0,100.0,0.0,90.0,988713531.0,30.0,61781.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,96.0,8506.0,22.0,22.0,100.0,24.0,100.0,24.0,0.0,61673.0,71830790944.0,701136837349.0
400598,2022-10-27,S301K17N,ST4000DM000,4000787030016,0,115.0,95575048.0,92.0,100.0,21.0,100.0,0.0,90.0,990946000.0,30.0,61816.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8521.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61708.0,71832405400.0,701430932743.0
400599,2022-10-28,S301K17N,ST4000DM000,4000787030016,0,114.0,74979744.0,92.0,100.0,21.0,100.0,0.0,90.0,991952987.0,30.0,61840.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,96.0,8521.0,24.0,24.0,100.0,24.0,100.0,24.0,0.0,61732.0,71835307240.0,701725809791.0
400600,2022-10-29,S301K17N,ST4000DM000,4000787030016,0,119.0,206610952.0,92.0,100.0,21.0,100.0,0.0,90.0,992933283.0,30.0,61864.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8522.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61756.0,71836081744.0,701990346008.0
400601,2022-10-30,S301K17N,ST4000DM000,4000787030016,0,117.0,129112256.0,92.0,100.0,21.0,100.0,0.0,90.0,994416722.0,30.0,61887.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8542.0,23.0,23.0,100.0,24.0,100.0,24.0,0.0,61779.0,71837004384.0,702286236274.0
400602,2022-10-31,S301K17N,ST4000DM000,4000787030016,0,119.0,203848360.0,92.0,100.0,21.0,100.0,0.0,90.0,997285274.0,30.0,61911.0,100.0,21.0,95.0,5.0,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,96.0,8542.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61803.0,71838361232.0,702694768598.0
