,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
401308,2022-10-01,S301K4BF,ST4000DM000,4000787030016,0,118.0,200935848.0,92.0,100.0,44.0,100.0,8.0,88.0,789471722.0,31.0,60683.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11542.0,25.0,25.0,100.0,8.0,100.0,8.0,0.0,60591.0,69873557816.0,377642643974.0
401309,2022-10-02,S301K4BF,ST4000DM000,4000787030016,0,111.0,34303360.0,92.0,100.0,44.0,100.0,8.0,88.0,791071832.0,31.0,60707.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,95.0,11542.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60615.0,69875728040.0,377797996343.0
401310,2022-10-03,S301K4BF,ST4000DM000,4000787030016,0,113.0,54378112.0,92.0,100.0,44.0,100.0,8.0,88.0,792990461.0,31.0,60731.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,95.0,11542.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60639.0,69877543264.0,377957911751.0
401311,2022-10-04,S301K4BF,ST4000DM000,4000787030016,0,118.0,174478848.0,92.0,100.0,44.0,100.0,8.0,88.0,794609473.0,31.0,60755.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,95.0,11542.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60662.0,69879131568.0,378196229379.0
401312,2022-10-05,S301K4BF,ST4000DM000,4000787030016,0,117.0,159705896.0,92.0,100.0,44.0,100.0,8.0,88.0,796082181.0,31.0,60779.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,95.0,11542.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60686.0,69880575376.0,378440274794.0
401313,2022-10-06,S301K4BF,ST4000DM000,4000787030016,0,118.0,195616600.0,92.0,100.0,44.0,100.0,8.0,88.0,796933014.0,31.0,60802.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,95.0,11544.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60710.0,69882301032.0,378563707483.0
401314,2022-10-07,S301K4BF,ST4000DM000,4000787030016,0,115.0,91477544.0,92.0,100.0,44.0,100.0,8.0,88.0,800246227.0,31.0,60826.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,95.0,11544.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60734.0,69884096440.0,378810918261.0
401315,2022-10-08,S301K4BF,ST4000DM000,4000787030016,0,118.0,192790160.0,92.0,100.0,44.0,100.0,8.0,88.0,802131214.0,31.0,60850.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,95.0,11544.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60758.0,69885398224.0,379109671674.0
401316,2022-10-09,S301K4BF,ST4000DM000,4000787030016,0,111.0,33356064.0,92.0,100.0,44.0,100.0,8.0,88.0,803766914.0,31.0,60874.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,11545.0,29.0,29.0,100.0,8.0,100.0,8.0,0.0,60782.0,69886831752.0,379273518896.0
401317,2022-10-10,S301K4BF,ST4000DM000,4000787030016,0,112.0,47083960.0,92.0,100.0,44.0,100.0,8.0,89.0,805711807.0,31.0,60898.0,100.0,44.0,97.0,3.0,100.0,0.0,88.0,12.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,95.0,11545.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60806.0,69894793992.0,379419110889.0
