,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
402228,2022-10-01,S301K6RG,ST4000DM000,4000787030016,0,119.0,227115200.0,92.0,100.0,18.0,100.0,0.0,89.0,927150756.0,32.0,59859.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124754.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59106.0,52905044072.0,463407872204.0
402229,2022-10-02,S301K6RG,ST4000DM000,4000787030016,0,115.0,91474568.0,92.0,100.0,18.0,100.0,0.0,89.0,927973261.0,32.0,59883.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124754.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59130.0,52920114392.0,463579911140.0
402230,2022-10-03,S301K6RG,ST4000DM000,4000787030016,0,114.0,69500576.0,92.0,100.0,18.0,100.0,0.0,89.0,929086856.0,32.0,59907.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124754.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59154.0,52934040080.0,463792855087.0
402231,2022-10-04,S301K6RG,ST4000DM000,4000787030016,0,119.0,214456056.0,92.0,100.0,18.0,100.0,0.0,89.0,930764941.0,32.0,59931.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124766.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59178.0,52948104528.0,463959554230.0
402232,2022-10-05,S301K6RG,ST4000DM000,4000787030016,0,119.0,201601600.0,92.0,100.0,18.0,100.0,0.0,89.0,931703572.0,32.0,59955.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124766.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59202.0,52964216104.0,464177219349.0
402233,2022-10-06,S301K6RG,ST4000DM000,4000787030016,0,118.0,184373096.0,92.0,100.0,18.0,100.0,0.0,89.0,934047391.0,32.0,59991.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124767.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59238.0,52987242776.0,464451714551.0
402234,2022-10-07,S301K6RG,ST4000DM000,4000787030016,0,118.0,190663136.0,92.0,100.0,18.0,100.0,0.0,89.0,935328738.0,32.0,60015.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124767.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59262.0,52998020024.0,464666712818.0
402235,2022-10-08,S301K6RG,ST4000DM000,4000787030016,0,111.0,31859584.0,92.0,100.0,18.0,100.0,0.0,89.0,936117639.0,32.0,60039.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124767.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59285.0,53007980440.0,464849120044.0
402236,2022-10-09,S301K6RG,ST4000DM000,4000787030016,0,105.0,8002136.0,92.0,100.0,18.0,100.0,0.0,89.0,936985017.0,32.0,60063.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124767.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59309.0,53022729104.0,465016470976.0
402237,2022-10-10,S301K6RG,ST4000DM000,4000787030016,0,118.0,193654848.0,92.0,100.0,18.0,100.0,0.0,89.0,939110159.0,32.0,60087.0,100.0,17.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,38.0,124767.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59333.0,53035634944.0,465259402224.0
