,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
402872,2022-10-01,S301K6TW,ST4000DM000,4000787030016,0,119.0,221278504.0,92.0,100.0,27.0,100.0,0.0,89.0,866385334.0,31.0,60691.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60616.0,68263651976.0,958607106042.0
402873,2022-10-02,S301K6TW,ST4000DM000,4000787030016,0,112.0,48621488.0,92.0,100.0,27.0,100.0,0.0,89.0,867351452.0,31.0,60714.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60639.0,68265270824.0,958769127474.0
402874,2022-10-03,S301K6TW,ST4000DM000,4000787030016,0,118.0,186369400.0,92.0,100.0,27.0,100.0,0.0,89.0,868655238.0,31.0,60738.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60663.0,68266954488.0,959058936588.0
402875,2022-10-04,S301K6TW,ST4000DM000,4000787030016,0,117.0,158538416.0,92.0,100.0,27.0,100.0,0.0,89.0,870351553.0,31.0,60762.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60687.0,68268876272.0,959348302144.0
402876,2022-10-05,S301K6TW,ST4000DM000,4000787030016,0,111.0,34619768.0,92.0,100.0,27.0,100.0,0.0,89.0,873116604.0,31.0,60786.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60711.0,68272546008.0,959613956786.0
402877,2022-10-06,S301K6TW,ST4000DM000,4000787030016,0,114.0,75658912.0,92.0,100.0,27.0,100.0,0.0,89.0,874188430.0,31.0,60798.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60723.0,68273462520.0,959740381777.0
402878,2022-10-07,S301K6TW,ST4000DM000,4000787030016,0,119.0,217259440.0,92.0,100.0,27.0,100.0,0.0,89.0,875657289.0,31.0,60821.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60746.0,68275020128.0,959975359999.0
402879,2022-10-08,S301K6TW,ST4000DM000,4000787030016,0,114.0,79683088.0,92.0,100.0,27.0,100.0,0.0,89.0,878337721.0,31.0,60845.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60770.0,68276557112.0,960138138327.0
402880,2022-10-09,S301K6TW,ST4000DM000,4000787030016,0,114.0,76415096.0,92.0,100.0,27.0,100.0,0.0,89.0,879974477.0,31.0,60869.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60794.0,68277974560.0,960374652014.0
402881,2022-10-10,S301K6TW,ST4000DM000,4000787030016,0,117.0,155656456.0,92.0,100.0,27.0,100.0,0.0,89.0,881423271.0,31.0,60893.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60818.0,68280732632.0,960622293234.0
402882,2022-10-11,S301K6TW,ST4000DM000,4000787030016,0,114.0,82941760.0,92.0,100.0,27.0,100.0,0.0,89.0,882433959.0,31.0,60917.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60842.0,68282237128.0,960874002862.0
402883,2022-10-12,S301K6TW,ST4000DM000,4000787030016,0,117.0,167623656.0,92.0,100.0,27.0,100.0,0.0,89.0,884185131.0,31.0,60953.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60877.0,68284756656.0,961234967133.0
402884,2022-10-13,S301K6TW,ST4000DM000,4000787030016,0,117.0,127288552.0,92.0,100.0,27.0,100.0,0.0,89.0,885230140.0,31.0,60976.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60901.0,68286509864.0,961499977415.0
402885,2022-10-14,S301K6TW,ST4000DM000,4000787030016,0,117.0,156309640.0,92.0,100.0,27.0,100.0,0.0,89.0,886503236.0,31.0,61000.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,95.0,10564.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,60925.0,68287787920.0,961847714486.0
402886,2022-10-15,S301K6TW,ST4000DM000,4000787030016,0,111.0,39021424.0,92.0,100.0,27.0,100.0,0.0,89.0,888981832.0,31.0,61024.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60949.0,68291202408.0,962100544384.0
402887,2022-10-16,S301K6TW,ST4000DM000,4000787030016,0,111.0,39201664.0,92.0,100.0,27.0,100.0,0.0,89.0,890865226.0,31.0,61048.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60973.0,68294584280.0,962395851308.0
402888,2022-10-17,S301K6TW,ST4000DM000,4000787030016,0,119.0,201918216.0,92.0,100.0,27.0,100.0,0.0,89.0,892396799.0,31.0,61072.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,60997.0,68296886248.0,962626959965.0
402889,2022-10-18,S301K6TW,ST4000DM000,4000787030016,0,107.0,14298464.0,92.0,100.0,27.0,100.0,0.0,89.0,894082603.0,31.0,61096.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61021.0,68298924696.0,962875704565.0
402890,2022-10-19,S301K6TW,ST4000DM000,4000787030016,0,117.0,164622608.0,92.0,100.0,27.0,100.0,0.0,89.0,895679501.0,31.0,61120.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61044.0,68300348264.0,963047369069.0
402891,2022-10-20,S301K6TW,ST4000DM000,4000787030016,0,114.0,65508608.0,92.0,100.0,27.0,100.0,0.0,89.0,896850865.0,31.0,61143.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,95.0,10564.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61068.0,68302023560.0,963198896182.0
402892,2022-10-21,S301K6TW,ST4000DM000,4000787030016,0,117.0,118741816.0,92.0,100.0,27.0,100.0,0.0,89.0,898218607.0,31.0,61167.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61092.0,68303410688.0,963347252858.0
402893,2022-10-22,S301K6TW,ST4000DM000,4000787030016,0,118.0,195869352.0,92.0,100.0,27.0,100.0,0.0,89.0,900727961.0,31.0,61191.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,95.0,10564.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61116.0,68304727720.0,967776912601.0
402894,2022-10-23,S301K6TW,ST4000DM000,4000787030016,0,119.0,207121760.0,92.0,100.0,27.0,100.0,0.0,89.0,901619788.0,31.0,61215.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61140.0,68306060576.0,967893016247.0
402895,2022-10-24,S301K6TW,ST4000DM000,4000787030016,0,119.0,220484896.0,92.0,100.0,27.0,100.0,0.0,89.0,903676985.0,31.0,61239.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,95.0,10564.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61164.0,68307369864.0,968144724056.0
402896,2022-10-25,S301K6TW,ST4000DM000,4000787030016,0,112.0,45504624.0,92.0,100.0,27.0,100.0,0.0,89.0,904831126.0,31.0,61263.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,95.0,10564.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61187.0,68308696016.0,968343578474.0
402897,2022-10-26,S301K6TW,ST4000DM000,4000787030016,0,111.0,32873400.0,92.0,100.0,27.0,100.0,0.0,89.0,907501752.0,31.0,61286.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61211.0,68328293640.0,968583244560.0
402898,2022-10-27,S301K6TW,ST4000DM000,4000787030016,0,119.0,223478912.0,92.0,100.0,27.0,100.0,0.0,89.0,909532471.0,31.0,61310.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61235.0,68329593784.0,968823470412.0
402899,2022-10-28,S301K6TW,ST4000DM000,4000787030016,0,116.0,104992232.0,92.0,100.0,27.0,100.0,0.0,89.0,910947675.0,30.0,61334.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61259.0,68332871576.0,969025545504.0
402900,2022-10-29,S301K6TW,ST4000DM000,4000787030016,0,119.0,211314072.0,92.0,100.0,27.0,100.0,0.0,89.0,913600525.0,30.0,61358.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,95.0,10564.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61283.0,68333730224.0,969233256095.0
402901,2022-10-30,S301K6TW,ST4000DM000,4000787030016,0,118.0,173138640.0,92.0,100.0,27.0,100.0,0.0,89.0,914706366.0,30.0,61382.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61307.0,68334673648.0,969397118948.0
402902,2022-10-31,S301K6TW,ST4000DM000,4000787030016,0,117.0,164512624.0,92.0,100.0,27.0,100.0,0.0,89.0,916050651.0,30.0,61405.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61330.0,68335839344.0,969714828355.0
402903,2022-11-01,S301K6TW,ST4000DM000,4000787030016,0,118.0,174454816.0,92.0,100.0,27.0,100.0,0.0,89.0,918005160.0,30.0,61429.0,100.0,27.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,95.0,10564.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61354.0,68336936552.0,970012713460.0
