,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
404436,2022-10-01,S301KE0M,ST4000DM000,4000787030016,0,114.0,59988544.0,91.0,100.0,11.0,100.0,0.0,88.0,801235903.0,31.0,60691.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,95.0,11144.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60597.0,69255321960.0,420771298472.0
404437,2022-10-02,S301KE0M,ST4000DM000,4000787030016,0,115.0,88557064.0,91.0,100.0,11.0,100.0,0.0,88.0,802640313.0,31.0,60715.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,95.0,11144.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60621.0,69257182096.0,421014786176.0
404438,2022-10-03,S301KE0M,ST4000DM000,4000787030016,0,117.0,139446072.0,91.0,100.0,11.0,100.0,0.0,88.0,804762222.0,31.0,60739.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,95.0,11144.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60645.0,69258789176.0,421285111990.0
404439,2022-10-04,S301KE0M,ST4000DM000,4000787030016,0,114.0,65047384.0,91.0,100.0,11.0,100.0,0.0,89.0,807196669.0,31.0,60763.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,95.0,11144.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60669.0,69260436864.0,421580879147.0
404440,2022-10-05,S301KE0M,ST4000DM000,4000787030016,0,119.0,222408808.0,91.0,100.0,11.0,100.0,0.0,89.0,808659514.0,31.0,60786.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,95.0,11144.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60692.0,69261785072.0,421884900052.0
404441,2022-10-06,S301KE0M,ST4000DM000,4000787030016,0,117.0,119450088.0,91.0,100.0,11.0,100.0,0.0,89.0,810487150.0,31.0,60810.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,95.0,11144.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60716.0,69263122256.0,422051683265.0
404442,2022-10-07,S301KE0M,ST4000DM000,4000787030016,0,116.0,116267456.0,91.0,100.0,11.0,100.0,0.0,89.0,811602865.0,31.0,60834.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,95.0,11144.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60740.0,69264430896.0,422251344156.0
404443,2022-10-08,S301KE0M,ST4000DM000,4000787030016,0,119.0,201603944.0,91.0,100.0,11.0,100.0,0.0,89.0,813297809.0,31.0,60857.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,95.0,11144.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60764.0,69265689800.0,422481438280.0
404444,2022-10-09,S301KE0M,ST4000DM000,4000787030016,0,113.0,52384008.0,91.0,100.0,11.0,100.0,0.0,89.0,814283512.0,31.0,60881.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,95.0,11144.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,60787.0,69267146256.0,422702805004.0
404445,2022-10-10,S301KE0M,ST4000DM000,4000787030016,0,115.0,95794904.0,91.0,100.0,11.0,100.0,0.0,89.0,815753682.0,31.0,60905.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,95.0,11144.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,60811.0,69268754808.0,422954491597.0
