,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
404528,2022-10-01,S301KE5C,ST4000DM000,4000787030016,0,117.0,124058984.0,91.0,100.0,28.0,100.0,0.0,88.0,770886441.0,31.0,61176.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11630.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61051.0,69949467040.0,398999566472.0
404529,2022-10-02,S301KE5C,ST4000DM000,4000787030016,0,117.0,148970416.0,91.0,100.0,28.0,100.0,0.0,88.0,773410769.0,31.0,61200.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11630.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61075.0,69961000424.0,399224784877.0
404530,2022-10-03,S301KE5C,ST4000DM000,4000787030016,0,119.0,204630304.0,91.0,100.0,28.0,100.0,0.0,88.0,774613322.0,31.0,61224.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11630.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61099.0,69962226728.0,399444809273.0
404531,2022-10-04,S301KE5C,ST4000DM000,4000787030016,0,116.0,116507920.0,91.0,100.0,28.0,100.0,0.0,88.0,777215805.0,31.0,61248.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11630.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61123.0,69963472416.0,399681661214.0
404532,2022-10-05,S301KE5C,ST4000DM000,4000787030016,0,117.0,131542240.0,91.0,100.0,28.0,100.0,0.0,88.0,778933821.0,31.0,61272.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11630.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61147.0,69965339040.0,399896856126.0
404533,2022-10-06,S301KE5C,ST4000DM000,4000787030016,0,117.0,133172200.0,91.0,100.0,28.0,100.0,0.0,88.0,781168020.0,31.0,61296.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11630.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61171.0,69976774472.0,400129624158.0
404534,2022-10-07,S301KE5C,ST4000DM000,4000787030016,0,117.0,138649440.0,91.0,100.0,28.0,100.0,0.0,88.0,782547028.0,30.0,61320.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11632.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61195.0,69977742704.0,400301627018.0
404535,2022-10-08,S301KE5C,ST4000DM000,4000787030016,0,117.0,156900056.0,91.0,100.0,28.0,100.0,0.0,88.0,784452979.0,30.0,61344.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11632.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61219.0,69978924936.0,400647230742.0
404536,2022-10-09,S301KE5C,ST4000DM000,4000787030016,0,119.0,204539352.0,91.0,100.0,28.0,100.0,0.0,88.0,786109789.0,30.0,61368.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11632.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61243.0,69996518296.0,401024616144.0
404537,2022-10-10,S301KE5C,ST4000DM000,4000787030016,0,116.0,107146056.0,91.0,100.0,28.0,100.0,0.0,88.0,787614508.0,30.0,61392.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,95.0,11632.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61266.0,69997773248.0,401298613721.0
