,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
411520,2022-10-01,S301LB50,ST4000DM000,4000787030016,0,114.0,58762520.0,91.0,100.0,17.0,100.0,0.0,85.0,384824021.0,32.0,60218.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60168.0,65746435832.0,500107624563.0
411521,2022-10-02,S301LB50,ST4000DM000,4000787030016,0,118.0,197357432.0,91.0,100.0,17.0,100.0,0.0,85.0,386568862.0,32.0,60242.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60192.0,65758256360.0,500269877956.0
411522,2022-10-03,S301LB50,ST4000DM000,4000787030016,0,117.0,130305216.0,91.0,100.0,17.0,100.0,0.0,85.0,387612282.0,32.0,60266.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60215.0,65773727616.0,500517083399.0
411523,2022-10-04,S301LB50,ST4000DM000,4000787030016,0,116.0,106359472.0,91.0,100.0,17.0,100.0,0.0,85.0,388555398.0,32.0,60290.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60239.0,65794132192.0,500701864372.0
411524,2022-10-05,S301LB50,ST4000DM000,4000787030016,0,117.0,133499376.0,91.0,100.0,17.0,100.0,0.0,85.0,390821583.0,32.0,60313.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60263.0,65808959728.0,500908378158.0
411525,2022-10-06,S301LB50,ST4000DM000,4000787030016,0,116.0,101589336.0,91.0,100.0,17.0,100.0,0.0,85.0,392460123.0,32.0,60337.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60287.0,65823791800.0,501054636600.0
411526,2022-10-07,S301LB50,ST4000DM000,4000787030016,0,116.0,106560944.0,91.0,100.0,17.0,100.0,0.0,85.0,393215330.0,32.0,60361.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60310.0,65833337320.0,501204582706.0
411527,2022-10-08,S301LB50,ST4000DM000,4000787030016,0,117.0,139062392.0,91.0,100.0,17.0,100.0,0.0,85.0,394006334.0,32.0,60384.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60334.0,65840793128.0,501356125451.0
411528,2022-10-09,S301LB50,ST4000DM000,4000787030016,0,119.0,232323536.0,91.0,100.0,17.0,100.0,0.0,85.0,395649951.0,32.0,60408.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,1.0,97.0,6570.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60357.0,65855584112.0,501475892411.0
411529,2022-10-10,S301LB50,ST4000DM000,4000787030016,0,117.0,125332312.0,91.0,100.0,17.0,100.0,0.0,85.0,396507578.0,32.0,60432.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60381.0,65864808856.0,501665990536.0
411530,2022-10-11,S301LB50,ST4000DM000,4000787030016,0,119.0,214866880.0,91.0,100.0,17.0,100.0,0.0,85.0,397430788.0,31.0,60455.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60405.0,65874815112.0,501856056521.0
411531,2022-10-12,S301LB50,ST4000DM000,4000787030016,0,117.0,133954192.0,91.0,100.0,17.0,100.0,0.0,85.0,398265637.0,31.0,60479.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,97.0,6570.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60429.0,65886361800.0,502024998353.0
411532,2022-10-13,S301LB50,ST4000DM000,4000787030016,0,112.0,45332320.0,91.0,100.0,17.0,100.0,0.0,85.0,399754790.0,31.0,60503.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60452.0,65897276992.0,502253453627.0
411533,2022-10-14,S301LB50,ST4000DM000,4000787030016,0,119.0,209108848.0,91.0,100.0,17.0,100.0,0.0,85.0,401156109.0,31.0,60527.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,97.0,6570.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60476.0,65907203672.0,502435531605.0
411534,2022-10-15,S301LB50,ST4000DM000,4000787030016,0,114.0,66481760.0,91.0,100.0,17.0,100.0,0.0,85.0,402101657.0,31.0,60550.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60500.0,65917552352.0,502661648559.0
411535,2022-10-16,S301LB50,ST4000DM000,4000787030016,0,114.0,64387760.0,91.0,100.0,17.0,100.0,0.0,86.0,403763071.0,31.0,60574.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60524.0,65929149352.0,502780817571.0
411536,2022-10-17,S301LB50,ST4000DM000,4000787030016,0,118.0,176179208.0,91.0,100.0,17.0,100.0,0.0,86.0,404730233.0,31.0,60598.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60547.0,65939747992.0,502989981905.0
411537,2022-10-18,S301LB50,ST4000DM000,4000787030016,0,118.0,176459064.0,91.0,100.0,17.0,100.0,0.0,86.0,405648450.0,31.0,60622.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60571.0,65950411192.0,503192631233.0
411538,2022-10-19,S301LB50,ST4000DM000,4000787030016,0,120.0,479592.0,91.0,100.0,17.0,100.0,0.0,86.0,406513370.0,31.0,60645.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60595.0,65959129344.0,503367755824.0
411539,2022-10-20,S301LB50,ST4000DM000,4000787030016,0,118.0,175443112.0,91.0,100.0,17.0,100.0,0.0,86.0,407888870.0,31.0,60669.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,97.0,6570.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60619.0,65967226584.0,503553349596.0
