,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
416620,2022-10-01,S301M88K,ST4000DM000,4000787030016,0,112.0,44181032.0,91.0,100.0,29.0,100.0,0.0,88.0,716220651.0,32.0,59838.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,42.0,117944.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59219.0,54503416888.0,449978557729.0
416621,2022-10-02,S301M88K,ST4000DM000,4000787030016,0,116.0,109354976.0,91.0,100.0,29.0,100.0,0.0,88.0,717413950.0,32.0,59862.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,42.0,117944.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59242.0,54516568784.0,450236062921.0
416622,2022-10-03,S301M88K,ST4000DM000,4000787030016,0,110.0,27438832.0,91.0,100.0,29.0,100.0,0.0,88.0,718397880.0,32.0,59885.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,42.0,117944.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59266.0,54526709560.0,450454226243.0
416623,2022-10-04,S301M88K,ST4000DM000,4000787030016,0,114.0,59374416.0,91.0,100.0,29.0,100.0,0.0,88.0,719476499.0,32.0,59909.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,42.0,117951.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59290.0,54541361448.0,450780427321.0
416624,2022-10-05,S301M88K,ST4000DM000,4000787030016,0,110.0,28790784.0,91.0,100.0,29.0,100.0,0.0,88.0,722239955.0,32.0,59933.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,42.0,117951.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59313.0,54557249072.0,455428286545.0
416625,2022-10-06,S301M88K,ST4000DM000,4000787030016,0,117.0,126243960.0,91.0,100.0,29.0,100.0,0.0,88.0,723464844.0,32.0,59957.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,42.0,117951.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59337.0,54572056352.0,459964010484.0
416626,2022-10-07,S301M88K,ST4000DM000,4000787030016,0,119.0,224331416.0,91.0,100.0,29.0,100.0,0.0,88.0,724511911.0,32.0,59980.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,42.0,117951.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59361.0,54580194952.0,460151614501.0
416627,2022-10-08,S301M88K,ST4000DM000,4000787030016,0,119.0,212997088.0,91.0,100.0,29.0,100.0,0.0,88.0,726297857.0,32.0,60004.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,42.0,117951.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59384.0,54594215816.0,464661190113.0
416628,2022-10-09,S301M88K,ST4000DM000,4000787030016,0,115.0,97786088.0,91.0,100.0,29.0,100.0,0.0,88.0,727251768.0,32.0,60027.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,42.0,117951.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,59408.0,54612823296.0,464966472231.0
416629,2022-10-10,S301M88K,ST4000DM000,4000787030016,0,117.0,135681120.0,91.0,100.0,29.0,100.0,0.0,88.0,728425705.0,32.0,60051.0,100.0,29.0,99.0,1.0,100.0,0.0,1.0,106.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,42.0,117951.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59431.0,54627216656.0,465214428906.0
