,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
420564,2022-10-01,S301NB23,ST4000DM000,4000787030016,0,114.0,62887032.0,91.0,100.0,15.0,100.0,0.0,88.0,725220356.0,32.0,59867.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,44.0,112148.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59169.0,53358543672.0,418337124770.0
420565,2022-10-02,S301NB23,ST4000DM000,4000787030016,0,114.0,79515240.0,91.0,100.0,15.0,100.0,0.0,88.0,726601651.0,32.0,59891.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,44.0,112148.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59193.0,53374195000.0,418668480038.0
420566,2022-10-03,S301NB23,ST4000DM000,4000787030016,0,117.0,154640336.0,91.0,100.0,15.0,100.0,0.0,88.0,728996804.0,32.0,59915.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,112148.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59216.0,53387398160.0,418933554498.0
420567,2022-10-04,S301NB23,ST4000DM000,4000787030016,0,117.0,162514048.0,91.0,100.0,15.0,100.0,0.0,88.0,730309694.0,32.0,59928.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,112161.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59229.0,53393786672.0,419062817881.0
420568,2022-10-05,S301NB23,ST4000DM000,4000787030016,0,114.0,76879248.0,91.0,100.0,15.0,100.0,0.0,88.0,732416577.0,32.0,59952.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,112161.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59253.0,53411547824.0,419239477547.0
420569,2022-10-06,S301NB23,ST4000DM000,4000787030016,0,120.0,241382080.0,91.0,100.0,15.0,100.0,0.0,88.0,734330968.0,32.0,59988.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,44.0,112162.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,59289.0,53433197576.0,419610094909.0
420570,2022-10-07,S301NB23,ST4000DM000,4000787030016,0,108.0,17977688.0,91.0,100.0,15.0,100.0,0.0,88.0,735509470.0,32.0,60012.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,112162.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59312.0,53443448048.0,419882819692.0
420571,2022-10-08,S301NB23,ST4000DM000,4000787030016,0,117.0,149535728.0,91.0,100.0,15.0,100.0,0.0,88.0,737755581.0,32.0,60035.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,112162.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59336.0,53453953848.0,420140940290.0
420572,2022-10-09,S301NB23,ST4000DM000,4000787030016,0,117.0,124795176.0,91.0,100.0,15.0,100.0,0.0,88.0,738887414.0,32.0,60059.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,112162.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59360.0,53472504104.0,420471103323.0
420573,2022-10-10,S301NB23,ST4000DM000,4000787030016,0,113.0,52323672.0,91.0,100.0,15.0,100.0,0.0,88.0,740444634.0,32.0,60083.0,100.0,14.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,112162.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,59384.0,53482978136.0,420713493285.0
