,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
429764,2022-10-01,S301NHK7,ST4000DM000,4000787030016,0,118.0,185858648.0,91.0,100.0,20.0,100.0,0.0,78.0,74364160.0,31.0,60672.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11851.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60589.0,67841338632.0,426379143309.0
429765,2022-10-02,S301NHK7,ST4000DM000,4000787030016,0,119.0,205795992.0,91.0,100.0,20.0,100.0,0.0,78.0,76652301.0,31.0,60696.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11851.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60613.0,67843570256.0,426585719202.0
429766,2022-10-03,S301NHK7,ST4000DM000,4000787030016,0,115.0,88469008.0,91.0,100.0,20.0,100.0,0.0,78.0,78474372.0,31.0,60720.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11851.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60637.0,67846813248.0,426932531703.0
429767,2022-10-04,S301NHK7,ST4000DM000,4000787030016,0,118.0,170681128.0,91.0,100.0,20.0,100.0,0.0,78.0,80751116.0,31.0,60743.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11851.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60661.0,67848362440.0,427076787736.0
429768,2022-10-05,S301NHK7,ST4000DM000,4000787030016,0,110.0,28150088.0,91.0,100.0,20.0,100.0,0.0,78.0,82409350.0,31.0,60767.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11851.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60685.0,67849816344.0,427390001110.0
429769,2022-10-06,S301NHK7,ST4000DM000,4000787030016,0,118.0,168713984.0,91.0,100.0,20.0,100.0,0.0,78.0,83498055.0,31.0,60791.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11852.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60708.0,67851123400.0,427621736654.0
429770,2022-10-07,S301NHK7,ST4000DM000,4000787030016,0,114.0,77332560.0,91.0,100.0,20.0,100.0,0.0,79.0,84893107.0,31.0,60815.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11852.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60732.0,67852395576.0,427892642722.0
429771,2022-10-08,S301NHK7,ST4000DM000,4000787030016,0,115.0,94570880.0,91.0,100.0,20.0,100.0,0.0,79.0,86127579.0,31.0,60838.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11852.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60756.0,67853520416.0,428091938762.0
429772,2022-10-09,S301NHK7,ST4000DM000,4000787030016,0,117.0,147156640.0,91.0,100.0,20.0,100.0,0.0,79.0,88794482.0,31.0,60862.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,95.0,11852.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60780.0,67855640056.0,428303108848.0
429773,2022-10-10,S301NHK7,ST4000DM000,4000787030016,0,118.0,168998744.0,91.0,100.0,20.0,100.0,0.0,79.0,90227709.0,31.0,60886.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,95.0,11852.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60803.0,67857021248.0,428590504091.0
429774,2022-10-11,S301NHK7,ST4000DM000,4000787030016,0,111.0,32554792.0,91.0,100.0,20.0,100.0,0.0,79.0,92704702.0,31.0,60910.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,95.0,11852.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60827.0,67858319568.0,428755007411.0
429775,2022-10-12,S301NHK7,ST4000DM000,4000787030016,0,117.0,135585608.0,91.0,100.0,20.0,100.0,0.0,79.0,94131461.0,31.0,60934.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11854.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60851.0,67859661136.0,428987262972.0
429776,2022-10-13,S301NHK7,ST4000DM000,4000787030016,0,118.0,186611424.0,91.0,100.0,20.0,100.0,0.0,79.0,95671271.0,31.0,60958.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11854.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60875.0,67861158984.0,429229751566.0
429777,2022-10-14,S301NHK7,ST4000DM000,4000787030016,0,119.0,225568584.0,91.0,100.0,20.0,100.0,0.0,79.0,97524486.0,31.0,60981.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11856.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60899.0,67862447128.0,429470751601.0
429778,2022-10-15,S301NHK7,ST4000DM000,4000787030016,0,119.0,228009712.0,91.0,100.0,20.0,100.0,0.0,79.0,98549002.0,31.0,61005.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11857.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60922.0,67863700488.0,429707434921.0
429779,2022-10-16,S301NHK7,ST4000DM000,4000787030016,0,115.0,95227440.0,91.0,100.0,20.0,100.0,0.0,80.0,101136831.0,31.0,61029.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,95.0,11857.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60946.0,67865108264.0,429984976304.0
429780,2022-10-17,S301NHK7,ST4000DM000,4000787030016,0,115.0,100416832.0,91.0,100.0,20.0,100.0,0.0,80.0,102171328.0,31.0,61053.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,95.0,11857.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60970.0,67866193280.0,430252442320.0
429781,2022-10-18,S301NHK7,ST4000DM000,4000787030016,0,112.0,50317696.0,91.0,100.0,20.0,100.0,0.0,80.0,104467924.0,31.0,61076.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,95.0,11857.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60994.0,67867460288.0,430430106955.0
429782,2022-10-19,S301NHK7,ST4000DM000,4000787030016,0,117.0,157827720.0,91.0,100.0,20.0,100.0,0.0,80.0,105469295.0,31.0,61100.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11869.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,61017.0,67868677600.0,430761375682.0
429783,2022-10-20,S301NHK7,ST4000DM000,4000787030016,0,117.0,137600640.0,91.0,100.0,20.0,100.0,0.0,80.0,107088696.0,31.0,61124.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,95.0,11871.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,61041.0,67869781176.0,431127654595.0
429784,2022-10-21,S301NHK7,ST4000DM000,4000787030016,0,109.0,22535560.0,91.0,100.0,20.0,100.0,0.0,80.0,108876415.0,31.0,61148.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,95.0,11871.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61065.0,67871107632.0,431413158509.0
