,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
431144,2022-10-01,S301NJE9,ST4000DM000,4000787030016,0,110.0,27259832.0,92.0,100.0,31.0,100.0,0.0,87.0,639477359.0,31.0,61228.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,96.0,9704.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61110.0,69311609688.0,475544754418.0
431145,2022-10-02,S301NJE9,ST4000DM000,4000787030016,0,120.0,241243672.0,92.0,100.0,31.0,100.0,0.0,87.0,641140555.0,31.0,61251.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,96.0,9704.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61133.0,69325369408.0,475716825730.0
431146,2022-10-03,S301NJE9,ST4000DM000,4000787030016,0,117.0,160529152.0,92.0,100.0,31.0,100.0,0.0,87.0,642370150.0,31.0,61275.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,96.0,9704.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61157.0,69341219888.0,475907289903.0
431147,2022-10-04,S301NJE9,ST4000DM000,4000787030016,0,118.0,198813584.0,92.0,100.0,31.0,100.0,0.0,87.0,643824400.0,31.0,61299.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,96.0,9708.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61181.0,69359297144.0,476132402132.0
431148,2022-10-05,S301NJE9,ST4000DM000,4000787030016,0,109.0,140351704.0,92.0,100.0,31.0,100.0,0.0,87.0,644801599.0,30.0,61323.0,100.0,31.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,96.0,9708.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61205.0,69375559008.0,476304049077.0
431149,2022-10-06,S301NJE9,ST4000DM000,4000787030016,0,119.0,221373904.0,92.0,100.0,31.0,100.0,0.0,87.0,645840689.0,30.0,61346.0,100.0,31.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,96.0,9709.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61228.0,69385999440.0,476525782669.0
431150,2022-10-07,S301NJE9,ST4000DM000,4000787030016,0,116.0,112619408.0,92.0,100.0,32.0,100.0,0.0,87.0,648003168.0,30.0,61369.0,100.0,32.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,96.0,9715.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61251.0,69397998928.0,476763899531.0
431151,2022-10-08,S301NJE9,ST4000DM000,4000787030016,0,105.0,8704328.0,92.0,100.0,32.0,100.0,0.0,87.0,648871698.0,30.0,61393.0,100.0,32.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,96.0,9716.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61275.0,69408490584.0,476947768116.0
431152,2022-10-09,S301NJE9,ST4000DM000,4000787030016,0,118.0,199549936.0,92.0,100.0,32.0,100.0,0.0,87.0,650360335.0,30.0,61417.0,100.0,32.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,96.0,9716.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61299.0,69430288272.0,477077038975.0
431153,2022-10-10,S301NJE9,ST4000DM000,4000787030016,0,117.0,146297928.0,92.0,100.0,32.0,100.0,0.0,87.0,651693877.0,30.0,61441.0,100.0,32.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,96.0,9716.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61322.0,69440955752.0,477241211423.0
