,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
431456,2022-10-01,S301NJGV,ST4000DM000,4000787030016,0,117.0,120395496.0,91.0,100.0,31.0,100.0,0.0,87.0,634573151.0,31.0,61221.0,100.0,31.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11611.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,60892.0,68841107400.0,459968899969.0
431457,2022-10-02,S301NJGV,ST4000DM000,4000787030016,0,119.0,203124184.0,91.0,100.0,31.0,100.0,0.0,87.0,635614524.0,31.0,61244.0,100.0,31.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,95.0,11611.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,60916.0,68855455512.0,460162033816.0
431458,2022-10-03,S301NJGV,ST4000DM000,4000787030016,0,111.0,36237472.0,91.0,100.0,31.0,100.0,0.0,87.0,637637501.0,31.0,61268.0,100.0,31.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11611.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,60939.0,68870704096.0,460246904470.0
431459,2022-10-04,S301NJGV,ST4000DM000,4000787030016,0,106.0,11638880.0,91.0,100.0,31.0,100.0,0.0,87.0,638632388.0,31.0,61292.0,100.0,31.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11611.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,60963.0,68884421104.0,460402211152.0
431460,2022-10-05,S301NJGV,ST4000DM000,4000787030016,0,116.0,103260048.0,91.0,100.0,31.0,100.0,0.0,87.0,639700116.0,31.0,61316.0,100.0,31.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11616.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,60987.0,68900163984.0,460599675284.0
431461,2022-10-06,S301NJGV,ST4000DM000,4000787030016,0,115.0,96671520.0,91.0,100.0,31.0,100.0,0.0,87.0,640541677.0,30.0,61339.0,100.0,31.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11617.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61010.0,68909631432.0,460768194407.0
431462,2022-10-07,S301NJGV,ST4000DM000,4000787030016,0,119.0,225142112.0,91.0,100.0,32.0,100.0,0.0,87.0,642116877.0,30.0,61362.0,100.0,32.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11623.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61033.0,68920741144.0,460984124127.0
431463,2022-10-08,S301NJGV,ST4000DM000,4000787030016,0,112.0,46963304.0,91.0,100.0,32.0,100.0,0.0,87.0,642987113.0,30.0,61386.0,100.0,32.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11623.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61057.0,68932886064.0,461174521736.0
431464,2022-10-09,S301NJGV,ST4000DM000,4000787030016,0,118.0,191677976.0,91.0,100.0,32.0,100.0,0.0,87.0,645173676.0,30.0,61422.0,100.0,32.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11623.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61093.0,68950809856.0,461476581284.0
431465,2022-10-10,S301NJGV,ST4000DM000,4000787030016,0,114.0,79652208.0,91.0,100.0,32.0,100.0,0.0,87.0,647176198.0,30.0,61446.0,100.0,32.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,95.0,11623.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61117.0,68960807400.0,461677509721.0
431466,2022-10-11,S301NJGV,ST4000DM000,4000787030016,0,118.0,178449712.0,91.0,100.0,32.0,100.0,0.0,87.0,648329880.0,30.0,61469.0,100.0,32.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,95.0,11623.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61140.0,68972257568.0,461897230559.0
431467,2022-10-12,S301NJGV,ST4000DM000,4000787030016,0,119.0,214730136.0,91.0,100.0,32.0,100.0,0.0,87.0,648842118.0,30.0,61481.0,100.0,32.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,95.0,11624.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61152.0,68976625632.0,462004258193.0
431468,2022-10-13,S301NJGV,ST4000DM000,4000787030016,0,117.0,167626656.0,91.0,100.0,32.0,100.0,0.0,87.0,649941626.0,30.0,61505.0,100.0,32.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11624.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61176.0,68989813480.0,462207400802.0
431469,2022-10-14,S301NJGV,ST4000DM000,4000787030016,0,116.0,108388112.0,91.0,100.0,32.0,100.0,0.0,87.0,651639302.0,30.0,61529.0,100.0,32.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11624.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,61199.0,69004453080.0,462412774067.0
431470,2022-10-15,S301NJGV,ST4000DM000,4000787030016,0,118.0,198054632.0,91.0,100.0,32.0,100.0,0.0,87.0,653409170.0,30.0,61552.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,95.0,11624.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,61223.0,69015799632.0,462618850935.0
431471,2022-10-16,S301NJGV,ST4000DM000,4000787030016,0,119.0,216423616.0,91.0,100.0,32.0,100.0,0.0,87.0,654628497.0,30.0,61576.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11624.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61247.0,69028190760.0,462867904173.0
431472,2022-10-17,S301NJGV,ST4000DM000,4000787030016,0,118.0,182982760.0,91.0,100.0,32.0,100.0,0.0,87.0,656393265.0,30.0,61600.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11624.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61270.0,69037838968.0,462997097386.0
431473,2022-10-18,S301NJGV,ST4000DM000,4000787030016,0,114.0,79265144.0,91.0,100.0,32.0,100.0,0.0,87.0,657652348.0,30.0,61623.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11624.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61294.0,69046337392.0,463365350251.0
431474,2022-10-19,S301NJGV,ST4000DM000,4000787030016,0,119.0,224818192.0,91.0,100.0,32.0,100.0,0.0,87.0,660421263.0,30.0,61647.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11624.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61318.0,69057490680.0,463674520874.0
431475,2022-10-20,S301NJGV,ST4000DM000,4000787030016,0,119.0,205171712.0,91.0,100.0,32.0,100.0,0.0,87.0,662651029.0,30.0,61670.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11625.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61341.0,69068669432.0,463942751936.0
431476,2022-10-21,S301NJGV,ST4000DM000,4000787030016,0,115.0,93424560.0,91.0,100.0,32.0,100.0,0.0,87.0,664988299.0,30.0,61694.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11625.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61365.0,69078717264.0,464226156577.0
431477,2022-10-22,S301NJGV,ST4000DM000,4000787030016,0,118.0,171598352.0,91.0,100.0,32.0,100.0,0.0,87.0,667349145.0,30.0,61717.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11625.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61388.0,69087150352.0,464468984158.0
431478,2022-10-23,S301NJGV,ST4000DM000,4000787030016,0,115.0,89072896.0,91.0,100.0,32.0,100.0,0.0,87.0,669949020.0,30.0,61741.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11625.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61412.0,69095979040.0,464759810567.0
431479,2022-10-24,S301NJGV,ST4000DM000,4000787030016,0,111.0,36271128.0,91.0,100.0,32.0,100.0,0.0,88.0,672571355.0,30.0,61776.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11625.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61447.0,69107880800.0,464940447573.0
431480,2022-10-25,S301NJGV,ST4000DM000,4000787030016,0,115.0,97285760.0,91.0,100.0,32.0,100.0,0.0,88.0,674555676.0,30.0,61800.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,95.0,11625.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,61471.0,69120820040.0,465239532642.0
431481,2022-10-26,S301NJGV,ST4000DM000,4000787030016,0,119.0,230877632.0,91.0,100.0,32.0,100.0,0.0,88.0,676168958.0,30.0,61824.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11625.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61495.0,69132499552.0,465551245071.0
431482,2022-10-27,S301NJGV,ST4000DM000,4000787030016,0,117.0,147014032.0,91.0,100.0,32.0,100.0,0.0,88.0,678027977.0,30.0,61847.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11625.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61518.0,69142649976.0,465867556954.0
431483,2022-10-28,S301NJGV,ST4000DM000,4000787030016,0,117.0,155518728.0,91.0,100.0,32.0,100.0,0.0,88.0,680302301.0,30.0,61871.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11625.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61542.0,69155002256.0,466200170679.0
431484,2022-10-29,S301NJGV,ST4000DM000,4000787030016,0,111.0,36160856.0,91.0,100.0,32.0,100.0,0.0,88.0,681954077.0,30.0,61895.0,100.0,32.0,99.0,1.0,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,95.0,11625.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61565.0,69166940208.0,466552936275.0
