,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
432652,2022-10-01,S301NK4A,ST4000DM000,4000787030016,0,115.0,97562120.0,91.0,100.0,27.0,100.0,0.0,89.0,928008402.0,31.0,61198.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61096.0,69801282592.0,627530217263.0
432653,2022-10-02,S301NK4A,ST4000DM000,4000787030016,0,118.0,183895128.0,91.0,100.0,27.0,100.0,0.0,89.0,929159541.0,31.0,61222.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61119.0,69803180448.0,627736646975.0
432654,2022-10-03,S301NK4A,ST4000DM000,4000787030016,0,119.0,220977648.0,91.0,100.0,27.0,100.0,0.0,89.0,931759552.0,31.0,61245.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61143.0,69804308344.0,627910919700.0
432655,2022-10-04,S301NK4A,ST4000DM000,4000787030016,0,101.0,3554088.0,91.0,100.0,27.0,100.0,0.0,89.0,933121570.0,31.0,61269.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61166.0,69805388272.0,628194630678.0
432656,2022-10-05,S301NK4A,ST4000DM000,4000787030016,0,119.0,222699432.0,91.0,100.0,27.0,100.0,0.0,89.0,934533079.0,31.0,61293.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61190.0,69806406584.0,628462887996.0
432657,2022-10-06,S301NK4A,ST4000DM000,4000787030016,0,117.0,150053720.0,91.0,100.0,27.0,100.0,0.0,89.0,936409185.0,31.0,61316.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61214.0,69816593888.0,628752388616.0
432658,2022-10-07,S301NK4A,ST4000DM000,4000787030016,0,118.0,169927032.0,91.0,100.0,27.0,100.0,0.0,89.0,938634225.0,30.0,61340.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61237.0,69817804040.0,629026960740.0
432659,2022-10-08,S301NK4A,ST4000DM000,4000787030016,0,115.0,85752720.0,91.0,100.0,27.0,100.0,0.0,90.0,941260475.0,30.0,61364.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61261.0,69819062648.0,629332477321.0
432660,2022-10-09,S301NK4A,ST4000DM000,4000787030016,0,109.0,21317616.0,91.0,100.0,27.0,100.0,0.0,90.0,942172685.0,30.0,61387.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61285.0,69820255768.0,629588521024.0
432661,2022-10-10,S301NK4A,ST4000DM000,4000787030016,0,118.0,183941776.0,91.0,100.0,27.0,100.0,0.0,90.0,944135406.0,30.0,61411.0,100.0,27.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,97.0,7581.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61308.0,69821292056.0,629682713927.0
