,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
432744,2022-10-01,S301NKAW,ST4000DM000,4000787030016,0,116.0,106347696.0,92.0,100.0,21.0,100.0,0.0,80.0,101760530.0,31.0,61188.0,100.0,21.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,95.0,10885.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,61062.0,68541023904.0,447177475680.0
432745,2022-10-02,S301NKAW,ST4000DM000,4000787030016,0,106.0,11399968.0,92.0,100.0,21.0,100.0,0.0,80.0,104859340.0,31.0,61212.0,100.0,21.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,95.0,10885.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,61085.0,68542932392.0,447439982067.0
432746,2022-10-03,S301NKAW,ST4000DM000,4000787030016,0,116.0,104666024.0,92.0,100.0,21.0,100.0,0.0,80.0,106295472.0,31.0,61236.0,100.0,21.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,0.0,95.0,10885.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,61109.0,68544220728.0,447702940402.0
432747,2022-10-04,S301NKAW,ST4000DM000,4000787030016,0,106.0,12106080.0,92.0,100.0,21.0,100.0,0.0,80.0,108089033.0,31.0,61260.0,100.0,21.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,95.0,10886.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,61133.0,68545404384.0,447957345483.0
432748,2022-10-05,S301NKAW,ST4000DM000,4000787030016,0,120.0,239309288.0,92.0,100.0,21.0,100.0,0.0,80.0,109751914.0,31.0,61284.0,100.0,21.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,0.0,95.0,10886.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,61157.0,68546416920.0,448064393720.0
432749,2022-10-06,S301NKAW,ST4000DM000,4000787030016,0,115.0,99381728.0,92.0,100.0,23.0,100.0,0.0,80.0,111127785.0,31.0,61308.0,100.0,23.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,95.0,10893.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,61181.0,68547719720.0,448349500582.0
432750,2022-10-07,S301NKAW,ST4000DM000,4000787030016,0,117.0,146822832.0,92.0,100.0,23.0,100.0,0.0,80.0,112570903.0,30.0,61331.0,100.0,23.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,95.0,10897.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,61205.0,68548674760.0,448656846529.0
432751,2022-10-08,S301NKAW,ST4000DM000,4000787030016,0,114.0,69531536.0,92.0,100.0,23.0,100.0,0.0,80.0,113811382.0,30.0,61355.0,100.0,23.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,95.0,10897.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,61228.0,68549873328.0,448923020466.0
432752,2022-10-09,S301NKAW,ST4000DM000,4000787030016,0,119.0,210754544.0,92.0,100.0,23.0,100.0,0.0,80.0,116777460.0,30.0,61379.0,100.0,23.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,0.0,95.0,10898.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,61252.0,68551314024.0,449210577215.0
432753,2022-10-10,S301NKAW,ST4000DM000,4000787030016,0,114.0,69950232.0,92.0,100.0,23.0,100.0,0.0,81.0,118339600.0,30.0,61403.0,100.0,23.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,95.0,10899.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,61276.0,68552434848.0,449489559643.0
