,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
433816,2022-10-01,S301NKL5,ST4000DM000,4000787030016,0,115.0,92850112.0,91.0,100.0,25.0,100.0,0.0,88.0,714217253.0,31.0,61201.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,4.0,97.0,7965.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61100.0,66978025800.0,614950254911.0
433817,2022-10-02,S301NKL5,ST4000DM000,4000787030016,0,117.0,150420416.0,91.0,100.0,25.0,100.0,0.0,88.0,715403866.0,31.0,61224.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,4.0,97.0,7965.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61124.0,66979203872.0,615158301131.0
433818,2022-10-03,S301NKL5,ST4000DM000,4000787030016,0,118.0,200060528.0,91.0,100.0,25.0,100.0,0.0,88.0,716954782.0,31.0,61248.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,4.0,97.0,7965.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61148.0,66980383640.0,615395029256.0
433819,2022-10-04,S301NKL5,ST4000DM000,4000787030016,0,118.0,181740120.0,91.0,100.0,25.0,100.0,0.0,88.0,718938065.0,31.0,61271.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,4.0,97.0,7965.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61171.0,66981362048.0,615623189950.0
433820,2022-10-05,S301NKL5,ST4000DM000,4000787030016,0,111.0,37541536.0,91.0,100.0,25.0,100.0,0.0,88.0,721646390.0,31.0,61295.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,4.0,97.0,7965.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61195.0,66983191584.0,615872606586.0
433821,2022-10-06,S301NKL5,ST4000DM000,4000787030016,0,117.0,119128656.0,91.0,100.0,25.0,100.0,0.0,88.0,722742247.0,31.0,61307.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,4.0,97.0,7965.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61207.0,66983898328.0,616017875464.0
433822,2022-10-07,S301NKL5,ST4000DM000,4000787030016,0,103.0,5283936.0,91.0,100.0,25.0,100.0,0.0,88.0,724530985.0,30.0,61330.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,4.0,97.0,7965.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61230.0,66984830712.0,616365151783.0
433823,2022-10-08,S301NKL5,ST4000DM000,4000787030016,0,117.0,133256792.0,91.0,100.0,25.0,100.0,0.0,88.0,727524199.0,30.0,61366.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,4.0,97.0,7965.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61266.0,66986504840.0,616683167712.0
433824,2022-10-09,S301NKL5,ST4000DM000,4000787030016,0,118.0,188310680.0,91.0,100.0,25.0,100.0,0.0,88.0,729149883.0,30.0,61389.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,4.0,97.0,7965.0,22.0,22.0,100.0,8.0,100.0,8.0,0.0,61289.0,66987532456.0,616958302113.0
433825,2022-10-10,S301NKL5,ST4000DM000,4000787030016,0,111.0,29917584.0,91.0,100.0,25.0,100.0,0.0,88.0,730439470.0,30.0,61413.0,100.0,25.0,98.0,2.0,100.0,0.0,37.0,63.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,4.0,97.0,7965.0,23.0,23.0,100.0,8.0,100.0,8.0,0.0,61313.0,66988647272.0,617209363890.0
