,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
434920,2022-10-01,S301NL6Z,ST4000DM000,4000787030016,0,117.0,119404680.0,91.0,100.0,31.0,100.0,0.0,88.0,694226650.0,31.0,61225.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13837.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61094.0,69673564568.0,480698115897.0
434921,2022-10-02,S301NL6Z,ST4000DM000,4000787030016,0,113.0,51162016.0,91.0,100.0,31.0,100.0,0.0,88.0,696002486.0,31.0,61249.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13837.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61118.0,69687971792.0,480889008854.0
434922,2022-10-03,S301NL6Z,ST4000DM000,4000787030016,0,116.0,105377464.0,91.0,100.0,31.0,100.0,0.0,88.0,697421222.0,31.0,61273.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13837.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61142.0,69707283456.0,481086738222.0
434923,2022-10-04,S301NL6Z,ST4000DM000,4000787030016,0,117.0,163110600.0,91.0,100.0,31.0,100.0,0.0,88.0,698874621.0,31.0,61297.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13840.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61166.0,69722910896.0,481233973450.0
434924,2022-10-05,S301NL6Z,ST4000DM000,4000787030016,0,113.0,57806424.0,91.0,100.0,31.0,100.0,0.0,88.0,700167584.0,30.0,61320.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13841.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61190.0,69744661608.0,481290608057.0
434925,2022-10-06,S301NL6Z,ST4000DM000,4000787030016,0,119.0,206282656.0,91.0,100.0,31.0,100.0,0.0,88.0,701231814.0,30.0,61344.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,94.0,13843.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61213.0,69757179360.0,481434281058.0
434926,2022-10-07,S301NL6Z,ST4000DM000,4000787030016,0,116.0,112606280.0,91.0,100.0,32.0,100.0,0.0,88.0,702119697.0,30.0,61367.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13850.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61236.0,69766761520.0,481592290456.0
434927,2022-10-08,S301NL6Z,ST4000DM000,4000787030016,0,113.0,53066344.0,91.0,100.0,32.0,100.0,0.0,88.0,703136038.0,30.0,61391.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13851.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61260.0,69775573808.0,481778633596.0
434928,2022-10-09,S301NL6Z,ST4000DM000,4000787030016,0,120.0,235574240.0,91.0,100.0,32.0,100.0,0.0,88.0,704819627.0,30.0,61415.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13851.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61284.0,69789047472.0,481970015408.0
434929,2022-10-10,S301NL6Z,ST4000DM000,4000787030016,0,119.0,201764312.0,91.0,100.0,32.0,100.0,0.0,88.0,706290328.0,30.0,61438.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13851.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61307.0,69801339952.0,482171151285.0
434930,2022-10-11,S301NL6Z,ST4000DM000,4000787030016,0,111.0,39955736.0,91.0,100.0,32.0,100.0,0.0,88.0,707806948.0,30.0,61474.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13851.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61343.0,69825946288.0,482441934256.0
434931,2022-10-12,S301NL6Z,ST4000DM000,4000787030016,0,117.0,141233080.0,91.0,100.0,32.0,100.0,0.0,88.0,708802004.0,30.0,61486.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13852.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61355.0,69829798296.0,482475042843.0
434932,2022-10-13,S301NL6Z,ST4000DM000,4000787030016,0,117.0,158118064.0,91.0,100.0,32.0,100.0,0.0,88.0,709808368.0,30.0,61509.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13852.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61378.0,69842816008.0,482665931559.0
434933,2022-10-14,S301NL6Z,ST4000DM000,4000787030016,0,120.0,235474360.0,91.0,100.0,32.0,100.0,0.0,88.0,710845637.0,30.0,61533.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13852.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61402.0,69859245880.0,482873985799.0
434934,2022-10-15,S301NL6Z,ST4000DM000,4000787030016,0,119.0,214650168.0,91.0,100.0,32.0,100.0,0.0,88.0,711885710.0,30.0,61557.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13852.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61426.0,69870370752.0,483081573630.0
434935,2022-10-16,S301NL6Z,ST4000DM000,4000787030016,0,116.0,117218040.0,91.0,100.0,32.0,100.0,0.0,88.0,713427895.0,30.0,61580.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13852.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61449.0,69882316424.0,483320958829.0
434936,2022-10-17,S301NL6Z,ST4000DM000,4000787030016,0,111.0,36507696.0,91.0,100.0,32.0,100.0,0.0,88.0,715310860.0,30.0,61604.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13852.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61473.0,69892733568.0,483583598791.0
434937,2022-10-18,S301NL6Z,ST4000DM000,4000787030016,0,117.0,136288576.0,91.0,100.0,32.0,100.0,0.0,88.0,716309135.0,30.0,61628.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13852.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61497.0,69900684704.0,483784986828.0
434938,2022-10-19,S301NL6Z,ST4000DM000,4000787030016,0,118.0,181831856.0,91.0,100.0,32.0,100.0,0.0,88.0,717540463.0,30.0,61651.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13852.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61520.0,69909884072.0,483875176609.0
434939,2022-10-20,S301NL6Z,ST4000DM000,4000787030016,0,117.0,158318320.0,91.0,100.0,32.0,100.0,0.0,88.0,718430921.0,30.0,61675.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13853.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61544.0,69919236880.0,484038036863.0
434940,2022-10-21,S301NL6Z,ST4000DM000,4000787030016,0,105.0,7404720.0,91.0,100.0,32.0,100.0,0.0,88.0,719292570.0,30.0,61698.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13853.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61567.0,69928457608.0,484199160520.0
434941,2022-10-22,S301NL6Z,ST4000DM000,4000787030016,0,116.0,117230360.0,91.0,100.0,32.0,100.0,0.0,88.0,720539319.0,30.0,61722.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13853.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61591.0,69940484864.0,484542711529.0
434942,2022-10-23,S301NL6Z,ST4000DM000,4000787030016,0,117.0,158117560.0,91.0,100.0,32.0,100.0,0.0,88.0,722362756.0,30.0,61745.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,94.0,13853.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,61614.0,69949647096.0,484880480111.0
