,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
435012,2022-10-01,S301NMPV,ST4000DM000,4000787030016,0,111.0,35842056.0,91.0,100.0,16.0,100.0,0.0,88.0,753914494.0,31.0,60528.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60380.0,68940682712.0,634098521222.0
435013,2022-10-02,S301NMPV,ST4000DM000,4000787030016,0,117.0,146184872.0,91.0,100.0,16.0,100.0,0.0,88.0,755109917.0,31.0,60551.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60403.0,68942438032.0,634267050068.0
435014,2022-10-03,S301NMPV,ST4000DM000,4000787030016,0,117.0,152633896.0,91.0,100.0,16.0,100.0,0.0,88.0,756798164.0,31.0,60575.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60427.0,68943529288.0,634351680269.0
435015,2022-10-04,S301NMPV,ST4000DM000,4000787030016,0,118.0,176032152.0,91.0,100.0,16.0,100.0,0.0,88.0,758666071.0,31.0,60598.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60450.0,68944654144.0,638826358376.0
435016,2022-10-05,S301NMPV,ST4000DM000,4000787030016,0,119.0,217205208.0,91.0,100.0,16.0,100.0,0.0,88.0,759748583.0,31.0,60622.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60474.0,68946087688.0,638957379753.0
435017,2022-10-06,S301NMPV,ST4000DM000,4000787030016,0,116.0,111447536.0,91.0,100.0,16.0,100.0,0.0,88.0,761288799.0,31.0,60657.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60509.0,68947715504.0,639161816880.0
435018,2022-10-07,S301NMPV,ST4000DM000,4000787030016,0,116.0,105757584.0,91.0,100.0,16.0,100.0,0.0,88.0,763275087.0,31.0,60681.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60533.0,68948877448.0,639291803855.0
435019,2022-10-08,S301NMPV,ST4000DM000,4000787030016,0,118.0,183112536.0,91.0,100.0,16.0,100.0,0.0,88.0,765475636.0,31.0,60705.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60556.0,68950193944.0,639494331998.0
435020,2022-10-09,S301NMPV,ST4000DM000,4000787030016,0,118.0,196705408.0,91.0,100.0,16.0,100.0,0.0,88.0,766491825.0,31.0,60728.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60580.0,68951211648.0,643898841136.0
435021,2022-10-10,S301NMPV,ST4000DM000,4000787030016,0,119.0,228509272.0,91.0,100.0,16.0,100.0,0.0,88.0,768268410.0,31.0,60752.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60604.0,68952103552.0,643976059324.0
435022,2022-10-11,S301NMPV,ST4000DM000,4000787030016,0,119.0,204233688.0,91.0,100.0,16.0,100.0,0.0,88.0,769143646.0,31.0,60775.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60627.0,68953083576.0,644128529500.0
435023,2022-10-12,S301NMPV,ST4000DM000,4000787030016,0,117.0,135808120.0,91.0,100.0,16.0,100.0,0.0,88.0,769501164.0,31.0,60787.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60639.0,68953617776.0,644188202021.0
435024,2022-10-13,S301NMPV,ST4000DM000,4000787030016,0,119.0,223575144.0,91.0,100.0,16.0,100.0,0.0,88.0,770855883.0,31.0,60811.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60662.0,68958062248.0,644408019072.0
435025,2022-10-14,S301NMPV,ST4000DM000,4000787030016,0,115.0,90390952.0,91.0,100.0,16.0,100.0,0.0,88.0,772262903.0,31.0,60834.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60686.0,68959190528.0,644613172900.0
435026,2022-10-15,S301NMPV,ST4000DM000,4000787030016,0,118.0,175647968.0,91.0,100.0,16.0,100.0,0.0,88.0,775903380.0,31.0,60858.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60710.0,68960463856.0,644867785297.0
435027,2022-10-16,S301NMPV,ST4000DM000,4000787030016,0,114.0,75326928.0,91.0,100.0,16.0,100.0,0.0,88.0,777930016.0,31.0,60893.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60745.0,68961925264.0,645167941092.0
435028,2022-10-17,S301NMPV,ST4000DM000,4000787030016,0,118.0,178297448.0,91.0,100.0,16.0,100.0,0.0,88.0,779916775.0,31.0,60917.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60769.0,68962759208.0,645267416016.0
435029,2022-10-18,S301NMPV,ST4000DM000,4000787030016,0,120.0,2310896.0,91.0,100.0,16.0,100.0,0.0,88.0,781355267.0,31.0,60940.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60792.0,68964119080.0,645491172161.0
435030,2022-10-19,S301NMPV,ST4000DM000,4000787030016,0,119.0,218084208.0,91.0,100.0,16.0,100.0,0.0,88.0,782451983.0,31.0,60964.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60816.0,68965238664.0,645741786494.0
435031,2022-10-20,S301NMPV,ST4000DM000,4000787030016,0,117.0,167681344.0,91.0,100.0,16.0,100.0,0.0,88.0,783754644.0,31.0,60987.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60839.0,68966677416.0,645976103807.0
435032,2022-10-21,S301NMPV,ST4000DM000,4000787030016,0,119.0,233044488.0,91.0,100.0,16.0,100.0,0.0,88.0,785341520.0,31.0,61011.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60863.0,68967705896.0,646175402553.0
435033,2022-10-22,S301NMPV,ST4000DM000,4000787030016,0,117.0,126937192.0,91.0,100.0,16.0,100.0,0.0,88.0,787942591.0,31.0,61035.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60886.0,68968924632.0,646482798806.0
435034,2022-10-23,S301NMPV,ST4000DM000,4000787030016,0,115.0,93421928.0,91.0,100.0,16.0,100.0,0.0,88.0,789260179.0,31.0,61058.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60910.0,68969892520.0,646661208370.0
435035,2022-10-24,S301NMPV,ST4000DM000,4000787030016,0,115.0,85801784.0,91.0,100.0,16.0,100.0,0.0,88.0,791329230.0,31.0,61082.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,93.0,14348.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60934.0,68970579688.0,646761540620.0
