,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
436208,2022-10-01,S301NXN1,ST4000DM000,4000787030016,0,101.0,3247656.0,91.0,100.0,22.0,100.0,0.0,88.0,772444409.0,31.0,60680.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,5.0,96.0,9888.0,25.0,25.0,100.0,8.0,100.0,8.0,0.0,60602.0,68572564008.0,1342275909292.0
436209,2022-10-02,S301NXN1,ST4000DM000,4000787030016,0,118.0,201301176.0,91.0,100.0,22.0,100.0,0.0,88.0,776932125.0,31.0,60716.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60637.0,68578982296.0,1347011514636.0
436210,2022-10-03,S301NXN1,ST4000DM000,4000787030016,0,117.0,135871520.0,91.0,100.0,22.0,100.0,0.0,88.0,780245015.0,31.0,60739.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60661.0,68580788816.0,1347315538974.0
436211,2022-10-04,S301NXN1,ST4000DM000,4000787030016,0,118.0,197525392.0,91.0,100.0,22.0,100.0,0.0,88.0,784058849.0,31.0,60763.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60685.0,68583016216.0,1347637892839.0
436212,2022-10-05,S301NXN1,ST4000DM000,4000787030016,0,118.0,171936616.0,91.0,100.0,22.0,100.0,0.0,88.0,788186538.0,31.0,60787.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60708.0,68584981632.0,1347956714420.0
436213,2022-10-06,S301NXN1,ST4000DM000,4000787030016,0,106.0,10801648.0,91.0,100.0,22.0,100.0,0.0,88.0,790947221.0,31.0,60810.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60732.0,68588454728.0,1352540152045.0
436214,2022-10-07,S301NXN1,ST4000DM000,4000787030016,0,116.0,111041864.0,91.0,100.0,22.0,100.0,0.0,88.0,794520522.0,31.0,60834.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60755.0,68590149808.0,1356989254327.0
436215,2022-10-08,S301NXN1,ST4000DM000,4000787030016,0,119.0,228565888.0,91.0,100.0,22.0,100.0,0.0,88.0,797296005.0,31.0,60857.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60779.0,68591816208.0,1357319457844.0
436216,2022-10-09,S301NXN1,ST4000DM000,4000787030016,0,118.0,199160368.0,91.0,100.0,22.0,100.0,0.0,88.0,800208026.0,31.0,60881.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,5.0,96.0,9888.0,29.0,29.0,100.0,8.0,100.0,8.0,0.0,60802.0,68593603744.0,1362049563176.0
436217,2022-10-10,S301NXN1,ST4000DM000,4000787030016,0,119.0,223227208.0,91.0,100.0,22.0,100.0,0.0,88.0,803870371.0,31.0,60904.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60826.0,68596392384.0,1362410006944.0
436218,2022-10-11,S301NXN1,ST4000DM000,4000787030016,0,114.0,60621264.0,91.0,100.0,22.0,100.0,0.0,89.0,807835175.0,31.0,60928.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60850.0,68598286504.0,1362707124157.0
436219,2022-10-12,S301NXN1,ST4000DM000,4000787030016,0,117.0,125845760.0,91.0,100.0,22.0,100.0,0.0,89.0,812170041.0,31.0,60952.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60873.0,68600331480.0,1363028846877.0
436220,2022-10-13,S301NXN1,ST4000DM000,4000787030016,0,119.0,226942096.0,91.0,100.0,22.0,100.0,0.0,89.0,815740494.0,31.0,60975.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60897.0,68602511304.0,1363273099166.0
436221,2022-10-14,S301NXN1,ST4000DM000,4000787030016,0,116.0,114969920.0,91.0,100.0,22.0,100.0,0.0,89.0,819302875.0,31.0,60999.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60920.0,68604056432.0,1367675317180.0
436222,2022-10-15,S301NXN1,ST4000DM000,4000787030016,0,117.0,135927936.0,91.0,100.0,22.0,100.0,0.0,89.0,821324881.0,31.0,61022.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60944.0,68607515072.0,1367830493190.0
436223,2022-10-16,S301NXN1,ST4000DM000,4000787030016,0,108.0,18426112.0,91.0,100.0,22.0,100.0,0.0,89.0,824898702.0,31.0,61046.0,100.0,22.0,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,5.0,96.0,9888.0,24.0,24.0,100.0,8.0,100.0,8.0,0.0,60968.0,68610963480.0,1368021234168.0
