,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
441241,2022-10-01,S301PQJ0,ST4000DM000,4000787030016,0,114.0,61042416.0,92.0,100.0,16.0,100.0,0.0,87.0,622793710.0,31.0,60527.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,92.0,16071.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,60354.0,66991168672.0,383670789191.0
441242,2022-10-02,S301PQJ0,ST4000DM000,4000787030016,0,114.0,59252464.0,92.0,100.0,16.0,100.0,0.0,87.0,625046084.0,31.0,60551.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16074.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60378.0,66992911160.0,383838578995.0
441243,2022-10-03,S301PQJ0,ST4000DM000,4000787030016,0,120.0,238098240.0,92.0,100.0,16.0,100.0,0.0,87.0,626919319.0,31.0,60575.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,92.0,16074.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,60402.0,66994086456.0,384139360311.0
441244,2022-10-04,S301PQJ0,ST4000DM000,4000787030016,0,117.0,128031680.0,92.0,100.0,16.0,100.0,0.0,87.0,628033798.0,31.0,60598.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16074.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60426.0,66995289320.0,384295604644.0
441245,2022-10-05,S301PQJ0,ST4000DM000,4000787030016,0,119.0,204669544.0,92.0,100.0,16.0,100.0,0.0,87.0,629651216.0,31.0,60622.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16074.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60450.0,66996513720.0,384543070726.0
441246,2022-10-06,S301PQJ0,ST4000DM000,4000787030016,0,117.0,122334872.0,92.0,100.0,16.0,100.0,0.0,87.0,631969479.0,31.0,60646.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,92.0,16075.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,60474.0,66997737640.0,384824791227.0
441247,2022-10-07,S301PQJ0,ST4000DM000,4000787030016,0,120.0,241264840.0,92.0,100.0,16.0,100.0,0.0,87.0,633134524.0,31.0,60670.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16075.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60498.0,66998691512.0,384970070539.0
441248,2022-10-08,S301PQJ0,ST4000DM000,4000787030016,0,117.0,142875712.0,92.0,100.0,16.0,100.0,0.0,87.0,634380423.0,31.0,60694.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,92.0,16075.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,60521.0,66999664096.0,385132836131.0
441249,2022-10-09,S301PQJ0,ST4000DM000,4000787030016,0,108.0,18628336.0,92.0,100.0,16.0,100.0,0.0,87.0,636299025.0,31.0,60718.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16077.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60545.0,67002292944.0,385201983558.0
441250,2022-10-10,S301PQJ0,ST4000DM000,4000787030016,0,120.0,236902608.0,92.0,100.0,16.0,100.0,0.0,87.0,637158549.0,31.0,60742.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16077.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60569.0,67003552104.0,385300285529.0
