,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
443725,2022-10-01,S301PRHA,ST4000DM000,4000787030016,0,118.0,187587088.0,92.0,100.0,24.0,100.0,0.0,89.0,818348789.0,31.0,61195.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,9930.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61076.0,70775723512.0,532964712382.0
443726,2022-10-02,S301PRHA,ST4000DM000,4000787030016,0,113.0,53859816.0,92.0,100.0,24.0,100.0,0.0,89.0,820252407.0,31.0,61219.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,9930.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61100.0,70777642176.0,533195511444.0
443727,2022-10-03,S301PRHA,ST4000DM000,4000787030016,0,113.0,53895464.0,92.0,100.0,24.0,100.0,0.0,89.0,822112800.0,31.0,61243.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,9930.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61123.0,70778859536.0,533361103525.0
443728,2022-10-04,S301PRHA,ST4000DM000,4000787030016,0,115.0,84367360.0,92.0,100.0,24.0,100.0,0.0,89.0,823957874.0,31.0,61266.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,9930.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61147.0,70780035264.0,533639162695.0
443729,2022-10-05,S301PRHA,ST4000DM000,4000787030016,0,120.0,243637928.0,92.0,100.0,24.0,100.0,0.0,89.0,826047894.0,31.0,61302.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,9930.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61182.0,70781607888.0,534034845039.0
443730,2022-10-06,S301PRHA,ST4000DM000,4000787030016,0,119.0,217624344.0,92.0,100.0,24.0,100.0,0.0,89.0,826700327.0,31.0,61313.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,9931.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61194.0,70782292712.0,534173466703.0
443731,2022-10-07,S301PRHA,ST4000DM000,4000787030016,0,114.0,58741584.0,92.0,100.0,24.0,100.0,0.0,89.0,829268357.0,30.0,61337.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,9931.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61218.0,70783449120.0,547355737837.0
443732,2022-10-08,S301PRHA,ST4000DM000,4000787030016,0,119.0,204799856.0,92.0,100.0,24.0,100.0,0.0,89.0,831323146.0,30.0,61361.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,9931.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61241.0,70784666272.0,547687655383.0
443733,2022-10-09,S301PRHA,ST4000DM000,4000787030016,0,114.0,72834232.0,92.0,100.0,24.0,100.0,0.0,89.0,832809565.0,30.0,61384.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,96.0,9931.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61265.0,70785915800.0,547933552305.0
443734,2022-10-10,S301PRHA,ST4000DM000,4000787030016,0,117.0,143582704.0,92.0,100.0,24.0,100.0,0.0,89.0,834932765.0,30.0,61408.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,96.0,9934.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61289.0,70787162840.0,548096614762.0
