,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
446818,2022-10-01,S301PS2M,ST4000DM000,4000787030016,0,109.0,25120264.0,91.0,100.0,17.0,100.0,0.0,89.0,846814592.0,31.0,61195.0,100.0,17.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,8464.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61095.0,70157703960.0,403606412321.0
446819,2022-10-02,S301PS2M,ST4000DM000,4000787030016,0,114.0,66996136.0,91.0,100.0,17.0,100.0,0.0,89.0,848247801.0,31.0,61219.0,100.0,17.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,8464.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61119.0,70158895760.0,403849944885.0
446820,2022-10-03,S301PS2M,ST4000DM000,4000787030016,0,106.0,12504872.0,91.0,100.0,17.0,100.0,0.0,89.0,849542438.0,31.0,61243.0,100.0,17.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,8464.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61143.0,70161006608.0,404055398164.0
446821,2022-10-04,S301PS2M,ST4000DM000,4000787030016,0,113.0,55225088.0,91.0,100.0,17.0,100.0,0.0,89.0,850789918.0,31.0,61267.0,100.0,17.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,8464.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61167.0,70162160992.0,404248419791.0
446822,2022-10-05,S301PS2M,ST4000DM000,4000787030016,0,111.0,34918376.0,91.0,100.0,17.0,100.0,0.0,89.0,854017843.0,31.0,61291.0,100.0,17.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,1.0,96.0,8464.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61191.0,70163566704.0,404503980224.0
446823,2022-10-06,S301PS2M,ST4000DM000,4000787030016,0,115.0,98837056.0,91.0,100.0,17.0,100.0,0.0,89.0,854784098.0,31.0,61303.0,100.0,17.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,1.0,96.0,8464.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61203.0,70164054008.0,404626669298.0
446824,2022-10-07,S301PS2M,ST4000DM000,4000787030016,0,115.0,95950304.0,91.0,100.0,19.0,100.0,0.0,89.0,856269322.0,30.0,61327.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61227.0,70165520792.0,404934270985.0
446825,2022-10-08,S301PS2M,ST4000DM000,4000787030016,0,116.0,109053088.0,91.0,100.0,19.0,100.0,0.0,89.0,858570207.0,30.0,61351.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61250.0,70166686104.0,405088645570.0
446826,2022-10-09,S301PS2M,ST4000DM000,4000787030016,0,110.0,28196528.0,91.0,100.0,19.0,100.0,0.0,89.0,860079805.0,30.0,61375.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61274.0,70167743512.0,405362860953.0
446827,2022-10-10,S301PS2M,ST4000DM000,4000787030016,0,114.0,71270000.0,91.0,100.0,19.0,100.0,0.0,89.0,861774469.0,30.0,61398.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61298.0,70169100936.0,405607328111.0
446828,2022-10-11,S301PS2M,ST4000DM000,4000787030016,0,115.0,92637776.0,91.0,100.0,19.0,100.0,0.0,89.0,863004787.0,30.0,61422.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61322.0,70170302128.0,405845327347.0
446829,2022-10-12,S301PS2M,ST4000DM000,4000787030016,0,116.0,105546960.0,91.0,100.0,19.0,100.0,0.0,89.0,866196075.0,30.0,61458.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61358.0,70172054648.0,406134428058.0
446830,2022-10-13,S301PS2M,ST4000DM000,4000787030016,0,117.0,159216272.0,91.0,100.0,19.0,100.0,0.0,89.0,867345689.0,30.0,61482.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61381.0,70173311480.0,406357890183.0
446831,2022-10-14,S301PS2M,ST4000DM000,4000787030016,0,120.0,2183736.0,91.0,100.0,19.0,100.0,0.0,89.0,868754360.0,30.0,61505.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61405.0,70174444832.0,406460195664.0
446832,2022-10-15,S301PS2M,ST4000DM000,4000787030016,0,113.0,58025440.0,91.0,100.0,19.0,100.0,0.0,89.0,870290267.0,30.0,61529.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61429.0,70175585888.0,406645619955.0
446833,2022-10-16,S301PS2M,ST4000DM000,4000787030016,0,112.0,45196328.0,91.0,100.0,19.0,100.0,0.0,89.0,871325623.0,30.0,61553.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61453.0,70176707752.0,406877918854.0
446834,2022-10-17,S301PS2M,ST4000DM000,4000787030016,0,111.0,40665880.0,91.0,100.0,19.0,100.0,0.0,89.0,872737877.0,30.0,61577.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61477.0,70177718256.0,407180504199.0
446835,2022-10-18,S301PS2M,ST4000DM000,4000787030016,0,117.0,151837496.0,91.0,100.0,19.0,100.0,0.0,89.0,874117422.0,30.0,61601.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61501.0,70178708784.0,407449547194.0
446836,2022-10-19,S301PS2M,ST4000DM000,4000787030016,0,117.0,133284752.0,91.0,100.0,19.0,100.0,0.0,89.0,875820026.0,30.0,61613.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61513.0,70179253584.0,407588410809.0
446837,2022-10-20,S301PS2M,ST4000DM000,4000787030016,0,117.0,148875264.0,91.0,100.0,19.0,100.0,0.0,89.0,877857828.0,30.0,61637.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61537.0,70180235056.0,407867900301.0
446838,2022-10-21,S301PS2M,ST4000DM000,4000787030016,0,117.0,144078752.0,91.0,100.0,19.0,100.0,0.0,89.0,879333733.0,30.0,61661.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61561.0,70181059280.0,408134488184.0
446839,2022-10-22,S301PS2M,ST4000DM000,4000787030016,0,114.0,60955608.0,91.0,100.0,19.0,100.0,0.0,89.0,881363969.0,30.0,61685.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61584.0,70181926848.0,408222710538.0
446840,2022-10-23,S301PS2M,ST4000DM000,4000787030016,0,117.0,152956760.0,91.0,100.0,19.0,100.0,0.0,89.0,882376233.0,30.0,61709.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61608.0,70182908016.0,408470005719.0
446841,2022-10-24,S301PS2M,ST4000DM000,4000787030016,0,114.0,77223792.0,91.0,100.0,19.0,100.0,0.0,89.0,883376558.0,30.0,61732.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61632.0,70183845024.0,408725802255.0
446842,2022-10-25,S301PS2M,ST4000DM000,4000787030016,0,113.0,57810696.0,91.0,100.0,19.0,100.0,0.0,89.0,884425469.0,30.0,61756.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61656.0,70185395432.0,408972449452.0
446843,2022-10-26,S301PS2M,ST4000DM000,4000787030016,0,119.0,223305664.0,91.0,100.0,19.0,100.0,0.0,89.0,886592002.0,30.0,61780.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61680.0,70186423168.0,409321569398.0
446844,2022-10-27,S301PS2M,ST4000DM000,4000787030016,0,119.0,232296984.0,91.0,100.0,19.0,100.0,0.0,89.0,888920357.0,30.0,61804.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61704.0,70188164464.0,409650793596.0
446845,2022-10-28,S301PS2M,ST4000DM000,4000787030016,0,117.0,122487888.0,91.0,100.0,19.0,100.0,0.0,89.0,890324762.0,30.0,61828.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61728.0,70189181688.0,409858188620.0
446846,2022-10-29,S301PS2M,ST4000DM000,4000787030016,0,119.0,233888344.0,91.0,100.0,19.0,100.0,0.0,89.0,892247198.0,30.0,61852.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61752.0,70189883144.0,409942874613.0
446847,2022-10-30,S301PS2M,ST4000DM000,4000787030016,0,119.0,232095504.0,91.0,100.0,19.0,100.0,0.0,89.0,894191571.0,30.0,61876.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61776.0,70191531384.0,410164763700.0
446848,2022-10-31,S301PS2M,ST4000DM000,4000787030016,0,117.0,157441384.0,91.0,100.0,19.0,100.0,0.0,89.0,895860984.0,30.0,61912.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61812.0,70192960936.0,410418148687.0
446849,2022-11-01,S301PS2M,ST4000DM000,4000787030016,0,118.0,182209360.0,91.0,100.0,19.0,100.0,0.0,89.0,896942760.0,30.0,61936.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61835.0,70193718352.0,410576663573.0
446850,2022-11-02,S301PS2M,ST4000DM000,4000787030016,0,114.0,61804480.0,91.0,100.0,19.0,100.0,0.0,89.0,899937411.0,30.0,61959.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,96.0,8468.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61859.0,70195732968.0,410781473411.0
446851,2022-11-03,S301PS2M,ST4000DM000,4000787030016,0,118.0,193114360.0,91.0,100.0,19.0,100.0,0.0,89.0,901460975.0,30.0,61983.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61883.0,70196520816.0,410976924749.0
446852,2022-11-04,S301PS2M,ST4000DM000,4000787030016,0,118.0,196202640.0,91.0,100.0,19.0,100.0,0.0,89.0,902634435.0,30.0,62007.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61907.0,70197271424.0,411077013288.0
446853,2022-11-05,S301PS2M,ST4000DM000,4000787030016,0,111.0,30578128.0,91.0,100.0,19.0,100.0,0.0,89.0,904531633.0,30.0,62031.0,100.0,19.0,71.0,29.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,96.0,8468.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61930.0,70198133568.0,411191749497.0
