,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
446910,2022-10-01,S301PS2Z,ST4000DM000,4000787030016,0,117.0,132734816.0,92.0,100.0,24.0,100.0,0.0,90.0,957610160.0,31.0,61191.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,97.0,7106.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61086.0,70470665544.0,554454753456.0
446911,2022-10-02,S301PS2Z,ST4000DM000,4000787030016,0,120.0,236005776.0,92.0,100.0,24.0,100.0,0.0,90.0,959487416.0,31.0,61215.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,97.0,7106.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61110.0,70472414312.0,554741711323.0
446912,2022-10-03,S301PS2Z,ST4000DM000,4000787030016,0,115.0,84079504.0,92.0,100.0,24.0,100.0,0.0,90.0,960892741.0,31.0,61238.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,97.0,7106.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61134.0,70473723944.0,555025159323.0
446913,2022-10-04,S301PS2Z,ST4000DM000,4000787030016,0,114.0,60736944.0,92.0,100.0,24.0,100.0,0.0,90.0,963250569.0,31.0,61262.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,97.0,7106.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61157.0,70475032984.0,559652422353.0
446914,2022-10-05,S301PS2Z,ST4000DM000,4000787030016,0,104.0,6483736.0,92.0,100.0,24.0,100.0,0.0,90.0,966013306.0,31.0,61285.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,97.0,7106.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61181.0,70476279736.0,564267334460.0
446915,2022-10-06,S301PS2Z,ST4000DM000,4000787030016,0,119.0,206719720.0,92.0,100.0,24.0,100.0,0.0,90.0,967717839.0,31.0,61309.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,97.0,7107.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61204.0,70477719744.0,564574550468.0
446916,2022-10-07,S301PS2Z,ST4000DM000,4000787030016,0,119.0,203926632.0,92.0,100.0,24.0,100.0,0.0,90.0,969252035.0,30.0,61333.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,97.0,7109.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61228.0,70479054552.0,564697442254.0
446917,2022-10-08,S301PS2Z,ST4000DM000,4000787030016,0,115.0,98400320.0,92.0,100.0,24.0,100.0,0.0,90.0,970719327.0,30.0,61356.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,97.0,7109.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61252.0,70480151216.0,564838514584.0
446918,2022-10-09,S301PS2Z,ST4000DM000,4000787030016,0,119.0,231675416.0,92.0,100.0,24.0,100.0,0.0,90.0,972343673.0,30.0,61380.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,97.0,7109.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,61275.0,70481298928.0,565161632617.0
446919,2022-10-10,S301PS2Z,ST4000DM000,4000787030016,0,116.0,112802192.0,92.0,100.0,24.0,100.0,0.0,90.0,973613893.0,30.0,61403.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,97.0,7109.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61299.0,70482658800.0,565423822354.0
446920,2022-10-11,S301PS2Z,ST4000DM000,4000787030016,0,107.0,13395528.0,92.0,100.0,24.0,100.0,0.0,90.0,974880714.0,30.0,61427.0,100.0,24.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,97.0,7109.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,61322.0,70483727368.0,565675077253.0
