,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
447094,2022-10-01,S301PS36,ST4000DM000,4000787030016,0,118.0,185159960.0,91.0,100.0,16.0,100.0,0.0,87.0,652308014.0,31.0,60528.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16809.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60358.0,67664517616.0,382866809337.0
447095,2022-10-02,S301PS36,ST4000DM000,4000787030016,0,114.0,82746672.0,91.0,100.0,16.0,100.0,0.0,87.0,653336664.0,31.0,60552.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16809.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60382.0,67666282928.0,383085100388.0
447096,2022-10-03,S301PS36,ST4000DM000,4000787030016,0,114.0,78095976.0,91.0,100.0,16.0,100.0,0.0,87.0,654608414.0,31.0,60576.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16809.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60406.0,67667645664.0,383341339429.0
447097,2022-10-04,S301PS36,ST4000DM000,4000787030016,0,114.0,64272560.0,91.0,100.0,16.0,100.0,0.0,87.0,655850486.0,31.0,60600.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16809.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60430.0,67668751816.0,383588664750.0
447098,2022-10-05,S301PS36,ST4000DM000,4000787030016,0,119.0,223851144.0,91.0,100.0,16.0,100.0,0.0,87.0,657763115.0,31.0,60624.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16809.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60454.0,67670045152.0,383878517233.0
447099,2022-10-06,S301PS36,ST4000DM000,4000787030016,0,117.0,130703976.0,91.0,100.0,16.0,100.0,0.0,87.0,660877423.0,31.0,60648.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16810.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60478.0,67671458088.0,384163472730.0
447100,2022-10-07,S301PS36,ST4000DM000,4000787030016,0,112.0,47313744.0,91.0,100.0,16.0,100.0,0.0,87.0,661967009.0,31.0,60671.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16810.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60501.0,67672403296.0,384390000323.0
447101,2022-10-08,S301PS36,ST4000DM000,4000787030016,0,120.0,236003448.0,91.0,100.0,16.0,100.0,0.0,87.0,664061860.0,31.0,60695.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16823.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60525.0,67673542520.0,384510292464.0
447102,2022-10-09,S301PS36,ST4000DM000,4000787030016,0,119.0,213004776.0,91.0,100.0,16.0,100.0,0.0,87.0,665089939.0,31.0,60719.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,0.0,92.0,16823.0,36.0,36.0,100.0,0.0,100.0,0.0,0.0,60549.0,67674723936.0,384739542803.0
447103,2022-10-10,S301PS36,ST4000DM000,4000787030016,0,111.0,33600816.0,91.0,100.0,16.0,100.0,0.0,87.0,666085557.0,31.0,60743.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16827.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60573.0,67676275968.0,385003711250.0
447104,2022-10-11,S301PS36,ST4000DM000,4000787030016,0,117.0,147433304.0,91.0,100.0,16.0,100.0,0.0,87.0,667003741.0,31.0,60767.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16827.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60597.0,67677325808.0,385335605195.0
447105,2022-10-12,S301PS36,ST4000DM000,4000787030016,0,119.0,204148488.0,91.0,100.0,16.0,100.0,0.0,87.0,669622229.0,31.0,60791.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16830.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,60621.0,67678315056.0,385688638657.0
447106,2022-10-13,S301PS36,ST4000DM000,4000787030016,0,119.0,222657264.0,91.0,100.0,16.0,100.0,0.0,88.0,672477182.0,31.0,60815.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,92.0,16830.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,60644.0,67679953432.0,385965469719.0
447107,2022-10-14,S301PS36,ST4000DM000,4000787030016,0,114.0,217451306.0,91.0,100.0,16.0,100.0,16.0,88.0,673817362.0,31.0,60838.0,100.0,16.0,100.0,0.0,100.0,0.0,87.0,13.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,92.0,16832.0,32.0,32.0,100.0,8.0,100.0,8.0,0.0,60668.0,67681389968.0,386168277932.0
